model,region,n,mean_delta,ci_lo,ci_hi
deep2_rphi,AWT,40,7.150203012157852e-05,-0.010318606636187179,0.011089820964928767
deep2_rphi,CAN,20,0.005257208046347678,-0.005276908428433617,0.019591794393259712
deep2_rphi,NSW,53,-0.009697465064475433,-0.022054206733505964,0.0018127308571603473
deep2_rphi,NZ,52,-0.009892949484569103,-0.020497303594373358,-0.0003768199867368847
deep2_rphi,SA,30,-0.005090315888292744,-0.019791120839379176,0.009076828431240571
deep2_rphi,SWI,30,-0.00034571118029247394,-0.0039381721000522184,0.0028893561538060218
deep2_rx,AWT,40,-0.006517921156261286,-0.01707469451283006,0.00392107548815605
deep2_rx,CAN,20,-0.004104694750484092,-0.010548845794675308,0.0018962915419382454
deep2_rx,NSW,53,-0.00850899374786885,-0.023787982850271713,0.00726024465740412
deep2_rx,NZ,52,-0.013057317543031773,-0.024555030955162784,-0.0026860847277798004
deep2_rx,SA,30,-0.012387617363100263,-0.0241320165312523,-0.0010997548436988652
deep2_rx,SWI,30,-0.0021004639417693555,-0.005340518887407815,0.0009172855172734948
deep3_rphi,AWT,40,-0.02617927802994393,-0.042759339238200016,-0.011107439901520362
deep3_rphi,CAN,20,0.0033601722091411573,-0.012571307174442915,0.02057631261814029
deep3_rphi,NSW,53,-0.02297059334186536,-0.03489245714679973,-0.011948866214579534
deep3_rphi,NZ,52,-0.03495071437691974,-0.04725645478124109,-0.024485774417921033
deep3_rphi,SA,30,-0.01928600912366414,-0.036226613355875105,-0.0035163633632110864
deep3_rphi,SWI,30,-0.004953981576973413,-0.009249708618489467,-0.0009637165796912451
deep3_rx,AWT,40,-0.03248664235720293,-0.048643191691796345,-0.017393793456315636
deep3_rx,CAN,20,-0.0033361181138356786,-0.018471984960209385,0.01194188494615323
deep3_rx,NSW,53,-0.03567487004703669,-0.05019160023703171,-0.021385114559979785
deep3_rx,NZ,52,-0.06849721312455834,-0.08287086176065021,-0.054898440160792206
deep3_rx,SA,30,-0.054334560184831474,-0.07581458827185228,-0.03240329002507927
deep3_rx,SWI,30,-0.010877423180763316,-0.01717171331166339,-0.004821829862239776
