region,species_id,feature,pearson_r
AWT,awt26,bc04,0.999999
AWT,awt26,bc05,0.999945
AWT,awt26,bc06,0.999988
AWT,awt26,bc12,0.999989
AWT,awt26,bc15,0.999513
AWT,awt26,slope,0.999784
AWT,awt26,topo,0.999999
AWT,awt26,tri,0.999981
AWT,awt29,bc04,0.999814
AWT,awt29,bc05,0.9907
AWT,awt29,bc06,0.999928
AWT,awt29,bc12,0.998971
AWT,awt29,bc15,0.998504
AWT,awt29,slope,0.994645
AWT,awt29,topo,0.999999
AWT,awt29,tri,0.999044
AWT,awt34,bc04,0.999997
AWT,awt34,bc05,0.999937
AWT,awt34,bc06,0.999162
AWT,awt34,bc12,0.999962
AWT,awt34,bc15,0.999684
AWT,awt34,slope,0.99985
AWT,awt34,topo,0.99999
AWT,awt34,tri,0.999924
CAN,can06,alt,0.99987
CAN,can06,asp2,1.0
CAN,can06,ontprec,0.999989
CAN,can06,ontslp,0.999996
CAN,can06,onttemp,0.999999
CAN,can06,watdist,0.999997
CAN,can08,alt,0.990957
CAN,can08,asp2,0.999914
CAN,can08,ontprec,0.999447
CAN,can08,ontslp,0.950675
CAN,can08,onttemp,0.970731
CAN,can08,watdist,0.99866
CAN,can18,alt,0.999575
CAN,can18,asp2,0.999937
CAN,can18,ontprec,0.997899
CAN,can18,ontslp,0.913962
CAN,can18,onttemp,0.997377
CAN,can18,watdist,0.990124
NSW,nsw44,cti,0.999881
NSW,nsw44,disturb,0.999877
NSW,nsw44,mi,0.999981
NSW,nsw44,rainann,1.0
NSW,nsw44,raindq,0.999978
NSW,nsw44,rugged,0.99998
NSW,nsw44,soildepth,0.9999
NSW,nsw44,soilfert,0.999999
NSW,nsw44,solrad,0.973174
NSW,nsw44,tempann,0.999478
NSW,nsw44,topo,0.999952
NSW,nsw46,cti,0.999829
NSW,nsw46,disturb,0.999957
NSW,nsw46,mi,0.99584
NSW,nsw46,rainann,0.999964
NSW,nsw46,raindq,0.999997
NSW,nsw46,rugged,0.999985
NSW,nsw46,soildepth,0.999853
NSW,nsw46,soilfert,0.999927
NSW,nsw46,solrad,0.97081
NSW,nsw46,tempann,0.999947
NSW,nsw46,topo,0.999807
NSW,nsw49,cti,0.999723
NSW,nsw49,disturb,0.995747
NSW,nsw49,mi,0.997812
NSW,nsw49,rainann,0.999744
NSW,nsw49,raindq,0.998374
NSW,nsw49,rugged,0.999469
NSW,nsw49,soildepth,0.995123
NSW,nsw49,soilfert,0.999951
NSW,nsw49,solrad,0.938806
NSW,nsw49,tempann,0.999684
NSW,nsw49,topo,0.998918
NZ,nz11,deficit,0.999015
NZ,nz11,hillshade,0.999424
NZ,nz11,mas,0.999969
NZ,nz11,mat,0.999972
NZ,nz11,r2pet,0.999583
NZ,nz11,slope,0.999946
NZ,nz11,sseas,0.999903
NZ,nz11,tseas,0.998341
NZ,nz11,vpd,0.999922
NZ,nz18,deficit,0.943755
NZ,nz18,hillshade,0.999988
NZ,nz18,mas,0.998083
NZ,nz18,mat,0.99644
NZ,nz18,r2pet,0.965816
NZ,nz18,slope,0.999968
NZ,nz18,sseas,0.999926
NZ,nz18,tseas,0.999105
NZ,nz18,vpd,0.999941
NZ,nz41,deficit,0.996589
NZ,nz41,hillshade,0.999808
NZ,nz41,mas,0.999991
NZ,nz41,mat,0.999166
NZ,nz41,r2pet,0.996567
NZ,nz41,slope,0.999274
NZ,nz41,sseas,0.999998
NZ,nz41,tseas,0.999959
NZ,nz41,vpd,0.999071
SA,sa04,sabio12,0.999877
SA,sa04,sabio15,0.997391
SA,sa04,sabio17,0.999752
SA,sa04,sabio18,0.999918
SA,sa04,sabio2,0.99823
SA,sa04,sabio4,0.999985
SA,sa04,sabio5,0.999861
SA,sa04,sabio6,0.999845
SA,sa08,sabio12,0.999798
SA,sa08,sabio15,0.999864
SA,sa08,sabio17,0.992956
SA,sa08,sabio18,0.999268
SA,sa08,sabio2,0.998403
SA,sa08,sabio4,0.999737
SA,sa08,sabio5,0.997592
SA,sa08,sabio6,0.999957
SA,sa17,sabio12,0.999559
SA,sa17,sabio15,0.999778
SA,sa17,sabio17,0.999447
SA,sa17,sabio18,0.999927
SA,sa17,sabio2,0.999886
SA,sa17,sabio4,0.999965
SA,sa17,sabio5,0.999901
SA,sa17,sabio6,0.998237
SWI,swi05,bcc,0.999859
SWI,swi05,ccc,0.999882
SWI,swi05,ddeg,0.984339
SWI,swi05,nutri,0.99912
SWI,swi05,pday,0.9838
SWI,swi05,precyy,0.997486
SWI,swi05,sfroyy,0.467956
SWI,swi05,slope,0.994486
SWI,swi05,sradyy,0.997347
SWI,swi05,swb,0.997733
SWI,swi05,topo,0.997216
SWI,swi17,bcc,0.999967
SWI,swi17,ccc,0.999495
SWI,swi17,ddeg,0.878999
SWI,swi17,nutri,0.962018
SWI,swi17,pday,0.864818
SWI,swi17,precyy,0.94807
SWI,swi17,sfroyy,0.880989
SWI,swi17,slope,0.980929
SWI,swi17,sradyy,0.999667
SWI,swi17,swb,0.992874
SWI,swi17,topo,0.974216
SWI,swi26,bcc,0.99994
SWI,swi26,ccc,0.999988
SWI,swi26,ddeg,0.998377
SWI,swi26,nutri,0.99288
SWI,swi26,pday,0.999747
SWI,swi26,precyy,0.999943
SWI,swi26,sfroyy,0.760086
SWI,swi26,slope,0.999457
SWI,swi26,sradyy,0.995847
SWI,swi26,swb,0.947529
SWI,swi26,topo,0.975438
