protocol,stage,region,species_id,taxon_group,seed,n_presence,n_PA_test,lambda_s,lambda_selection,background_scheme,integration_support,objective,remediation,n_background,lambda_cv_scores,lambda_best_cv_score,model,converged,runtime_s,final_loss,skip_reason,auc_roc,auprc,prg,cor,maxnet_max_bg,depth,mixer_input,hidden_width,residual,disable_silu,freeze_edges,warm_start,last_grad_norm,param_l2_norm,loss_history,adam_lr,steps_adam,steps_lbfgs,failed,_o,auc_maxnet,delta_e2e_minus_maxnet
methodological_closure_v1,D,AWT,awt01,bird,0,178,340,0.001,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,,,standard_kan_ipp,True,495.449356764002,1460.2440753343735,,0.5494389901823282,0.3077536572217504,0.1140725234578425,0.0491606011389036,,,,,,False,,,198.5840606689453,23.88840881756732,"[1926.273330440814, 1918.7877542529764, 1908.5856346026076, 1897.2237762964749, 1883.459583088966, 1869.3788694432178, 1855.9760442875988, 1843.1270486474095, 1830.5035572498828, 1818.3981110471432, 1807.227931630301, 1797.401907777476, 1787.9771329951143, 1777.2398708768992, 1765.9814953877847, 1755.3848531031256, 1746.6492193212632, 1738.9456891302623, 1731.8710214346677, 1725.197580633743, 1718.4249461509273, 1711.7313848458439, 1705.50396906027, 1699.2230367405489, 1692.5801026293534, 1685.8384886971269, 1679.0986990507165, 1672.4970925367143, 1666.3580302078124, 1659.9520707665968, 1652.7501887034787, 1646.452719476274, 1641.6907471658576, 1636.9081786805943, 1631.657471040635, 1626.0675000235403, 1620.890499859931, 1616.483562381903, 1612.4793201464445, 1608.0275026745896, 1603.7832005832138, 1599.8807418111824, 1595.9412235735892, 1592.2059291740627, 1588.740538096562, 1585.2323031491044, 1582.7152955642873, 1579.7574084554356, 1576.2922569666705, 1573.0463864261899, 1571.4168214025935, 1568.6470619272561, 1566.7790206299314, 1564.0265546712487, 1562.1006568181404, 1559.8162920993782, 1558.1407661835378, 1556.726263356957, 1554.471850575924, 1552.5048263750434, 1550.8549196125546, 1548.0121210284665, 1547.1229427539852, 1543.5487774461417, 1543.6839021708279, 1540.0303006194474, 1543.186494916944, 1541.8615650926263, 1536.0535918557616, 1536.7163919545812, 1534.3226778940893, 1534.07439166, 1532.8900800892184, 1529.6583945721766, 1529.920239770589, 1526.958602169521, 1529.0873425183584, 1527.724316474131, 1523.6982892958008, 1523.126610981341, 1521.0861521665931, 1519.007491568893, 1514.4061594355887, 1507.7829082575474, 1499.707950249327, 1491.8662274764577, 1481.3782012536412, 1473.6123061766723, 1467.024365934815, 1460.2440753343735]",0.03,80.0,10.0,False,0.0,0.4813727208976157,0.06806626928471254
methodological_closure_v1,D,AWT,awt02,bird,0,149,340,0.01,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,,,standard_kan_ipp,True,492.8274767440016,1167.049381647759,,0.6564133738601824,0.5100194656118746,0.3296035285568776,0.2656215248711422,,,,,,False,,,179.65777587890625,23.446569318175637,"[1613.6403510029227, 1609.9416754006463, 1603.8424324145224, 1593.5943199859755, 1579.0210323814433, 1563.954614878251, 1552.0754677213558, 1539.340457546889, 1525.3399429515068, 1512.292631301369, 1500.6768659534187, 1489.9933058712295, 1480.0824058299797, 1470.8542934836987, 1462.1548640352642, 1453.666320652192, 1445.9867554679668, 1439.2321453866318, 1432.030150725616, 1423.7243385719264, 1415.993524295647, 1410.353274303527, 1405.7021623363034, 1400.9698358350388, 1395.8089402093476, 1389.91064696401, 1383.8982270225808, 1378.2012435686659, 1371.9642118774052, 1365.7428717140542, 1360.403443563764, 1356.7714385456882, 1353.0973225719947, 1348.5726199210694, 1343.063574288475, 1338.2705664564135, 1334.807477359025, 1331.2168141312322, 1327.3912043807695, 1324.3210424352988, 1321.1318405514874, 1318.2181515000984, 1315.1688745637123, 1311.4617362465663, 1309.8190199396108, 1306.4154577253598, 1305.563500413891, 1302.4134463926162, 1303.0514272834944, 1300.9710941311876, 1298.0664497069906, 1296.6291716404332, 1293.4049079604338, 1290.9189406648572, 1289.125523356856, 1286.203279974515, 1286.0448764357084, 1284.5702838697075, 1280.2383222688024, 1278.290001328294, 1275.8089912110042, 1273.4130355693524, 1271.3367030393197, 1268.5926810068668, 1268.3389387976338, 1264.7241434830012, 1266.7268201751588, 1266.385396710494, 1259.9106236525292, 1261.1034731663765, 1259.6225819291883, 1254.3777245871995, 1255.4244936698053, 1253.0038630398976, 1251.5504035412393, 1250.3776137887055, 1248.4823079204816, 1245.9281832778627, 1244.7349746979467, 1242.3587672205451, 1242.2040838389514, 1236.6523682719996, 1222.2694535145463, 1210.1194038456424, 1197.7989049507994, 1191.2439955389368, 1184.0793092911783, 1178.842008104301, 1173.0079323684545, 1167.049381647759]",0.03,80.0,10.0,False,0.0,0.7874772036474165,-0.13106382978723408
methodological_closure_v1,D,AWT,awt03,bird,0,219,340,0.0001,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,,,standard_kan_ipp,True,495.6643884820005,1792.3483960799842,,0.5214372313457512,0.3782852699681647,0.0714784814378958,0.0374159937845341,,,,,,False,,,353.08380126953125,23.7067412708931,"[2369.9382722105534, 2362.0855737211955, 2343.924604926047, 2323.593354756317, 2302.323217270956, 2284.7198067583968, 2269.4758472527997, 2252.7393919853603, 2236.1906376567854, 2220.640780503959, 2204.967576421518, 2189.4588268497628, 2174.5585102565356, 2159.8930958963806, 2147.0733035568046, 2138.106534160281, 2132.179183328004, 2125.6931276419714, 2117.124026041314, 2107.9538850085546, 2099.368956732508, 2091.180258720903, 2083.3794832708854, 2075.96118134317, 2069.4580012393953, 2063.5213711561028, 2056.9810131810395, 2049.913804396215, 2042.3231954044059, 2034.3838812480847, 2026.8813054653422, 2020.2639426982882, 2013.5405930446739, 2006.7386962283845, 2001.2226929542787, 1996.245386357141, 1990.2064719052837, 1983.168090979371, 1976.6511780195221, 1970.7484262980802, 1964.9223509348476, 1959.2289445588679, 1953.510384795029, 1948.410301791488, 1943.9955453878422, 1940.1559806745004, 1937.186019990256, 1934.086650193486, 1930.3809024721677, 1926.684533330103, 1923.2772631446824, 1920.0010785929846, 1916.7134488577663, 1912.6843827061905, 1908.765656370618, 1905.9037126628104, 1902.154142306, 1898.6779382823975, 1896.4070226359854, 1892.6882901883346, 1892.1727890185543, 1887.338866651485, 1890.8713595857835, 1890.2396298505714, 1881.6713091824208, 1887.696400186849, 1890.9418859276016, 1879.6623160743763, 1879.1570442450366, 1883.6552523186322, 1875.9095987322783, 1871.1694124896376, 1872.3284788250821, 1866.6592419012036, 1870.8215922462443, 1872.6385946933244, 1863.791376517503, 1864.9567366929896, 1868.7238991963006, 1861.6532877695038, 1857.384187436723, 1854.0916027814496, 1845.76444659663, 1835.446737942458, 1827.6801796350621, 1820.2740264478266, 1813.1752648825263, 1806.49868555065, 1798.6080703239227, 1792.3483960799842]",0.03,80.0,10.0,False,0.0,0.4994305448400014,0.022006686505749773
methodological_closure_v1,D,AWT,awt04,bird,0,216,340,0.01,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,,,standard_kan_ipp,True,490.2729539290012,1760.0325614790504,,0.4431075253860064,0.4234882137423085,-0.0622647787542643,-0.098511758037289,,,,,,False,,,275.2550048828125,23.160894867585583,"[2336.764087934131, 2325.5542410129324, 2303.6223368516225, 2280.7149571030654, 2256.5495727100943, 2237.0154078616824, 2218.3520655499774, 2199.711182539805, 2183.744759716861, 2168.8444371360406, 2154.073080047704, 2140.343320659934, 2128.2730401372314, 2118.099072778286, 2108.9783324566906, 2100.5796934690006, 2091.7721749722286, 2081.6274792835434, 2070.9889745163478, 2060.54579409381, 2050.3604240592003, 2040.9648426289268, 2032.9318796391524, 2025.9423510182373, 2020.055912344979, 2014.6858186320712, 2009.3958699066393, 2004.626166945401, 2000.0031116571604, 1995.385707827674, 1990.4581936282816, 1985.4604200244655, 1980.199015115528, 1974.9832020761005, 1970.4909139394665, 1966.7168060465517, 1963.4555715315548, 1960.3463960967622, 1956.7685340090168, 1952.7359933239838, 1948.6450270726032, 1944.6891423268892, 1940.7125984658917, 1936.5208053580666, 1932.5922001199472, 1928.3002006704894, 1923.7911958072766, 1919.5044554403435, 1914.5166879506414, 1909.6095798707563, 1905.0427268223002, 1900.8016623745932, 1896.5637655144828, 1892.6796798905887, 1888.5287069837757, 1884.3783353074741, 1880.8754589034097, 1878.6211017268604, 1876.0985666083263, 1873.4306439981567, 1872.0278048409189, 1869.649512522203, 1868.9824966241465, 1865.976011009497, 1868.0687077794084, 1866.8521020752812, 1861.6496512747335, 1863.818234149693, 1861.2449088804626, 1857.6549475748266, 1857.4083228880927, 1854.1133489292613, 1854.9219098773965, 1852.6834751890456, 1852.1766202941903, 1851.9490564748075, 1848.7914398768887, 1846.9726409568152, 1847.8518240743201, 1844.3224597039944, 1844.905120726616, 1838.7655061605742, 1824.3782964260274, 1806.6028017981885, 1794.3939072235667, 1782.648143719464, 1774.9481098516194, 1769.4835999496356, 1764.698401820289, 1760.0325614790504]",0.03,80.0,10.0,False,0.0,0.4883850326888301,-0.045277507302823705
methodological_closure_v1,D,AWT,awt05,bird,0,114,340,0.001,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,,,standard_kan_ipp,True,494.7928800480004,778.6162927082412,,0.6928327645051194,0.2804968460772944,0.4692791837013305,0.2269568099519183,,,,,,False,,,289.8257751464844,23.39925770539979,"[1233.100807196557, 1226.6735587847947, 1211.6645248966122, 1196.173718644593, 1178.1466328776016, 1162.785241750401, 1150.3662455464714, 1137.1987578705862, 1123.0718240732629, 1109.2458491552245, 1096.0609771364525, 1083.6534954392782, 1072.1244363726119, 1060.9811102383899, 1050.3591030009177, 1040.6724204694142, 1032.1048436902702, 1024.5178240779094, 1017.3234825213095, 1010.5458926918232, 1004.1178659250759, 998.248444513682, 992.6605598042565, 987.4014690268461, 982.4158353228105, 977.5329960459641, 973.188778736809, 969.3298480078035, 965.6714187137029, 962.3444291689539, 959.113755847463, 955.7319711394958, 951.8361183352941, 947.9650537809788, 944.4593966417435, 940.4314160824786, 935.3438087517466, 930.3297615785601, 925.9846763189481, 921.9562550822181, 918.010495308632, 914.194550694767, 910.2145536689709, 906.1330879695497, 902.370440089493, 899.1341078285075, 896.2009710740878, 893.1824267602289, 889.8133196905407, 886.4827889644237, 883.8310209467058, 881.2629928906438, 878.8602909328248, 876.5209969012943, 873.7552286015191, 871.3619522601978, 869.3254329267903, 866.4529109528423, 864.2759106127729, 861.7790242140549, 859.5869165125168, 857.6147208619885, 855.8238838675265, 853.8041492042481, 852.2824732634969, 850.8656999854697, 850.2068395599562, 847.6295985130827, 848.1308117563328, 844.7971358553501, 848.4035534393264, 847.3818498473632, 842.4027853442414, 842.3875040640995, 842.8834778321707, 838.8574695395182, 843.5738128372141, 844.092350166161, 836.052406002506, 840.0200662152826, 840.6524611747114, 832.2369584245511, 828.4324599094882, 819.5474731900614, 811.1737907091656, 802.3800809416797, 795.6709032336015, 789.6405065031399, 783.6431923716532, 778.6162927082412]",0.03,80.0,10.0,False,0.0,0.7380727616004648,-0.04523999709534532
methodological_closure_v1,D,AWT,awt06,bird,0,265,340,0.01,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,,,standard_kan_ipp,True,498.1564981439951,2231.670659563963,,0.6471287267135017,0.6736211740450655,0.2493942592059725,0.3098602103439692,,,,,,False,,,100.87623596191406,22.924583709269264,"[2867.4572294575373, 2854.283425460379, 2827.3357138530523, 2800.07548608094, 2768.829418622377, 2741.849410248649, 2721.469359095703, 2700.366238056727, 2678.6537798286818, 2656.1638427036205, 2633.863932999734, 2614.805744913262, 2597.404212458159, 2580.0139261847303, 2566.0864668361196, 2555.744789647856, 2547.3974973461354, 2539.439756587685, 2531.641783614605, 2525.100564286273, 2519.8358425468477, 2514.9463739213584, 2508.8355754747818, 2501.7131708694938, 2494.4845491893852, 2488.1214068627933, 2482.3689372440504, 2476.8349092617177, 2471.3065971207943, 2466.0142843638087, 2460.920159448027, 2455.780692075786, 2450.6862730806165, 2445.4427814302153, 2439.904696203091, 2434.3529844797195, 2428.514011899879, 2422.5797456278005, 2416.5419968776673, 2410.7105639613505, 2404.407973535996, 2398.52903505713, 2393.1479139961166, 2387.858164817317, 2382.6324781208323, 2377.3158948304517, 2371.9864087521755, 2367.5471047749074, 2363.158674661081, 2358.865488214377, 2354.4923201299166, 2350.5586246023795, 2346.3767400776946, 2341.947374600963, 2338.107918070615, 2334.672106417157, 2332.387104249098, 2330.4698188489892, 2328.7767294168825, 2327.2043133919015, 2325.1116254975846, 2323.096634005923, 2320.209458944748, 2318.2712780150873, 2316.6030460401234, 2314.8142285776667, 2313.372958452439, 2311.305894541018, 2309.5528412294225, 2307.596596073724, 2305.8313676636176, 2304.2469769664976, 2302.387222257368, 2300.894705944603, 2299.5185105663936, 2297.7412091225283, 2296.8742399546445, 2294.5027400870863, 2293.6714436482507, 2291.4625422145846, 2290.991001962176, 2289.1360069108773, 2285.088023599458, 2278.271731872298, 2269.6866686642643, 2262.4870826329884, 2253.420004862349, 2245.730146098869, 2238.609552342971, 2231.670659563963]",0.03,80.0,10.0,False,0.0,0.7244765999091259,-0.0773478731956242
methodological_closure_v1,D,AWT,awt07,bird,0,158,340,0.01,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,,,standard_kan_ipp,True,493.7883376329992,1260.9312115477114,,0.5668049001382335,0.2849762554426826,0.1407771698788056,0.0950638382528464,,,,,,False,,,132.80397033691406,23.470598876904457,"[1709.8716262645278, 1702.313958039931, 1691.5441629159097, 1679.3448195598469, 1666.6365195290978, 1654.1857934260424, 1642.5681000410887, 1630.558559411437, 1617.6542020771806, 1604.978303752893, 1593.3315063453406, 1582.884372951641, 1573.9373707966377, 1565.9645237935977, 1558.5288115804194, 1551.3650218170912, 1543.9483325897231, 1536.7210220786199, 1529.7865285227049, 1522.5916938068917, 1515.0836075685188, 1508.0615813143716, 1500.8053553340205, 1493.0433488964397, 1485.2165230799824, 1477.643435866974, 1471.031933393164, 1465.816901417294, 1461.2837527140507, 1456.483845310243, 1451.0997193235153, 1445.7028873526738, 1440.2480309865637, 1434.5232434002687, 1428.847019837026, 1423.1823103849063, 1417.8227355189267, 1413.0700338609222, 1408.9565147347598, 1405.12634066274, 1401.4218947573768, 1397.9545633660457, 1394.4169689055925, 1390.8862033376436, 1387.9822341026907, 1384.9642401462197, 1382.0158626318814, 1379.3724461316303, 1376.4300905183222, 1373.3531866603614, 1370.331390113568, 1367.3465521701462, 1364.577887603096, 1361.5425922027616, 1359.0373208170038, 1356.1772995208119, 1353.1633620680973, 1350.3461518674358, 1347.2623680680556, 1343.963841647139, 1342.6414242333058, 1339.2474444852949, 1337.7541385577092, 1334.9362688124902, 1333.0309141159184, 1330.4422072915504, 1328.8557109251494, 1326.5183882045949, 1324.6893605322375, 1323.03055100711, 1320.7454983744155, 1320.0637752722614, 1317.4403256671028, 1317.193247861961, 1314.985022351491, 1314.1993374517776, 1313.1985550379752, 1310.5762872940445, 1311.6924595015232, 1308.6649236125688, 1309.9343703871764, 1305.0831683809176, 1300.333243017209, 1292.5259891413814, 1285.2199468053316, 1279.0277067488264, 1275.3640482987978, 1271.1799122252817, 1265.7729491812, 1260.9312115477114]",0.03,80.0,10.0,False,0.0,0.5030268363601696,0.06377806377806383
methodological_closure_v1,D,AWT,awt08,bird,0,231,340,0.01,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,,,standard_kan_ipp,True,494.8821274759976,1960.2347997649545,,0.6279529682499732,0.578000761775103,0.2250561717183249,0.2249118629927015,,,,,,False,,,317.2438049316406,22.99159599266606,"[2501.2550379569057, 2497.5387193835495, 2490.842737472191, 2480.0482201308587, 2465.424311668517, 2450.4910219345097, 2438.40937379542, 2426.255109015471, 2413.0173944718426, 2398.971672218287, 2384.763624150726, 2371.7725846539415, 2360.881634674557, 2351.095489982504, 2341.2669098908905, 2330.632592230752, 2319.2120034537024, 2308.058210792648, 2296.8609019401524, 2285.695019475353, 2275.920316162375, 2267.065533903153, 2258.3278598027136, 2250.2666729392145, 2241.988153946563, 2233.713977959339, 2225.6611225188863, 2218.1235303274375, 2210.6501226648006, 2202.695994537242, 2195.006585301543, 2187.857933202695, 2180.9543437355237, 2173.9923139792118, 2168.0919915508484, 2162.9228373148144, 2157.6785471050357, 2152.1422331526333, 2146.6684327490625, 2142.391425988694, 2137.8770770672268, 2133.220388210399, 2128.6708242001164, 2123.7076014326176, 2119.1473974454902, 2116.333721175468, 2110.9472567874122, 2107.278007664711, 2103.3776061255617, 2099.4905170660936, 2096.169037058964, 2092.893729483813, 2089.2331791979395, 2084.8877605852563, 2081.177617485785, 2078.0773610873816, 2074.8077275612, 2072.2798001650053, 2068.4264652399243, 2065.703413907916, 2063.1088549916403, 2060.731793279877, 2057.0737087384177, 2055.4127197304397, 2052.1747970932092, 2051.754945120907, 2049.249227922434, 2045.5968407040252, 2045.8865186543069, 2041.1398404226575, 2042.8418490834347, 2042.2595397032826, 2037.972891932783, 2035.2470062421792, 2037.5771812201106, 2033.9353871830608, 2032.614959060778, 2032.059849172634, 2028.6406984714224, 2027.8089865314357, 2024.515124463681, 2022.2034689697757, 2018.0893167675515, 2009.1729202687845, 1998.7589715622555, 1990.4575976831538, 1982.1353404151237, 1975.5258958880522, 1967.0521554265615, 1960.2347997649545]",0.03,80.0,10.0,False,0.0,0.6652763295099061,-0.03732336125993296
methodological_closure_v1,D,AWT,awt09,bird,1000,112,340,1.0,po_random_5fold,random_50k,full_background_50k,ipp,R1,50000,,,standard_kan_ipp,True,667.4305056770027,758.8391587301008,,0.6010056196391601,0.2220719651428713,0.2244909726902107,0.1155286311611145,,,,,,False,,,49.72747421264648,24.72258994927921,"[1210.9346819605055, 1208.7104277092833, 1205.7430889385535, 1201.9727113714985, 1197.5827155093566, 1192.7094048060808, 1187.4998078198983, 1182.1316949733846, 1176.7525088333696, 1171.4737718621734, 1166.3558000959993, 1161.3694265642932, 1156.438720017579, 1151.5510855436148, 1146.7551921285265, 1142.062579333261, 1137.43424458874, 1132.8471737276343, 1128.3231485191595, 1123.9121553101675, 1119.6654285255877, 1115.6197745474944, 1111.7791549137564, 1108.1128167162233, 1104.588694158152, 1101.2106212880535, 1098.0085067688046, 1094.9899374968143, 1092.1080041681378, 1089.3048119383188, 1086.5411773460705, 1083.7702456177647, 1080.9474245470092, 1078.0565464625195, 1075.0736812343036, 1071.9716635949717, 1068.743579047845, 1065.385991249186, 1061.9303435297327, 1058.4821263442338, 1055.1682173872102, 1052.0090965854533, 1048.9113144915225, 1045.8391091860076, 1042.8257150371724, 1039.8426275755298, 1036.8467175958062, 1033.9086596379047, 1031.0989852076868, 1028.3893753641598, 1025.7696762578362, 1023.2513596716786, 1020.7460499022759, 1018.1364861413019, 1015.3847506265937, 1012.5248660925001, 1009.6541150227841, 1006.8272976256665, 1004.0093620023738, 1001.1877050538883, 998.3167904561095, 995.4159236631621, 992.5742723489758, 989.8067314953273, 987.1305244060611, 984.5072827192074, 981.8662459983608, 979.1560122317197, 976.4220896395116, 973.7049869846508, 971.0560849653818, 968.4563499115327, 965.8932851241931, 963.34310540662, 960.7818035337784, 958.1820387798489, 955.5406176441614, 952.8990372635216, 950.2703141155336, 947.6496092779964, 945.025225983204, 942.407140710853, 939.8079426280439, 937.2443040949103, 934.7442986916545, 932.3278170082295, 930.0001861739777, 927.6930076502254, 925.4042675333467, 923.0867615399694, 920.7584678531414, 918.5251134438054, 916.368684473655, 914.3166736656141, 912.3698942948226, 910.5061079665868, 908.7081849727838, 906.9559630504478, 905.2403091758007, 903.5381557931681, 901.8308462866323, 900.1324867070322, 898.4105269372587, 896.6914137878147, 894.9404225244288, 893.1967267805477, 891.4545877142438, 889.7606644825778, 888.0974870949001, 886.4316964673282, 884.8296624510072, 883.2871059560579, 881.7983878041169, 869.6528289754783, 850.026742242297, 840.4763597427195, 828.2111047247647, 817.4493891988702, 808.1204664081299, 798.6483498420575, 792.8473125710311, 786.8232808293658, 780.0635498723587, 774.2458440736366, 768.2566496135951, 763.2138149735805, 758.8391587301008]",0.01,112.0,15.0,False,1.0,0.7072611653356995,-0.10625554569653939
methodological_closure_v1,D,AWT,awt10,bird,0,122,340,0.001,po_random_5fold,random_50k,full_background_50k,ipp,primary,50000,,,standard_kan_ipp,True,497.8717774719989,855.450065413882,,0.6206953369583128,0.3888872512229804,0.2523290910948556,0.1972376430231098,,,,,,False,,,174.1869354248047,23.511725559287505,"[1319.7504247224851, 1312.6232974576421, 1297.985286444355, 1281.3179681481101, 1263.8980141866273, 1249.0304306939172, 1235.0631235788412, 1221.0840447921464, 1208.4886685325905, 1196.8543668945492, 1185.0653744798474, 1172.9138432882548, 1160.8288687360962, 1150.063821731584, 1141.1117212342508, 1133.6967268763558, 1127.0279371699187, 1120.6484279662807, 1113.7985865997716, 1107.527842695133, 1102.3167852718645, 1097.1896240777546, 1092.4095129548202, 1087.6572544520245, 1083.2334174028042, 1079.463258527137, 1075.4836879799645, 1071.0444223259963, 1066.152741182408, 1060.7522962148962, 1055.488388008196, 1050.412892068386, 1045.700791365647, 1041.458674408813, 1037.184888607373, 1033.602865783663, 1030.235744544651, 1027.2099112841497, 1023.6823818204776, 1020.0387880225072, 1016.199583825034, 1012.4522250150649, 1008.3550252479212, 1003.8418996476756, 999.2999570290542, 995.3966250942807, 991.8215411913126, 988.8501117802317, 986.0337285645844, 983.2250727669879, 980.249888537151, 977.0117026028673, 974.1353741910715, 970.8869778445356, 968.0886817557537, 965.6176350512385, 962.8813671321975, 960.9536738454298, 958.6501613550856, 956.3583149022564, 953.4749544202597, 951.1860281858591, 947.9083890767922, 945.7928070728708, 943.556566780148, 941.4337618495202, 939.4836461159866, 937.3509503127129, 935.5832427408976, 933.7249475109402, 932.072636916776, 930.8856782019498, 929.1181998002781, 928.1745664582035, 926.5148099391878, 925.6890028954238, 923.7230512131126, 922.9245851049062, 920.9624506305775, 920.4435455262503, 918.4777753028615, 915.2261905438777, 904.6547165191944, 893.3364347717588, 885.4723378651505, 878.1089624549154, 873.26541660908, 866.2806126202473, 860.3307124943265, 855.450065413882]",0.03,80.0,10.0,False,0.0,0.6717745921898172,-0.05107925523150436
