region,species_id,taxon_group,n_presence,lambda_s,lambda_selection,model,auc_random,auc_tgb,delta_tgb_minus_random,n_bg_random,n_bg_tgb,converged_random,converged_tgb,skip_random,skip_tgb
NSW,nsw04,ba,49,0.000100,po_random_5fold,additive_kan_bce,0.831840,0.828554,-0.003286,50000,138,True,True,,
NSW,nsw04,ba,49,0.000100,po_random_5fold,additive_kan_ipp,0.862903,0.814964,-0.047939,50000,138,True,True,,
NSW,nsw04,ba,49,0.000100,po_random_5fold,gam_ipp_same_basis,0.862903,0.812127,-0.050777,50000,138,True,True,,
NSW,nsw04,ba,49,0.000100,po_random_5fold,maxnet_bg10k,0.852001,,,50000,138,True,False,,
NSW,nsw04,ba,49,0.000100,po_random_5fold,maxnet_bg50k,0.850806,,,50000,138,True,False,,
NSW,nsw06,ba,44,1.000000,po_random_5fold,additive_kan_bce,0.508117,0.513422,0.005305,50000,143,True,True,,
NSW,nsw06,ba,44,1.000000,po_random_5fold,additive_kan_ipp,0.475135,0.518949,0.043814,50000,143,True,True,,
NSW,nsw06,ba,44,1.000000,po_random_5fold,gam_ipp_same_basis,0.475191,0.518463,0.043272,50000,143,True,True,,
NSW,nsw06,ba,44,1.000000,po_random_5fold,maxnet_bg10k,0.476663,,,50000,143,True,False,,
NSW,nsw06,ba,44,1.000000,po_random_5fold,maxnet_bg50k,0.475607,,,50000,143,True,False,,
NSW,nsw09,db,426,1.000000,po_random_5fold,additive_kan_bce,0.562369,0.672229,0.109860,50000,1087,True,True,,
NSW,nsw09,db,426,1.000000,po_random_5fold,additive_kan_ipp,0.587865,0.681683,0.093818,50000,1087,True,True,,
NSW,nsw09,db,426,1.000000,po_random_5fold,gam_ipp_same_basis,0.587927,0.681683,0.093756,50000,1087,True,True,,
NSW,nsw09,db,426,1.000000,po_random_5fold,maxnet_bg10k,0.563657,0.662462,0.098805,50000,1087,True,True,,
NSW,nsw09,db,426,1.000000,po_random_5fold,maxnet_bg50k,0.571740,0.662462,0.090722,50000,1087,True,True,,
NSW,nsw14,db,315,0.010000,po_random_5fold,additive_kan_bce,0.656629,0.753045,0.096417,50000,1198,True,True,,
