x_scaled,x_raw,phi,in_train_support
-1.107689618840470125e+00,-3.068947265999997853e+01,-2.542127961464730745e-01,0.000000000000000000e+00
-1.039948536743286134e+00,9.299840200000062396e-01,-1.752782130888279610e-01,1.000000000000000000e+00
-9.722074546461019207e-01,3.254944070000004785e+01,-1.147068536010094064e-01,1.000000000000000000e+00
-9.044663725489179296e-01,6.416889738000003263e+01,-7.066598328968343168e-02,1.000000000000000000e+00
-8.367252904517338274e-01,9.578835406000001740e+01,-4.132286776151472552e-02,1.000000000000000000e+00
-7.689842083545497253e-01,1.274078107400000590e+02,-2.484477262316620028e-02,1.000000000000000000e+00
-7.012431262573657342e-01,1.590272674199999869e+02,-1.939896348130254466e-02,1.000000000000000000e+00
-6.335020441601816321e-01,1.906467241000000286e+02,-2.315270594258889147e-02,1.000000000000000000e+00
-5.657609620629975300e-01,2.222661807800000133e+02,-3.427326561368948532e-02,1.000000000000000000e+00
-4.980198799658134279e-01,2.538856374600000265e+02,-5.092790810126812673e-02,1.000000000000000000e+00
-4.302787978686293258e-01,2.855050941400000397e+02,-7.128389901199039258e-02,1.000000000000000000e+00
-3.625377157714453347e-01,3.171245508199999676e+02,-9.350850395251919522e-02,1.000000000000000000e+00
-2.947966336742612325e-01,3.487440075000000093e+02,-1.157689885295196675e-01,1.000000000000000000e+00
-2.270555515770771304e-01,3.803634641800000509e+02,-1.362326183496569421e-01,1.000000000000000000e+00
-1.593144694798931393e-01,4.119829208599999788e+02,-1.530666590195934873e-01,1.000000000000000000e+00
-9.157338738270892620e-02,4.436023775400000204e+02,-1.644383761459939919e-01,1.000000000000000000e+00
-2.383230528552493510e-02,4.752218342200000052e+02,-1.685150353355253650e-01,1.000000000000000000e+00
4.390877681165905599e-02,5.068412908999999900e+02,-1.635225694836699439e-01,1.000000000000000000e+00
1.116498589088432691e-01,5.384607475799999747e+02,-1.490362591287750504e-01,1.000000000000000000e+00
1.793909410060272602e-01,5.700802042599999595e+02,-1.259807324520521021e-01,1.000000000000000000e+00
2.471320231032114734e-01,6.016996609400000580e+02,-9.533928492353238582e-02,1.000000000000000000e+00
3.148731052003954645e-01,6.333191176200000427e+02,-5.809521201324452377e-02,1.000000000000000000e+00
3.826141872975794556e-01,6.649385743000000275e+02,-1.523180919122113508e-02,1.000000000000000000e+00
4.503552693947636687e-01,6.965580309800000123e+02,3.226762807250871390e-02,1.000000000000000000e+00
5.180963514919476598e-01,7.281774876599999970e+02,8.341980430791284817e-02,1.000000000000000000e+00
5.858374335891316509e-01,7.597969443399999818e+02,1.372414240449617573e-01,1.000000000000000000e+00
6.535785156863158640e-01,7.914164010199999666e+02,1.927491918136237103e-01,1.000000000000000000e+00
7.213195977834998551e-01,8.230358576999999514e+02,2.489598121438687528e-01,1.000000000000000000e+00
7.890606798806838462e-01,8.546553143799999361e+02,3.048899895656655978e-01,1.000000000000000000e+00
8.568017619778680594e-01,8.862747710599999209e+02,3.595564286089842909e-01,1.000000000000000000e+00
9.245428440750522725e-01,9.178942277400001331e+02,4.119758338037944334e-01,1.000000000000000000e+00
9.922839261722362636e-01,9.495136844200000041e+02,4.611649096800647385e-01,1.000000000000000000e+00
1.060025008269420255e+00,9.811331410999999889e+02,5.061403607677634753e-01,1.000000000000000000e+00
1.127766090366604246e+00,1.012752597779999974e+03,5.459188915968606892e-01,1.000000000000000000e+00
1.195507172463788237e+00,1.044372054459999845e+03,5.796495861048507336e-01,1.000000000000000000e+00
1.263248254560972672e+00,1.075991511140000057e+03,6.070110458593167557e-01,1.000000000000000000e+00
1.330989336658156663e+00,1.107610967820000042e+03,6.278142518353679868e-01,1.000000000000000000e+00
1.398730418755340654e+00,1.139230424500000026e+03,6.418701850081127702e-01,1.000000000000000000e+00
1.466471500852524645e+00,1.170849881180000011e+03,6.489898263526603372e-01,1.000000000000000000e+00
1.534212582949708636e+00,1.202469337859999996e+03,6.489841568441181430e-01,1.000000000000000000e+00
1.601953665046893072e+00,1.234088794539999981e+03,6.416641574575954188e-01,1.000000000000000000e+00
1.669694747144077063e+00,1.265708251219999966e+03,6.268408091682013961e-01,1.000000000000000000e+00
1.737435829241261054e+00,1.297327707899999950e+03,6.043250929510426417e-01,1.000000000000000000e+00
1.805176911338445045e+00,1.328947164579999935e+03,5.739279897812288311e-01,1.000000000000000000e+00
1.872917993435629036e+00,1.360566621259999920e+03,5.354604806338696399e-01,1.000000000000000000e+00
1.940659075532813027e+00,1.392186077939999905e+03,4.887335464840720789e-01,1.000000000000000000e+00
2.008400157629997462e+00,1.423805534619999889e+03,4.335581683069440473e-01,1.000000000000000000e+00
2.076141239727181453e+00,1.455424991299999874e+03,3.697453270775952205e-01,1.000000000000000000e+00
2.143882321824365444e+00,1.487044447979999859e+03,2.971060037711352741e-01,1.000000000000000000e+00
2.211623403921549436e+00,1.518663904659999844e+03,2.154511793626703309e-01,1.000000000000000000e+00
2.279364486018733427e+00,1.550283361339999828e+03,1.246041322451030275e-01,1.000000000000000000e+00
2.347105568115917862e+00,1.581902818020000041e+03,2.467098142057277954e-02,1.000000000000000000e+00
2.414846650213101853e+00,1.613522274700000025e+03,-8.395931349954199874e-02,1.000000000000000000e+00
2.482587732310285844e+00,1.645141731380000010e+03,-2.008854954860694875e-01,1.000000000000000000e+00
2.550328814407469835e+00,1.676761188059999995e+03,-3.257063075098409755e-01,1.000000000000000000e+00
2.618069896504653826e+00,1.708380644739999980e+03,-4.580204925416841988e-01,1.000000000000000000e+00
2.685810978601837817e+00,1.740000101419999737e+03,-5.974267935524291140e-01,1.000000000000000000e+00
2.753552060699022253e+00,1.771619558099999949e+03,-7.435239535129047894e-01,1.000000000000000000e+00
2.821293142796206244e+00,1.803239014779999934e+03,-8.959107153939389612e-01,1.000000000000000000e+00
2.889034224893390235e+00,1.834858471459999919e+03,-1.054185822166361142e+00,1.000000000000000000e+00
2.956775306990574670e+00,1.866477928140000131e+03,-1.217948016801002620e+00,0.000000000000000000e+00
3.024516389087758661e+00,1.898097384820000116e+03,-1.386796042268689577e+00,0.000000000000000000e+00
3.092257471184942652e+00,1.929716841500000100e+03,-1.560328641540252637e+00,0.000000000000000000e+00
3.159998553282126643e+00,1.961336298179999858e+03,-1.738144557586520866e+00,0.000000000000000000e+00
3.227739635379310634e+00,1.992955754859999843e+03,-1.919842533378322447e+00,0.000000000000000000e+00
3.295480717476494625e+00,2.024575211539999827e+03,-2.105021311886488000e+00,0.000000000000000000e+00
3.363221799573678616e+00,2.056194668219999585e+03,-2.293279636081845041e+00,0.000000000000000000e+00
3.430962881670862608e+00,2.087814124900000024e+03,-2.484320856172403502e+00,0.000000000000000000e+00
3.498703963768046599e+00,2.119433581579999554e+03,-2.678266751314891447e+00,0.000000000000000000e+00
3.566445045865230590e+00,2.151053038259999994e+03,-2.875343707903217361e+00,0.000000000000000000e+00
3.634186127962415469e+00,2.182672494939999979e+03,-3.075778112331291059e+00,0.000000000000000000e+00
3.701927210059599460e+00,2.214291951619999963e+03,-3.279796350993015697e+00,0.000000000000000000e+00
3.769668292156783451e+00,2.245911408299999948e+03,-3.487624810282302423e+00,0.000000000000000000e+00
3.837409374253967442e+00,2.277530864979999933e+03,-3.699489876593059279e+00,0.000000000000000000e+00
3.905150456351151433e+00,2.309150321659999918e+03,-3.915617936319193859e+00,0.000000000000000000e+00
3.972891538448335425e+00,2.340769778339999903e+03,-4.136235375854614205e+00,0.000000000000000000e+00
4.040632620545519416e+00,2.372389235019999887e+03,-4.361568581593228799e+00,0.000000000000000000e+00
4.108373702642703407e+00,2.404008691699999872e+03,-4.591843939928946128e+00,0.000000000000000000e+00
4.176114784739887398e+00,2.435628148379999857e+03,-4.827287837255672898e+00,0.000000000000000000e+00
4.243855866837071389e+00,2.467247605059999842e+03,-5.068126659967319370e+00,0.000000000000000000e+00
4.311596948934256268e+00,2.498867061740000281e+03,-5.314586794457794028e+00,0.000000000000000000e+00
4.379338031031440259e+00,2.530486518419999811e+03,-5.566894627121000916e+00,0.000000000000000000e+00
4.447079113128624250e+00,2.562105975099999796e+03,-5.825276544350851182e+00,0.000000000000000000e+00
4.514820195225808241e+00,2.593725431779999781e+03,-6.089994706954692916e+00,0.000000000000000000e+00
4.582561277322992233e+00,2.625344888459999765e+03,-6.362134087249079251e+00,0.000000000000000000e+00
4.650302359420176224e+00,2.656964345139999750e+03,-6.643602469059755933e+00,0.000000000000000000e+00
4.718043441517360215e+00,2.688583801819999735e+03,-6.936343410625910977e+00,0.000000000000000000e+00
4.785784523614544206e+00,2.720203258499999720e+03,-7.242300470186735950e+00,0.000000000000000000e+00
4.853525605711728197e+00,2.751822715179999705e+03,-7.563417205981420643e+00,0.000000000000000000e+00
4.921266687808912188e+00,2.783442171859999689e+03,-7.901637176249153960e+00,0.000000000000000000e+00
4.989007769906096179e+00,2.815061628539999674e+03,-8.258903939229128355e+00,0.000000000000000000e+00
5.056748852003281058e+00,2.846681085220000114e+03,-8.637161053160532731e+00,0.000000000000000000e+00
5.124489934100465049e+00,2.878300541900000098e+03,-9.038352076282553327e+00,0.000000000000000000e+00
5.192231016197649041e+00,2.909919998580000083e+03,-9.464420566834384374e+00,0.000000000000000000e+00
5.259972098294833032e+00,2.941539455260000068e+03,-9.917310083055212999e+00,0.000000000000000000e+00
5.327713180392017023e+00,2.973158911940000053e+03,-1.039896418318423343e+01,0.000000000000000000e+00
5.395454262489201014e+00,3.004778368620000037e+03,-1.091132642546062925e+01,0.000000000000000000e+00
5.463195344586385005e+00,3.036397825300000022e+03,-1.145634036812359469e+01,0.000000000000000000e+00
5.530936426683568996e+00,3.068017281979999552e+03,-1.203594956941231686e+01,0.000000000000000000e+00
5.598677508780753875e+00,3.099636738659999992e+03,-1.265209758756599712e+01,0.000000000000000000e+00
