x_scaled,x_raw,phi,in_train_support
-9.677371439061657199e-01,-1.176177673000001533e+00,2.997225910572236529e-01,0.000000000000000000e+00
-8.918547366851422575e-01,3.564174766666639016e-02,2.451447482956545798e-01,1.000000000000000000e+00
-8.159723294641187952e-01,1.247461168333332537e+00,2.053723546616144091e-01,1.000000000000000000e+00
-7.400899222430953328e-01,2.459280588999998685e+00,1.790178511667415151e-01,1.000000000000000000e+00
-6.642075150220718704e-01,3.671100009666666608e+00,1.646936788226751602e-01,1.000000000000000000e+00
-5.883251078010484081e-01,4.882919430333332755e+00,1.610122786410537188e-01,1.000000000000000000e+00
-5.124427005800249457e-01,6.094738850999998903e+00,1.665860916335137887e-01,1.000000000000000000e+00
-4.365602933590014834e-01,7.306558271666665938e+00,1.800275588116964087e-01,1.000000000000000000e+00
-3.606778861379780210e-01,8.518377692333332973e+00,1.999491211872364005e-01,1.000000000000000000e+00
-2.847954789169545586e-01,9.730197112999999121e+00,2.249632197717774673e-01,1.000000000000000000e+00
-2.089130716959310963e-01,1.094201653366666704e+01,2.536822955769544308e-01,1.000000000000000000e+00
-1.330306644749076339e-01,1.215383595433333319e+01,2.847187896144056651e-01,1.000000000000000000e+00
-5.714825725388417155e-02,1.336565537499999934e+01,3.166851428957713210e-01,1.000000000000000000e+00
1.873414996713929082e-02,1.457747479566666549e+01,3.481937964326871082e-01,1.000000000000000000e+00
9.461655718816275318e-02,1.578929421633333341e+01,3.778571912367940655e-01,1.000000000000000000e+00
1.704989644091861045e-01,1.700111363699999600e+01,4.042877683197305672e-01,1.000000000000000000e+00
2.463813716302096779e-01,1.821293305766666748e+01,4.260979686931340993e-01,1.000000000000000000e+00
3.222637788512332513e-01,1.942475247833333540e+01,4.419228668242034530e-01,1.000000000000000000e+00
3.981461860722566026e-01,2.063657189899999977e+01,4.509181066580110198e-01,1.000000000000000000e+00
4.740285932932799540e-01,2.184839131966666415e+01,4.527599016175063440e-01,1.000000000000000000e+00
5.499110005143035274e-01,2.306021074033333207e+01,4.471470985811949461e-01,1.000000000000000000e+00
6.257934077353271007e-01,2.427203016100000355e+01,4.337785444275850111e-01,1.000000000000000000e+00
7.016758149563504521e-01,2.548384958166666792e+01,4.123530860351865002e-01,1.000000000000000000e+00
7.775582221773738034e-01,2.669566900233333229e+01,3.825695702825031574e-01,1.000000000000000000e+00
8.534406293983973768e-01,2.790748842300000021e+01,3.441268440480467206e-01,1.000000000000000000e+00
9.293230366194209502e-01,2.911930784366666813e+01,2.967237542103218217e-01,1.000000000000000000e+00
1.005205443840444302e+00,3.033112726433333250e+01,2.400591476478393105e-01,1.000000000000000000e+00
1.081087851061467653e+00,3.154294668499999688e+01,1.738318712391055954e-01,1.000000000000000000e+00
1.156970258282491226e+00,3.275476610566666125e+01,9.774077186262530859e-02,1.000000000000000000e+00
1.232852665503514800e+00,3.396658552633333272e+01,1.148469639691107602e-02,1.000000000000000000e+00
1.308735072724537929e+00,3.517840494699999709e+01,-8.523750827953335829e-02,1.000000000000000000e+00
1.384617479945561502e+00,3.639022436766666146e+01,-1.927269952881971449e-01,1.000000000000000000e+00
1.460499887166585076e+00,3.760204378833333294e+01,-3.112849177505738751e-01,1.000000000000000000e+00
1.536382294387608649e+00,3.881386320900000442e+01,-4.412124287881571405e-01,1.000000000000000000e+00
1.612264701608632222e+00,4.002568262966666879e+01,-5.826494077181232356e-01,1.000000000000000000e+00
1.688147108829655352e+00,4.123750205033333316e+01,-7.350906386404023607e-01,1.000000000000000000e+00
