x_scaled,x_raw,phi,in_train_support
-1.339741169667951093e+00,-1.000000000000000000e+00,4.174515374474487284e-01,0.000000000000000000e+00
-1.309766032206655550e+00,3.030303030302405887e-02,1.927837481570806866e-01,1.000000000000000000e+00
-1.279790894745359786e+00,1.060606060606062329e+00,9.275135019684146997e-03,1.000000000000000000e+00
-1.249815757284064244e+00,2.090909090909086387e+00,-1.362416529876980253e-01,1.000000000000000000e+00
-1.219840619822768701e+00,3.121212121212117552e+00,-2.469339668880272121e-01,1.000000000000000000e+00
-1.189865482361472937e+00,4.151515151515148716e+00,-3.259691577042635457e-01,1.000000000000000000e+00
-1.159890344900177395e+00,5.181818181818179880e+00,-3.765145764593660349e-01,1.000000000000000000e+00
-1.129915207438881852e+00,6.212121212121203939e+00,-4.017375741762947983e-01,1.000000000000000000e+00
-1.099940069977586088e+00,7.242424242424242209e+00,-4.048055018780101211e-01,1.000000000000000000e+00
-1.069964932516290546e+00,8.272727272727266268e+00,-3.888857105874711784e-01,1.000000000000000000e+00
-1.039989795054995003e+00,9.303030303030297432e+00,-3.571455513276383109e-01,1.000000000000000000e+00
-1.010014657593699239e+00,1.033333333333333570e+01,-3.127523751214709713e-01,1.000000000000000000e+00
-9.800395201324036965e-01,1.136363636363635976e+01,-2.588735329919293893e-01,1.000000000000000000e+00
-9.500643826711080431e-01,1.239393939393939092e+01,-1.986763759619732672e-01,1.000000000000000000e+00
-9.200892452098123897e-01,1.342424242424242209e+01,-1.353282550545624463e-01,1.000000000000000000e+00
-8.901141077485168474e-01,1.445454545454544970e+01,-7.199652129265714240e-02,1.000000000000000000e+00
-8.601389702872211940e-01,1.548484848484848087e+01,-1.184852569921644554e-02,1.000000000000000000e+00
-8.301638328259255406e-01,1.651515151515151203e+01,4.202009118651515995e-02,1.000000000000000000e+00
-8.001886953646299983e-01,1.754545454545453964e+01,8.816302995075724069e-02,1.000000000000000000e+00
-7.702135579033343449e-01,1.857575757575757436e+01,1.267833323051939798e-01,1.000000000000000000e+00
-7.402384204420386915e-01,1.960606060606060552e+01,1.581557504452244800e-01,1.000000000000000000e+00
-7.102632829807431492e-01,2.063636363636363313e+01,1.825550365662482466e-01,1.000000000000000000e+00
-6.802881455194474958e-01,2.166666666666666430e+01,2.002559428636648542e-01,1.000000000000000000e+00
-6.503130080581518424e-01,2.269696969696969546e+01,2.115332215328737386e-01,1.000000000000000000e+00
-6.203378705968563001e-01,2.372727272727272307e+01,2.166616247692741970e-01,1.000000000000000000e+00
-5.903627331355606467e-01,2.475757575757575424e+01,2.159159047682659149e-01,1.000000000000000000e+00
-5.603875956742649933e-01,2.578787878787878540e+01,2.095708137252482728e-01,1.000000000000000000e+00
-5.304124582129693399e-01,2.681818181818181657e+01,1.979011038356207064e-01,1.000000000000000000e+00
-5.004373207516737976e-01,2.784848484848484418e+01,1.811815272947827626e-01,1.000000000000000000e+00
-4.704621832903781442e-01,2.887878787878787534e+01,1.596868362981337108e-01,1.000000000000000000e+00
-4.404870458290824908e-01,2.990909090909090651e+01,1.336917830410732921e-01,1.000000000000000000e+00
-4.105119083677869485e-01,3.093939393939393412e+01,1.034711197190008591e-01,1.000000000000000000e+00
-3.805367709064912951e-01,3.196969696969696884e+01,6.929959852731580605e-02,1.000000000000000000e+00
-3.505616334451956417e-01,3.300000000000000000e+01,3.145197166141756873e-02,1.000000000000000000e+00
-3.205864959838999884e-01,3.403030303030303116e+01,-9.674219567666909533e-03,1.000000000000000000e+00
-2.906113585226044460e-01,3.506060606060605522e+01,-5.319027738640140501e-02,1.000000000000000000e+00
-2.606362210613089037e-01,3.609090909090908639e+01,-9.808471490562249706e-02,1.000000000000000000e+00
-2.306610836000131393e-01,3.712121212121211755e+01,-1.433460452361669246e-01,1.000000000000000000e+00
-2.006859461387175969e-01,3.815151515151514872e+01,-1.879627814888707449e-01,1.000000000000000000e+00
-1.707108086774220546e-01,3.918181818181817277e+01,-2.309234367745704730e-01,1.000000000000000000e+00
-1.407356712161262902e-01,4.021212121212121104e+01,-2.712165242041032487e-01,1.000000000000000000e+00
-1.107605337548307478e-01,4.124242424242423510e+01,-3.078305568883046295e-01,1.000000000000000000e+00
-8.078539629353520546e-02,4.227272727272726627e+01,-3.397540479380115053e-01,1.000000000000000000e+00
-5.081025883223944106e-02,4.330303030303029743e+01,-3.659755104640607937e-01,1.000000000000000000e+00
-2.083512137094389871e-02,4.433333333333332860e+01,-3.854834575772881355e-01,1.000000000000000000e+00
9.140016090351643641e-03,4.536363636363635976e+01,-3.972664023885305595e-01,1.000000000000000000e+00
3.911515355164740804e-02,4.639393939393939092e+01,-4.003128580086243726e-01,1.000000000000000000e+00
6.909029101294295039e-02,4.742424242424242209e+01,-3.936113375484062704e-01,1.000000000000000000e+00
9.906542847423849274e-02,4.845454545454544615e+01,-3.761503541187125044e-01,1.000000000000000000e+00
