x_scaled,x_raw,phi,in_train_support
-1.662921060979344334e+00,7.172699999999999818e+02,-6.637883446484682537e-01,0.000000000000000000e+00
-1.581058768556461880e+00,7.798403030303029482e+02,-7.936575971363932780e-01,0.000000000000000000e+00
-1.499196476133579425e+00,8.424106060606059145e+02,-9.157989448099135288e-01,0.000000000000000000e+00
-1.417334183710696971e+00,9.049809090909091083e+02,-1.029548108808616469e+00,1.000000000000000000e+00
-1.335471891287814517e+00,9.675512121212120746e+02,-1.134240810272081568e+00,1.000000000000000000e+00
-1.253609598864932062e+00,1.030121515151515041e+03,-1.229212770339896288e+00,1.000000000000000000e+00
-1.171747306442049386e+00,1.092691818181818235e+03,-1.313799710151642763e+00,1.000000000000000000e+00
-1.089885014019166931e+00,1.155262121212121201e+03,-1.387337350846901352e+00,1.000000000000000000e+00
-1.008022721596284477e+00,1.217832424242424167e+03,-1.449161413565261292e+00,1.000000000000000000e+00
-9.261604291734021333e-01,1.280402727272727134e+03,-1.498607619446302053e+00,1.000000000000000000e+00
-8.442981367505196788e-01,1.342973030303030328e+03,-1.535011689629608433e+00,1.000000000000000000e+00
-7.624358443276372244e-01,1.405543333333333294e+03,-1.557709345254764344e+00,1.000000000000000000e+00
-6.805735519047546589e-01,1.468113636363636488e+03,-1.566036307461352806e+00,1.000000000000000000e+00
-5.987112594818722044e-01,1.530683939393939454e+03,-1.559328297388957729e+00,1.000000000000000000e+00
-5.168489670589897500e-01,1.593254242424242420e+03,-1.536921036177162136e+00,1.000000000000000000e+00
-4.349866746361072956e-01,1.655824545454545614e+03,-1.498150244965549938e+00,1.000000000000000000e+00
-3.531243822132248411e-01,1.718394848484848580e+03,-1.442351644893705043e+00,1.000000000000000000e+00
-2.712620897903423867e-01,1.780965151515151547e+03,-1.368883551357662043e+00,1.000000000000000000e+00
-1.893997973674599322e-01,1.843535454545454741e+03,-1.277623947651827407e+00,1.000000000000000000e+00
-1.075375049445774778e-01,1.906105757575757707e+03,-1.168970484968983037e+00,1.000000000000000000e+00
-2.567521252169502333e-02,1.968676060606060673e+03,-1.043343408758357072e+00,1.000000000000000000e+00
5.618707990118743112e-02,2.031246363636363640e+03,-9.011629644691794283e-01,1.000000000000000000e+00
1.380493723240698856e-01,2.093816666666666606e+03,-7.428493975506826885e-01,1.000000000000000000e+00
2.199116647469523400e-01,2.156386969696969572e+03,-5.688229534520958808e-01,1.000000000000000000e+00
3.017739571698350165e-01,2.218957272727272994e+03,-3.795038776226524746e-01,1.000000000000000000e+00
3.836362495927174709e-01,2.281527575757575960e+03,-1.753124155115797222e-01,1.000000000000000000e+00
4.654985420155999254e-01,2.344097878787878926e+03,4.333118743189068311e-02,1.000000000000000000e+00
5.473608344384823798e-01,2.406668181818181893e+03,2.760066857585261602e-01,1.000000000000000000e+00
6.292231268613648343e-01,2.469238484848485314e+03,5.222938340190990125e-01,1.000000000000000000e+00
7.110854192842472887e-01,2.531808787878788280e+03,7.817723867643775471e-01,1.000000000000000000e+00
7.929477117071297432e-01,2.594379090909091246e+03,1.054022098545129182e+00,1.000000000000000000e+00
8.748100041300121976e-01,2.656949393939394213e+03,1.338622723912127555e+00,1.000000000000000000e+00
