x_scaled,x_raw,phi,in_train_support
-9.675498522929997236e-01,-1.176177673000001533e+00,-7.206080119996967071e-01,0.000000000000000000e+00
-8.916863749232497582e-01,3.564174766666461380e-02,-5.356720759273170263e-01,1.000000000000000000e+00
-8.158228975534996819e-01,1.247461168333332537e+00,-3.802383193313498833e-01,1.000000000000000000e+00
-7.399594201837497165e-01,2.459280588999998685e+00,-2.517768589856188566e-01,1.000000000000000000e+00
-6.640959428139996401e-01,3.671100009666666608e+00,-1.477578116639477468e-01,1.000000000000000000e+00
-5.882324654442496747e-01,4.882919430333332755e+00,-6.565129414016079856e-02,1.000000000000000000e+00
-5.123689880744997094e-01,6.094738850999997126e+00,-2.927423188080258143e-03,1.000000000000000000e+00
-4.365055107047496330e-01,7.306558271666665050e+00,4.294368441846940776e-02,1.000000000000000000e+00
-3.606420333349996676e-01,8.518377692333331197e+00,7.449191190566462062e-02,1.000000000000000000e+00
-2.847785559652497023e-01,9.730197112999997344e+00,9.424714249968113577e-02,1.000000000000000000e+00
-2.089150785954996259e-01,1.094201653366666349e+01,1.047392594266962629e-01,1.000000000000000000e+00
-1.330516012257496605e-01,1.215383595433333142e+01,1.084981459128857573e-01,1.000000000000000000e+00
-5.718812385599969517e-02,1.336565537499999579e+01,1.080536851844267066e-01,1.000000000000000000e+00
1.867535351375038122e-02,1.457747479566666371e+01,1.059357604674946440e-01,1.000000000000000000e+00
9.453883088350045760e-02,1.578929421633333163e+01,1.046742549882657691e-01,1.000000000000000000e+00
1.704023082532504230e-01,1.700111363699999600e+01,1.067990519729169474e-01,1.000000000000000000e+00
2.462657856230003883e-01,1.821293305766666393e+01,1.148400346476250444e-01,1.000000000000000000e+00
3.221292629927503537e-01,1.942475247833332830e+01,1.312509269934249989e-01,1.000000000000000000e+00
3.979927403625003191e-01,2.063657189899999622e+01,1.567337903531311749e-01,1.000000000000000000e+00
4.738562177322505065e-01,2.184839131966666415e+01,1.902390234313344752e-01,1.000000000000000000e+00
5.497196951020004718e-01,2.306021074033333207e+01,2.306408656874849861e-01,1.000000000000000000e+00
6.255831724717504372e-01,2.427203016099999644e+01,2.768135565810336818e-01,1.000000000000000000e+00
7.014466498415004025e-01,2.548384958166666081e+01,3.276313355714306486e-01,1.000000000000000000e+00
7.773101272112503679e-01,2.669566900233332518e+01,3.819684421181277489e-01,1.000000000000000000e+00
8.531736045810003333e-01,2.790748842299999311e+01,4.386991156805748471e-01,1.000000000000000000e+00
9.290370819507505207e-01,2.911930784366666103e+01,4.966975957182222512e-01,1.000000000000000000e+00
1.004900559320500486e+00,3.033112726433332540e+01,5.548381216905207136e-01,1.000000000000000000e+00
1.080764036690250673e+00,3.154294668499999688e+01,6.119949330569218748e-01,1.000000000000000000e+00
1.156627514060000639e+00,3.275476610566666125e+01,6.670422692768755990e-01,1.000000000000000000e+00
1.232490991429750604e+00,3.396658552633333272e+01,7.188543698098321943e-01,1.000000000000000000e+00
1.308354468799500570e+00,3.517840494699999709e+01,7.663054741152419691e-01,1.000000000000000000e+00
1.384217946169250535e+00,3.639022436766666146e+01,8.082698216525574519e-01,1.000000000000000000e+00
1.460081423539000500e+00,3.760204378833332584e+01,8.436216518812280629e-01,1.000000000000000000e+00
1.535944900908750466e+00,3.881386320899999021e+01,8.712352042607036662e-01,1.000000000000000000e+00
1.611808378278500431e+00,4.002568262966666168e+01,8.902294009672233610e-01,1.000000000000000000e+00
1.687671855648250396e+00,4.123750205033332605e+01,9.007018950441703087e-01,1.000000000000000000e+00
1.763535333018000362e+00,4.244932147099999042e+01,9.029950222517155733e-01,1.000000000000000000e+00
1.839398810387750327e+00,4.366114089166665480e+01,8.974511183500306633e-01,1.000000000000000000e+00
1.915262287757500737e+00,4.487296031233332627e+01,8.844125190992861985e-01,1.000000000000000000e+00
1.991125765127250702e+00,4.608477973299999775e+01,8.642215602596532431e-01,1.000000000000000000e+00
2.066989242497000667e+00,4.729659915366666212e+01,8.372205775913033055e-01,1.000000000000000000e+00
2.142852719866750633e+00,4.850841857433332649e+01,8.037519068544065615e-01,1.000000000000000000e+00
2.218716197236500598e+00,4.972023799499999086e+01,7.641578838091349635e-01,1.000000000000000000e+00
2.294579674606250563e+00,5.093205741566665523e+01,7.187808442156582434e-01,1.000000000000000000e+00
2.370443151976000529e+00,5.214387683633331960e+01,6.679631238341483535e-01,1.000000000000000000e+00
2.446306629345750494e+00,5.335569625699999108e+01,6.120470584247772461e-01,1.000000000000000000e+00
2.522170106715500459e+00,5.456751567766665545e+01,5.513749837477133209e-01,1.000000000000000000e+00
2.598033584085250425e+00,5.577933509833331982e+01,4.862892355631307506e-01,1.000000000000000000e+00
2.673897061455000390e+00,5.699115451899998419e+01,4.171321496311983790e-01,1.000000000000000000e+00
2.749760538824750800e+00,5.820297393966665567e+01,3.442460617120868260e-01,1.000000000000000000e+00
2.825624016194500765e+00,5.941479336033332714e+01,2.679691700418163069e-01,1.000000000000000000e+00
2.901487493564250730e+00,6.062661278099999151e+01,1.885445098009068676e-01,1.000000000000000000e+00
2.977350970934000696e+00,6.183843220166665589e+01,1.061199531143788288e-01,1.000000000000000000e+00
3.053214448303750217e+00,6.305025162233331315e+01,2.083923458310144028e-02,1.000000000000000000e+00
3.129077925673501070e+00,6.426207104299999173e+01,-6.715391119205960102e-02,1.000000000000000000e+00
3.204941403043251036e+00,6.547389046366666321e+01,-1.577157496102310485e-01,0.000000000000000000e+00
3.280804880413001001e+00,6.668570988433333468e+01,-2.507025460705465392e-01,0.000000000000000000e+00
3.356668357782750967e+00,6.789752930499999195e+01,-3.459705659721372673e-01,0.000000000000000000e+00
3.432531835152500932e+00,6.910934872566666343e+01,-4.433760747141346492e-01,0.000000000000000000e+00
3.508395312522250897e+00,7.032116814633332069e+01,-5.427753376956698794e-01,0.000000000000000000e+00
3.584258789892000863e+00,7.153298756699999217e+01,-6.440246203158739302e-01,0.000000000000000000e+00
3.660122267261750828e+00,7.274480698766666364e+01,-7.469801879738782180e-01,0.000000000000000000e+00
3.735985744631500793e+00,7.395662640833332091e+01,-8.514983060688138261e-01,0.000000000000000000e+00
3.811849222001250759e+00,7.516844582899999239e+01,-9.574352399998127261e-01,0.000000000000000000e+00
3.887712699371000724e+00,7.638026524966664965e+01,-1.064647255166006001e+00,0.000000000000000000e+00
3.963576176740750689e+00,7.759208467033332113e+01,-1.172990616966524513e+00,0.000000000000000000e+00
4.039439654110500655e+00,7.880390409099999260e+01,-1.282321590800499900e+00,0.000000000000000000e+00
4.115303131480250620e+00,8.001572351166666408e+01,-1.392551329645046687e+00,0.000000000000000000e+00
4.191166608850000586e+00,8.122754293233332135e+01,-1.503810536789211838e+00,0.000000000000000000e+00
4.267030086219750551e+00,8.243936235299999282e+01,-1.616284803100025869e+00,0.000000000000000000e+00
4.342893563589500516e+00,8.365118177366665009e+01,-1.730159719444519517e+00,0.000000000000000000e+00
4.418757040959250482e+00,8.486300119433332156e+01,-1.845620876689722634e+00,0.000000000000000000e+00
4.494620518329000447e+00,8.607482061499999304e+01,-1.962853865702665956e+00,0.000000000000000000e+00
4.570483995698750412e+00,8.728664003566665031e+01,-2.082044277350379780e+00,0.000000000000000000e+00
