x_scaled,x_raw,phi,in_train_support
-1.107522625407399097e+00,-3.068947266000003538e+01,-5.006609111736639584e-01,0.000000000000000000e+00
-1.039775533952757458e+00,9.299840200000062396e-01,-1.051143188542975615e-01,1.000000000000000000e+00
-9.720284424981158189e-01,3.254944070000004785e+01,2.096146527336273380e-01,1.000000000000000000e+00
-9.042813510434742907e-01,6.416889737999997578e+01,4.499630889893291297e-01,1.000000000000000000e+00
-8.365342595888326516e-01,9.578835406000001740e+01,6.223680753120248710e-01,1.000000000000000000e+00
-7.687871681341910124e-01,1.274078107400000022e+02,7.332666971009347279e-01,1.000000000000000000e+00
-7.010400766795494842e-01,1.590272674199999869e+02,7.890960397552744254e-01,1.000000000000000000e+00
-6.332929852249078451e-01,1.906467240999999717e+02,7.962931886742632415e-01,1.000000000000000000e+00
-5.655458937702662059e-01,2.222661807800000133e+02,7.612952292571222301e-01,1.000000000000000000e+00
-4.977988023156245667e-01,2.538856374600000265e+02,6.905392469030653402e-01,1.000000000000000000e+00
-4.300517108609829275e-01,2.855050941400000397e+02,5.904623270113127376e-01,1.000000000000000000e+00
-3.623046194063413994e-01,3.171245508199999676e+02,4.675015549810845883e-01,1.000000000000000000e+00
-2.945575279516997602e-01,3.487440075000000093e+02,3.280940162115948411e-01,1.000000000000000000e+00
-2.268104364970581210e-01,3.803634641800000509e+02,1.786767961020636619e-01,1.000000000000000000e+00
-1.590633450424165929e-01,4.119829208599999788e+02,2.568698005171210497e-02,1.000000000000000000e+00
-9.131625358777495371e-02,4.436023775400000204e+02,-1.244383465402449929e-01,1.000000000000000000e+00
-2.356916213313331454e-02,4.752218342200000052e+02,-2.652620982745883538e-01,1.000000000000000000e+00
4.417792932150832463e-02,5.068412909000000468e+02,-3.905001064388446963e-01,1.000000000000000000e+00
1.119250207761499638e-01,5.384607475800000884e+02,-4.973852861156746741e-01,1.000000000000000000e+00
1.796721122307916030e-01,5.700802042600000732e+02,-5.866676361828715436e-01,1.000000000000000000e+00
2.474192036854332422e-01,6.016996609400000580e+02,-6.592500722049732254e-01,1.000000000000000000e+00
3.151662951400746593e-01,6.333191176200000427e+02,-7.160355097465198604e-01,1.000000000000000000e+00
3.829133865947162985e-01,6.649385743000000275e+02,-7.579268643720489251e-01,1.000000000000000000e+00
4.506604780493579376e-01,6.965580309800000123e+02,-7.858270516461014488e-01,1.000000000000000000e+00
5.184075695039995768e-01,7.281774876599999970e+02,-8.006389871332140196e-01,1.000000000000000000e+00
5.861546609586412160e-01,7.597969443399999818e+02,-8.032655863979258903e-01,1.000000000000000000e+00
6.539017524132828552e-01,7.914164010200000803e+02,-7.946097650047767580e-01,1.000000000000000000e+00
7.216488438679244943e-01,8.230358577000000651e+02,-7.755744385183036549e-01,1.000000000000000000e+00
7.893959353225659115e-01,8.546553143799999361e+02,-7.470625225030462779e-01,1.000000000000000000e+00
8.571430267772075506e-01,8.862747710600000346e+02,-7.099769325235443240e-01,1.000000000000000000e+00
9.248901182318491898e-01,9.178942277400000194e+02,-6.652205841443343814e-01,1.000000000000000000e+00
9.926372096864910510e-01,9.495136844200001178e+02,-6.136963929299561471e-01,1.000000000000000000e+00
1.060384301141132468e+00,9.811331411000001026e+02,-5.563072744449497620e-01,1.000000000000000000e+00
