x_scaled,x_raw,phi,in_train_support
-2.159487651552648213e+00,4.409499999999999886e+02,1.233901771598186237e+01,0.000000000000000000e+00
-2.109894024010182001e+00,4.482136363636363399e+02,1.167214276320073907e+01,0.000000000000000000e+00
-2.060300396467716233e+00,4.554772727272726911e+02,1.104481225034740710e+01,0.000000000000000000e+00
-2.010706768925250021e+00,4.627409090909090423e+02,1.045491750373374984e+01,0.000000000000000000e+00
-1.961113141382783809e+00,4.700045454545454504e+02,9.900349849671659541e+00,0.000000000000000000e+00
-1.911519513840317819e+00,4.772681818181818016e+02,9.379000614473048003e+00,0.000000000000000000e+00
-1.861925886297851829e+00,4.845318181818181529e+02,8.888761124449796824e+00,1.000000000000000000e+00
-1.812332258755385617e+00,4.917954545454545041e+02,8.427522705913803591e+00,1.000000000000000000e+00
-1.762738631212919627e+00,4.990590909090908553e+02,7.993176685176965002e+00,1.000000000000000000e+00
-1.713145003670453637e+00,5.063227272727272066e+02,7.583614388551176866e+00,1.000000000000000000e+00
-1.663551376127987425e+00,5.135863636363635578e+02,7.196727142348332329e+00,1.000000000000000000e+00
-1.613957748585521434e+00,5.208499999999999091e+02,6.830406272880327201e+00,1.000000000000000000e+00
-1.564364121043055444e+00,5.281136363636362603e+02,6.482543106459056403e+00,1.000000000000000000e+00
-1.514770493500589232e+00,5.353772727272727252e+02,6.151028969396413970e+00,1.000000000000000000e+00
-1.465176865958123242e+00,5.426409090909090764e+02,5.833755188004295711e+00,1.000000000000000000e+00
-1.415583238415657252e+00,5.499045454545454277e+02,5.528613088594596547e+00,1.000000000000000000e+00
-1.365989610873191040e+00,5.571681818181817789e+02,5.233493997479210513e+00,1.000000000000000000e+00
-1.316395983330724828e+00,5.644318181818182438e+02,4.946323331865841055e+00,1.000000000000000000e+00
-1.266802355788258838e+00,5.716954545454545951e+02,4.665810599565739736e+00,1.000000000000000000e+00
-1.217208728245792848e+00,5.789590909090909463e+02,4.391449398993711561e+00,1.000000000000000000e+00
-1.167615100703326636e+00,5.862227272727272975e+02,4.122767419460363847e+00,1.000000000000000000e+00
-1.118021473160860646e+00,5.934863636363636488e+02,3.859292350276308348e+00,1.000000000000000000e+00
-1.068427845618394656e+00,6.007500000000000000e+02,3.600551880752155043e+00,1.000000000000000000e+00
-1.018834218075928444e+00,6.080136363636363512e+02,3.346073700198513023e+00,1.000000000000000000e+00
-9.692405905334624538e-01,6.152772727272727025e+02,3.095385497925993601e+00,1.000000000000000000e+00
-9.196469629909964638e-01,6.225409090909090537e+02,2.848014963245206310e+00,1.000000000000000000e+00
-8.700533354485302517e-01,6.298045454545454049e+02,2.603489785466760242e+00,1.000000000000000000e+00
-8.204597079060642617e-01,6.370681818181817562e+02,2.361337653901267597e+00,1.000000000000000000e+00
-7.708660803635982717e-01,6.443318181818181074e+02,2.121086257859337465e+00,1.000000000000000000e+00
-7.212724528211320596e-01,6.515954545454545723e+02,1.882263286651578493e+00,1.000000000000000000e+00
-6.716788252786660696e-01,6.588590909090909236e+02,1.644396429588602881e+00,1.000000000000000000e+00
-6.220851977361998575e-01,6.661227272727272748e+02,1.407013375981018388e+00,1.000000000000000000e+00
-5.724915701937338675e-01,6.733863636363636260e+02,1.169641815139438101e+00,1.000000000000000000e+00
-5.228979426512678774e-01,6.806499999999999773e+02,9.318094363744701125e-01,1.000000000000000000e+00
-4.733043151088016653e-01,6.879136363636364422e+02,6.932738957485740094e-01,1.000000000000000000e+00
-4.237106875663356753e-01,6.951772727272726797e+02,4.547127163316128096e-01,1.000000000000000000e+00
-3.741170600238694632e-01,7.024409090909091447e+02,2.170333879452970294e-01,1.000000000000000000e+00
-3.245234324814034732e-01,7.097045454545454959e+02,-1.885659958866092722e-02,1.000000000000000000e+00
-2.749298049389374832e-01,7.169681818181818471e+02,-2.520497564485508768e-01,1.000000000000000000e+00
-2.253361773964712711e-01,7.242318181818181984e+02,-4.816385928126611926e-01,1.000000000000000000e+00
-1.757425498540052811e-01,7.314954545454545496e+02,-7.067156188592789157e-01,1.000000000000000000e+00
-1.261489223115392910e-01,7.387590909090909008e+02,-9.263733447666935295e-01,1.000000000000000000e+00
-7.655529476907307895e-02,7.460227272727272521e+02,-1.139704280713194740e+00,1.000000000000000000e+00
-2.696166722660686688e-02,7.532863636363637170e+02,-1.345800936877069587e+00,1.000000000000000000e+00
2.263196031585890111e-02,7.605499999999999545e+02,-1.543755823436606667e+00,1.000000000000000000e+00
7.222558785832511319e-02,7.678136363636364194e+02,-1.732661450570093686e+00,1.000000000000000000e+00
1.218192154007913253e-01,7.750772727272727707e+02,-1.911610328455821906e+00,1.000000000000000000e+00
