x_scaled,x_raw,phi,in_train_support
-1.941154732185880860e+00,-7.256999999999999318e+01,-2.244235703298173945e+01,0.000000000000000000e+00
-1.889200877026496972e+00,-7.095242424242424306e+01,-2.120690705126833819e+01,0.000000000000000000e+00
-1.837247021867113084e+00,-6.933484848484847873e+01,-2.004470337370047517e+01,0.000000000000000000e+00
-1.785293166707729196e+00,-6.771727272727272862e+01,-1.895184861146983479e+01,0.000000000000000000e+00
-1.733339311548345307e+00,-6.609969696969696429e+01,-1.792444537576812635e+01,0.000000000000000000e+00
-1.681385456388961419e+00,-6.448212121212121417e+01,-1.695859627778704848e+01,1.000000000000000000e+00
-1.629431601229577531e+00,-6.286454545454545695e+01,-1.605040392871828914e+01,1.000000000000000000e+00
-1.577477746070193643e+00,-6.124696969696969973e+01,-1.519597093975355762e+01,1.000000000000000000e+00
-1.525523890910809754e+00,-5.962939393939394250e+01,-1.439139992208454544e+01,1.000000000000000000e+00
-1.473570035751425866e+00,-5.801181818181818528e+01,-1.363279348690295478e+01,1.000000000000000000e+00
-1.421616180592041978e+00,-5.639424242424242806e+01,-1.291625424540048073e+01,1.000000000000000000e+00
-1.369662325432658090e+00,-5.477666666666667084e+01,-1.223788480876882900e+01,1.000000000000000000e+00
-1.317708470273274202e+00,-5.315909090909091361e+01,-1.159378778819969824e+01,1.000000000000000000e+00
-1.265754615113890313e+00,-5.154151515151515639e+01,-1.098006579488477286e+01,1.000000000000000000e+00
-1.213800759954506425e+00,-4.992393939393939917e+01,-1.039282144001576924e+01,1.000000000000000000e+00
-1.161846904795122537e+00,-4.830636363636364194e+01,-9.828157334784375365e+00,1.000000000000000000e+00
-1.109893049635738649e+00,-4.668878787878788472e+01,-9.282176090382296962e+00,1.000000000000000000e+00
-1.057939194476354761e+00,-4.507121212121212750e+01,-8.751045233541283608e+00,1.000000000000000000e+00
-1.005985339316970872e+00,-4.345363636363637028e+01,-8.232425348414423638e+00,1.000000000000000000e+00
-9.540314841575870952e-01,-4.183606060606061305e+01,-7.725470076576136158e+00,1.000000000000000000e+00
-9.020776289982033180e-01,-4.021848484848486294e+01,-7.229397975140895660e+00,1.000000000000000000e+00
-8.501237738388194298e-01,-3.860090909090910571e+01,-6.743427601223173973e+00,1.000000000000000000e+00
-7.981699186794355416e-01,-3.698333333333334849e+01,-6.266777511937449141e+00,1.000000000000000000e+00
-7.462160635200516534e-01,-3.536575757575758416e+01,-5.798666264398193881e+00,1.000000000000000000e+00
