x_scaled,x_raw,phi,in_train_support
-1.721016984489068147e+00,-9.895169492816028651e+03,-2.501851946996207943e+01,0.000000000000000000e+00
-1.678072764640651915e+00,4.616244654064648785e+02,-2.369012077630894098e+01,0.000000000000000000e+00
-1.635128544792235461e+00,1.081841842362907482e+04,-2.244046884089285143e+01,1.000000000000000000e+00
-1.592184324943819229e+00,2.117521238185156835e+04,-2.126537398891920816e+01,1.000000000000000000e+00
-1.549240105095402775e+00,3.153200634007417830e+04,-2.016064654559335523e+01,1.000000000000000000e+00
-1.506295885246986543e+00,4.188880029829667183e+04,-1.912209683612067934e+01,1.000000000000000000e+00
-1.463351665398570312e+00,5.224559425651922356e+04,-1.814553518570654589e+01,1.000000000000000000e+00
-1.420407445550153858e+00,6.260238821474177530e+04,-1.722677191955631315e+01,1.000000000000000000e+00
-1.377463225701737404e+00,7.295918217296438524e+04,-1.636161736287536073e+01,1.000000000000000000e+00
-1.334519005853321172e+00,8.331597613118687877e+04,-1.554588184086905400e+01,1.000000000000000000e+00
-1.291574786004904940e+00,9.367277008940943051e+04,-1.477537567874276903e+01,1.000000000000000000e+00
-1.248630566156488486e+00,1.040295640476319822e+05,-1.404590920170186763e+01,1.000000000000000000e+00
-1.205686346308072254e+00,1.143863580058545340e+05,-1.335329273495172586e+01,1.000000000000000000e+00
-1.162742126459655800e+00,1.247431519640770857e+05,-1.269333660369770200e+01,1.000000000000000000e+00
-1.119797906611239569e+00,1.350999459222996375e+05,-1.206185113314517565e+01,1.000000000000000000e+00
-1.076853686762823337e+00,1.454567398805221310e+05,-1.145464664849951575e+01,1.000000000000000000e+00
-1.033909466914406883e+00,1.558135338387447118e+05,-1.086753347496608413e+01,1.000000000000000000e+00
-9.909652470659905399e-01,1.661703277969672636e+05,-1.029639172489207510e+01,1.000000000000000000e+00
-9.480210272175741970e-01,1.765271217551898153e+05,-9.738706614886641688e+00,1.000000000000000000e+00
-9.050768073691578541e-01,1.868839157134123670e+05,-9.193568465820881386e+00,1.000000000000000000e+00
-8.621325875207415113e-01,1.972407096716349188e+05,-8.660137385707720625e+00,1.000000000000000000e+00
-8.191883676723252794e-01,2.075975036298574414e+05,-8.137573482560085836e+00,1.000000000000000000e+00
-7.762441478239089365e-01,2.179542975880799640e+05,-7.625036864390904334e+00,1.000000000000000000e+00
-7.332999279754925936e-01,2.283110915463025158e+05,-7.121687639213095444e+00,1.000000000000000000e+00
-6.903557081270763618e-01,2.386678855045250384e+05,-6.626685915039591812e+00,1.000000000000000000e+00
-6.474114882786599079e-01,2.490246794627476193e+05,-6.139191799883307432e+00,1.000000000000000000e+00
-6.044672684302436760e-01,2.593814734209701419e+05,-5.658365401757182944e+00,1.000000000000000000e+00
-5.615230485818272221e-01,2.697382673791927518e+05,-5.183366828674130566e+00,1.000000000000000000e+00
-5.185788287334109903e-01,2.800950613374152454e+05,-4.713356188647084721e+00,1.000000000000000000e+00
-4.756346088849945364e-01,2.904518552956378553e+05,-4.247493589688965621e+00,1.000000000000000000e+00
-4.326903890365783045e-01,3.008086492538603488e+05,-3.784939139812702358e+00,1.000000000000000000e+00
-3.897461691881618506e-01,3.111654432120829588e+05,-3.324852947031217809e+00,1.000000000000000000e+00
-3.468019493397456188e-01,3.215222371703054523e+05,-2.866395119357436627e+00,1.000000000000000000e+00
