x_scaled,x_raw,phi,in_train_support
-2.089837715582853139e+00,-5.959999999999979536e+00,8.244223927159545218e-01,0.000000000000000000e+00
-2.041577805725486083e+00,1.806060606060668761e-01,1.001601129161187931e+00,0.000000000000000000e+00
-1.993317895868119249e+00,6.321212121212141710e+00,1.164828547494796585e+00,0.000000000000000000e+00
-1.945057986010752415e+00,1.246181818181818812e+01,1.314071645805744204e+00,1.000000000000000000e+00
-1.896798076153385582e+00,1.860242424242423454e+01,1.449297422182995287e+00,1.000000000000000000e+00
-1.848538166296018748e+00,2.474303030303028095e+01,1.570472874715512113e+00,1.000000000000000000e+00
-1.800278256438651692e+00,3.088363636363638420e+01,1.677565001492260066e+00,1.000000000000000000e+00
-1.752018346581284858e+00,3.702424242424243062e+01,1.770540800602198761e+00,1.000000000000000000e+00
-1.703758436723918024e+00,4.316484848484847703e+01,1.849367270134294916e+00,1.000000000000000000e+00
-1.655498526866550968e+00,4.930545454545455186e+01,1.914011408177509921e+00,1.000000000000000000e+00
-1.607238617009184134e+00,5.544606060606059827e+01,1.964440212820808274e+00,1.000000000000000000e+00
-1.558978707151817300e+00,6.158666666666667311e+01,2.000620682153150476e+00,1.000000000000000000e+00
-1.510718797294450244e+00,6.772727272727274794e+01,2.022519814263503246e+00,1.000000000000000000e+00
-1.462458887437083410e+00,7.386787878787879436e+01,2.030104607240827530e+00,1.000000000000000000e+00
-1.414198977579716576e+00,8.000848484848484077e+01,2.023342059174089158e+00,1.000000000000000000e+00
-1.365939067722349520e+00,8.614909090909091560e+01,2.002199168152248632e+00,1.000000000000000000e+00
-1.317679157864982686e+00,9.228969696969696201e+01,1.966642932264270893e+00,1.000000000000000000e+00
-1.269419248007615852e+00,9.843030303030303685e+01,1.916670907507787014e+00,1.000000000000000000e+00
-1.221159338150248796e+00,1.045709090909091117e+02,1.852983481779804542e+00,1.000000000000000000e+00
-1.172899428292881963e+00,1.107115151515151581e+02,1.776983874876704395e+00,1.000000000000000000e+00
-1.124639518435515129e+00,1.168521212121212045e+02,1.690105864503538946e+00,1.000000000000000000e+00
