x_scaled,x_raw,phi,in_train_support
-1.721016984489068147e+00,-9.895169492816028651e+03,-2.464781012039826180e+01,0.000000000000000000e+00
-1.678072764640651915e+00,4.616244654064648785e+02,-2.334149702898689327e+01,0.000000000000000000e+00
-1.635128544792235461e+00,1.081841842362907482e+04,-2.211265506388701496e+01,1.000000000000000000e+00
-1.592184324943819229e+00,2.117521238185156835e+04,-2.095715883447326533e+01,1.000000000000000000e+00
-1.549240105095402775e+00,3.153200634007417830e+04,-1.987088295012021888e+01,1.000000000000000000e+00
-1.506295885246986543e+00,4.188880029829667183e+04,-1.884970202020251051e+01,1.000000000000000000e+00
-1.463351665398570312e+00,5.224559425651922356e+04,-1.788949065409474670e+01,1.000000000000000000e+00
-1.420407445550153858e+00,6.260238821474177530e+04,-1.698612346117151262e+01,1.000000000000000000e+00
-1.377463225701737404e+00,7.295918217296438524e+04,-1.613547505080743250e+01,1.000000000000000000e+00
-1.334519005853321172e+00,8.331597613118687877e+04,-1.533342003237710927e+01,1.000000000000000000e+00
-1.291574786004904940e+00,9.367277008940943051e+04,-1.457583301525515651e+01,1.000000000000000000e+00
-1.248630566156488486e+00,1.040295640476319822e+05,-1.385858860881617716e+01,1.000000000000000000e+00
-1.205686346308072254e+00,1.143863580058545340e+05,-1.317756142243479545e+01,1.000000000000000000e+00
-1.162742126459655800e+00,1.247431519640770857e+05,-1.252862606548558233e+01,1.000000000000000000e+00
-1.119797906611239569e+00,1.350999459222996375e+05,-1.190765714734318159e+01,1.000000000000000000e+00
-1.076853686762823337e+00,1.454567398805221310e+05,-1.131052927738218372e+01,1.000000000000000000e+00
-1.033909466914406883e+00,1.558135338387447118e+05,-1.073311706497719875e+01,1.000000000000000000e+00
-9.909652470659905399e-01,1.661703277969672636e+05,-1.017136378718679524e+01,1.000000000000000000e+00
-9.480210272175741970e-01,1.765271217551898153e+05,-9.622792077800673027e+00,1.000000000000000000e+00
-9.050768073691578541e-01,1.868839157134123670e+05,-9.086503927339647291e+00,1.000000000000000000e+00
