x_scaled,x_raw,phi,in_train_support
-1.466644515408929816e+00,-1.020000000000000018e+00,1.190688576551024586e-01,0.000000000000000000e+00
-1.439438051256559881e+00,-9.993939393939392790e-01,1.380725954322420401e-01,1.000000000000000000e+00
-1.412231587104190167e+00,-9.787878787878787623e-01,1.522894930070260722e-01,1.000000000000000000e+00
-1.385025122951820231e+00,-9.581818181818182456e-01,1.621143303328719532e-01,1.000000000000000000e+00
-1.357818658799450517e+00,-9.375757575757577289e-01,1.679418873631968179e-01,1.000000000000000000e+00
-1.330612194647080582e+00,-9.169696969696969902e-01,1.701669440514179399e-01,1.000000000000000000e+00
-1.303405730494710646e+00,-8.963636363636362514e-01,1.691842803509525650e-01,1.000000000000000000e+00
-1.276199266342340932e+00,-8.757575757575757347e-01,1.653886762152177170e-01,1.000000000000000000e+00
-1.248992802189970996e+00,-8.551515151515151070e-01,1.591749115976306417e-01,1.000000000000000000e+00
-1.221786338037601283e+00,-8.345454545454545903e-01,1.509377664516087791e-01,1.000000000000000000e+00
-1.194579873885231347e+00,-8.139393939393939625e-01,1.410720207305689866e-01,1.000000000000000000e+00
-1.167373409732861411e+00,-7.933333333333332238e-01,1.299724543879286764e-01,1.000000000000000000e+00
-1.140166945580491697e+00,-7.727272727272727071e-01,1.180338473771051638e-01,1.000000000000000000e+00
-1.112960481428121762e+00,-7.521212121212120794e-01,1.056509796515154032e-01,1.000000000000000000e+00
-1.085754017275752048e+00,-7.315151515151515627e-01,9.321863116457676512e-02,1.000000000000000000e+00
-1.058547553123382112e+00,-7.109090909090909349e-01,8.113158186970635677e-02,1.000000000000000000e+00
-1.031341088971012177e+00,-6.903030303030301962e-01,6.978461172032142390e-02,1.000000000000000000e+00
-1.004134624818642463e+00,-6.696969696969696795e-01,5.956227297492985850e-02,1.000000000000000000e+00
-9.769281606662725270e-01,-6.490909090909090517e-01,5.061388090912295745e-02,1.000000000000000000e+00
-9.497216965139027023e-01,-6.284848484848484240e-01,4.285351381557589434e-02,1.000000000000000000e+00
-9.225152323615328775e-01,-6.078787878787879073e-01,3.618502229205435017e-02,1.000000000000000000e+00
-8.953087682091630528e-01,-5.872727272727272796e-01,3.051225693632399899e-02,1.000000000000000000e+00
-8.681023040567932281e-01,-5.666666666666666519e-01,2.573906834615053221e-02,1.000000000000000000e+00
-8.408958399044234033e-01,-5.460606060606061352e-01,2.176930711929962736e-02,1.000000000000000000e+00
-8.136893757520535786e-01,-5.254545454545455074e-01,1.850682385353697931e-02,1.000000000000000000e+00
-7.864829115996836428e-01,-5.048484848484847687e-01,1.585546914662826559e-02,1.000000000000000000e+00
-7.592764474473138181e-01,-4.842424242424242520e-01,1.371909359633918454e-02,1.000000000000000000e+00
-7.320699832949439934e-01,-4.636363636363636243e-01,1.200154780043542063e-02,1.000000000000000000e+00
-7.048635191425741686e-01,-4.430303030303029965e-01,1.060668235668265832e-02,1.000000000000000000e+00
-6.776570549902043439e-01,-4.224242424242424798e-01,9.438347862846582087e-03,1.000000000000000000e+00
-6.504505908378344081e-01,-4.018181818181818521e-01,8.400394916692876385e-03,1.000000000000000000e+00
-6.232441266854645834e-01,-3.812121212121212244e-01,7.396674115987232623e-03,1.000000000000000000e+00
-5.960376625330947586e-01,-3.606060606060605966e-01,6.331036058495337869e-03,1.000000000000000000e+00
-5.688311983807249339e-01,-3.400000000000000799e-01,5.107331341982873987e-03,1.000000000000000000e+00
-5.416247342283551092e-01,-3.193939393939394522e-01,3.646730036959176108e-03,1.000000000000000000e+00
-5.144182700759851734e-01,-2.987878787878788245e-01,1.939680104908147323e-03,1.000000000000000000e+00
-4.872118059236153487e-01,-2.781818181818181968e-01,-6.051019942648200312e-06,1.000000000000000000e+00
-4.600053417712455239e-01,-2.575757575757575690e-01,-2.182695903365661910e-03,1.000000000000000000e+00
-4.327988776188755882e-01,-2.369696969696969135e-01,-4.582487111133338314e-03,1.000000000000000000e+00
-4.055924134665058745e-01,-2.163636363636363968e-01,-7.197657209018114982e-03,1.000000000000000000e+00
-3.783859493141359387e-01,-1.957575757575757136e-01,-1.002043876279245030e-02,1.000000000000000000e+00
-3.511794851617662250e-01,-1.751515151515152524e-01,-1.304306433822876796e-02,1.000000000000000000e+00
-3.239730210093962892e-01,-1.545454545454545692e-01,-1.625776650109956104e-02,1.000000000000000000e+00
-2.967665568570263535e-01,-1.339393939393938859e-01,-1.965677781717722547e-02,1.000000000000000000e+00
