x_scaled,x_raw,phi,in_train_support
-2.090600071364410617e+00,-5.959999999999979536e+00,5.646620999520278517e+00,0.000000000000000000e+00
-2.042227489846249355e+00,1.806060606060668761e-01,4.727604101817461490e+00,0.000000000000000000e+00
-1.993854908328088094e+00,6.321212121212113288e+00,3.904185155898417747e+00,0.000000000000000000e+00
-1.945482326809926832e+00,1.246181818181815970e+01,3.171018425779889238e+00,1.000000000000000000e+00
-1.897109745291765348e+00,1.860242424242423454e+01,2.522758175478621023e+00,1.000000000000000000e+00
-1.848737163773604086e+00,2.474303030303030937e+01,1.954058669011363492e+00,1.000000000000000000e+00
-1.800364582255442825e+00,3.088363636363635578e+01,1.459574170394859038e+00,1.000000000000000000e+00
-1.751992000737281563e+00,3.702424242424240219e+01,1.033958943645852724e+00,1.000000000000000000e+00
-1.703619419219120079e+00,4.316484848484850545e+01,6.718672527810893857e-01,1.000000000000000000e+00
-1.655246837700958817e+00,4.930545454545455186e+01,3.679533618173169707e-01,1.000000000000000000e+00
-1.606874256182797556e+00,5.544606060606059827e+01,1.168715347712789843e-01,1.000000000000000000e+00
-1.558501674664636294e+00,6.158666666666667311e+01,-8.672396434027818124e-02,1.000000000000000000e+00
-1.510129093146475032e+00,6.772727272727271952e+01,-2.481788715006101320e-01,1.000000000000000000e+00
-1.461756511628313771e+00,7.386787878787876593e+01,-3.728389226929706979e-01,1.000000000000000000e+00
-1.413383930110152509e+00,8.000848484848481235e+01,-4.660498539006152630e-01,1.000000000000000000e+00
-1.365011348591991025e+00,8.614909090909091560e+01,-5.331574011067985452e-01,1.000000000000000000e+00
-1.316638767073829763e+00,9.228969696969696201e+01,-5.795073002947737084e-01,1.000000000000000000e+00
-1.268266185555668502e+00,9.843030303030300843e+01,-6.103551730605480952e-01,1.000000000000000000e+00
-1.219893604037507018e+00,1.045709090909091117e+02,-6.288840100934451893e-01,1.000000000000000000e+00
-1.171521022519345756e+00,1.107115151515151581e+02,-6.362041711760977325e-01,1.000000000000000000e+00
-1.123148441001184494e+00,1.168521212121212045e+02,-6.333359017038933114e-01,1.000000000000000000e+00
-1.074775859483023233e+00,1.229927272727272793e+02,-6.212994470722204010e-01,1.000000000000000000e+00
-1.026403277964861971e+00,1.291333333333333258e+02,-6.011150526764652557e-01,1.000000000000000000e+00
-9.780306964467007091e-01,1.352739393939393722e+02,-5.738029639120167946e-01,1.000000000000000000e+00
-9.296581149285394474e-01,1.414145454545454186e+02,-5.403834261742619383e-01,1.000000000000000000e+00
-8.812855334103779636e-01,1.475551515151515218e+02,-5.018766848585878293e-01,1.000000000000000000e+00
-8.329129518922167019e-01,1.536957575757575682e+02,-4.593029853603829427e-01,1.000000000000000000e+00
-7.845403703740554402e-01,1.598363636363636147e+02,-4.136825730750335328e-01,1.000000000000000000e+00
-7.361677888558941785e-01,1.659769696969696611e+02,-3.660356933979282967e-01,1.000000000000000000e+00
-6.877952073377329167e-01,1.721175757575757359e+02,-3.173825917244541550e-01,1.000000000000000000e+00
-6.394226258195714330e-01,1.782581818181818107e+02,-2.687435134499982503e-01,1.000000000000000000e+00
-5.910500443014101712e-01,1.843987878787878572e+02,-2.211387039699490575e-01,1.000000000000000000e+00
