x_scaled,x_raw,phi,in_train_support
-9.361743269107438703e-01,-7.935227871000005706e-02,-4.606277175009563241e-01,0.000000000000000000e+00
-7.548992699626615455e-01,2.404614506363644821e-03,-3.101520590269454258e-01,1.000000000000000000e+00
-5.736242130145792206e-01,8.416150772272729119e-02,-1.789746732463712853e-01,1.000000000000000000e+00
-3.923491560664970068e-01,1.659184009390909098e-01,-6.579636559635959614e-02,1.000000000000000000e+00
-2.110740991184146820e-01,2.476752941554545839e-01,3.068205848596239349e-02,1.000000000000000000e+00
-2.979904217033235714e-02,3.294321873718182303e-01,1.117597935634668804e-01,1.000000000000000000e+00
1.514760147777498567e-01,4.111890805881818212e-01,1.787360341990289481e-01,1.000000000000000000e+00
3.327510717258321815e-01,4.929459738045455230e-01,2.329099749555210153e-01,1.000000000000000000e+00
5.140261286739145064e-01,5.747028670209091139e-01,2.755808103958163890e-01,1.000000000000000000e+00
6.953011856219968312e-01,6.564597602372728158e-01,3.080477350827890426e-01,1.000000000000000000e+00
8.765762425700791560e-01,7.382166534536365177e-01,3.316099435793109507e-01,1.000000000000000000e+00
1.057851299518161481e+00,8.199735466700002195e-01,3.475666304482563085e-01,1.000000000000000000e+00
1.239126356466243584e+00,9.017304398863636994e-01,3.572169902524984231e-01,1.000000000000000000e+00
1.420401413414326131e+00,9.834873331027274013e-01,3.618602175549112676e-01,1.000000000000000000e+00
1.601676470362408233e+00,1.065244226319091103e+00,3.627955069183670389e-01,1.000000000000000000e+00
1.782951527310490780e+00,1.147001119535454805e+00,3.613220529057388219e-01,1.000000000000000000e+00
1.964226584258572883e+00,1.228758012751818507e+00,3.587390500799012560e-01,1.000000000000000000e+00
2.145501641206655208e+00,1.310514905968181987e+00,3.563135836223496611e-01,1.000000000000000000e+00
2.326776698154737311e+00,1.392271799184545467e+00,3.545742229429000858e-01,1.000000000000000000e+00
2.508051755102819413e+00,1.474028692400909168e+00,3.533110216796886416e-01,1.000000000000000000e+00
2.689326812050902404e+00,1.555785585617273092e+00,3.522819240894743409e-01,1.000000000000000000e+00
2.870601868998984507e+00,1.637542478833636572e+00,3.512448744290166402e-01,1.000000000000000000e+00
3.051876925947066610e+00,1.719299372050000274e+00,3.499578169550743301e-01,1.000000000000000000e+00
3.233151982895148713e+00,1.801056265266363754e+00,3.481786959244064228e-01,1.000000000000000000e+00
3.414427039843230816e+00,1.882813158482727456e+00,3.456654555937717088e-01,1.000000000000000000e+00
3.595702096791312918e+00,1.964570051699090936e+00,3.421760402199292006e-01,1.000000000000000000e+00
3.776977153739395909e+00,2.046326944915454860e+00,3.374683940596376885e-01,1.000000000000000000e+00
3.958252210687478012e+00,2.128083838131818784e+00,3.313004613696572953e-01,1.000000000000000000e+00
4.139527267635560115e+00,2.209840731348182263e+00,3.234301864067457011e-01,1.000000000000000000e+00
4.320802324583642218e+00,2.291597624564545743e+00,3.136155134276623624e-01,0.000000000000000000e+00
4.502077381531725209e+00,2.373354517780909667e+00,3.016143866891656256e-01,0.000000000000000000e+00
4.683352438479807311e+00,2.455111410997273147e+00,2.871847504480158353e-01,0.000000000000000000e+00
4.864627495427889414e+00,2.536868304213636627e+00,2.700845489609708938e-01,0.000000000000000000e+00
5.045902552375971517e+00,2.618625197430000107e+00,2.500717264847902577e-01,0.000000000000000000e+00
5.227177609324053620e+00,2.700382090646363586e+00,2.269426393900535466e-01,0.000000000000000000e+00
5.408452666272136611e+00,2.782138983862727954e+00,2.006472925026261400e-01,0.000000000000000000e+00
5.589727723220218714e+00,2.863895877079091434e+00,1.711741027621933586e-01,0.000000000000000000e+00
5.771002780168300816e+00,2.945652770295454914e+00,1.385114871084418553e-01,0.000000000000000000e+00
5.952277837116382919e+00,3.027409663511818394e+00,1.026478624810569507e-01,0.000000000000000000e+00
6.133552894064465910e+00,3.109166556728182318e+00,6.357164581972463147e-02,0.000000000000000000e+00
6.314827951012548013e+00,3.190923449944545798e+00,2.127125406413066244e-02,0.000000000000000000e+00
6.496103007960630116e+00,3.272680343160909722e+00,-2.426489584603852556e-02,0.000000000000000000e+00
6.677378064908712219e+00,3.354437236377273202e+00,-7.304838697109738987e-02,0.000000000000000000e+00
6.858653121856794321e+00,3.436194129593636681e+00,-1.250908023713597217e-01,0.000000000000000000e+00
7.039928178804877312e+00,3.517951022810000605e+00,-1.804037251071406445e-01,0.000000000000000000e+00
7.221203235752958527e+00,3.599707916026363641e+00,-2.389987382387528392e-01,0.000000000000000000e+00
7.402478292701041518e+00,3.681464809242727565e+00,-3.008874248265114293e-01,0.000000000000000000e+00
7.583753349649124509e+00,3.763221702459091933e+00,-3.660813679307300950e-01,0.000000000000000000e+00
7.765028406597205723e+00,3.844978595675454969e+00,-4.345921506117225164e-01,0.000000000000000000e+00
7.946303463545288714e+00,3.926735488891818893e+00,-5.064313559298039280e-01,0.000000000000000000e+00
8.127578520493370817e+00,4.008492382108182817e+00,-5.816020768085681247e-01,0.000000000000000000e+00
8.308853577441453808e+00,4.090249275324546296e+00,-6.599121330270674157e-01,0.000000000000000000e+00
8.490128634389536799e+00,4.172006168540910664e+00,-7.409740712198101820e-01,0.000000000000000000e+00
8.671403691337618014e+00,4.253763061757274144e+00,-8.243919478845843640e-01,0.000000000000000000e+00
8.852678748285701005e+00,4.335519954973637624e+00,-9.097698195191811221e-01,0.000000000000000000e+00
9.033953805233783996e+00,4.417276848190001104e+00,-9.967117426213885079e-01,0.000000000000000000e+00
9.215228862181865210e+00,4.499033741406364584e+00,-1.084821773688995128e+00,0.000000000000000000e+00
9.396503919129948201e+00,4.580790634622728952e+00,-1.173703969219792143e+00,0.000000000000000000e+00
9.577778976078029416e+00,4.662547527839091543e+00,-1.262962385711566604e+00,0.000000000000000000e+00
9.759054033026112407e+00,4.744304421055455911e+00,-1.352201079662109340e+00,0.000000000000000000e+00
9.940329089974195398e+00,4.826061314271819391e+00,-1.441024107569208956e+00,0.000000000000000000e+00
1.012160414692227661e+01,4.907818207488182871e+00,-1.529035525930653838e+00,0.000000000000000000e+00
1.030287920387035960e+01,4.989575100704547239e+00,-1.615839391244234591e+00,0.000000000000000000e+00
1.048415426081844082e+01,5.071331993920909831e+00,-1.701039760007739154e+00,0.000000000000000000e+00
1.066542931776652381e+01,5.153088887137274199e+00,-1.784240688718958134e+00,0.000000000000000000e+00
1.084670437471460680e+01,5.234845780353637679e+00,-1.865046233875679693e+00,0.000000000000000000e+00
1.102797943166268801e+01,5.316602673570001159e+00,-1.943060451975692660e+00,0.000000000000000000e+00
1.120925448861077101e+01,5.398359566786364638e+00,-2.017975093189981806e+00,0.000000000000000000e+00
1.139052954555885222e+01,5.480116460002728118e+00,-2.089832682382308349e+00,0.000000000000000000e+00
1.157180460250693521e+01,5.561873353219092486e+00,-2.158763438089631226e+00,0.000000000000000000e+00
1.175307965945501820e+01,5.643630246435455966e+00,-2.224897578848906043e+00,0.000000000000000000e+00
1.193435471640309942e+01,5.725387139651819446e+00,-2.288365323197089296e+00,0.000000000000000000e+00
1.211562977335118241e+01,5.807144032868182926e+00,-2.349296889671139255e+00,0.000000000000000000e+00
1.229690483029926362e+01,5.888900926084546406e+00,-2.407822496808011525e+00,0.000000000000000000e+00
1.247817988724734661e+01,5.970657819300910774e+00,-2.464072363144664379e+00,0.000000000000000000e+00
1.265945494419542960e+01,6.052414712517274253e+00,-2.518176707218054755e+00,0.000000000000000000e+00
1.284073000114351082e+01,6.134171605733637733e+00,-2.570265747565137815e+00,0.000000000000000000e+00
1.302200505809159381e+01,6.215928498950001213e+00,-2.620469702722872718e+00,0.000000000000000000e+00
1.320328011503967680e+01,6.297685392166365581e+00,-2.668918791228215959e+00,0.000000000000000000e+00
1.338455517198775802e+01,6.379442285382729061e+00,-2.715743231618122699e+00,0.000000000000000000e+00
1.356583022893584101e+01,6.461199178599092541e+00,-2.761073242429552543e+00,0.000000000000000000e+00
1.374710528588392222e+01,6.542956071815456021e+00,-2.805039042199460653e+00,0.000000000000000000e+00
1.392838034283200521e+01,6.624712965031819500e+00,-2.847770849464804854e+00,0.000000000000000000e+00
1.410965539978008820e+01,6.706469858248183868e+00,-2.889397745296038877e+00,0.000000000000000000e+00
1.429093045672816942e+01,6.788226751464546460e+00,-2.930022649034045301e+00,0.000000000000000000e+00
1.447220551367625241e+01,6.869983644680910828e+00,-2.969722318290136442e+00,0.000000000000000000e+00
1.465348057062433362e+01,6.951740537897274308e+00,-3.008572373209120521e+00,0.000000000000000000e+00
1.483475562757241661e+01,7.033497431113637788e+00,-3.046648433935807532e+00,0.000000000000000000e+00
1.501603068452049961e+01,7.115254324330002156e+00,-3.084026120615004807e+00,0.000000000000000000e+00
1.519730574146858082e+01,7.197011217546364747e+00,-3.120781053391521453e+00,0.000000000000000000e+00
1.537858079841666203e+01,7.278768110762728227e+00,-3.156988852410166579e+00,0.000000000000000000e+00
1.555985585536474680e+01,7.360525003979092595e+00,-3.192725137815749292e+00,0.000000000000000000e+00
1.574113091231282802e+01,7.442281897195456075e+00,-3.228065529753077811e+00,0.000000000000000000e+00
1.592240596926090923e+01,7.524038790411819555e+00,-3.263085648366961244e+00,0.000000000000000000e+00
1.610368102620899222e+01,7.605795683628183035e+00,-3.297861113802207811e+00,0.000000000000000000e+00
1.628495608315707344e+01,7.687552576844546515e+00,-3.332467546203627506e+00,0.000000000000000000e+00
1.646623114010515465e+01,7.769309470060909995e+00,-3.366980565716027662e+00,0.000000000000000000e+00
1.664750619705323942e+01,7.851066363277274363e+00,-3.401475792484218719e+00,0.000000000000000000e+00
1.682878125400132063e+01,7.932823256493637842e+00,-3.436028846653006674e+00,0.000000000000000000e+00
1.701005631094940185e+01,8.014580149710001322e+00,-3.470715348367203301e+00,0.000000000000000000e+00
