x_scaled,x_raw,phi,in_train_support
-1.463728000954151343e+00,-1.020000000000000018e+00,1.307997450775563175e-01,0.000000000000000000e+00
-1.436532917454663938e+00,-9.993939393939393900e-01,1.689078386550176836e-01,1.000000000000000000e+00
-1.409337833955176755e+00,-9.787878787878788733e-01,1.916938836703618865e-01,1.000000000000000000e+00
-1.382142750455689351e+00,-9.581818181818183566e-01,2.007224768972524498e-01,1.000000000000000000e+00
-1.354947666956202168e+00,-9.375757575757578399e-01,1.975582151093521477e-01,1.000000000000000000e+00
-1.327752583456714763e+00,-9.169696969696971012e-01,1.837656950803240596e-01,1.000000000000000000e+00
-1.300557499957227581e+00,-8.963636363636365845e-01,1.609095135838316259e-01,1.000000000000000000e+00
-1.273362416457740176e+00,-8.757575757575758457e-01,1.305542673935374265e-01,1.000000000000000000e+00
-1.246167332958252993e+00,-8.551515151515153290e-01,9.426455328310502646e-02,1.000000000000000000e+00
-1.218972249458765589e+00,-8.345454545454545903e-01,5.360496802619697798e-02,1.000000000000000000e+00
-1.191777165959278406e+00,-8.139393939393940736e-01,1.014010839647692605e-02,1.000000000000000000e+00
-1.164582082459791001e+00,-7.933333333333334458e-01,-3.456542883239270558e-02,1.000000000000000000e+00
-1.137386998960303597e+00,-7.727272727272727071e-01,-7.894704688674843152e-02,1.000000000000000000e+00
-1.110191915460816414e+00,-7.521212121212121904e-01,-1.214401489929267802e-01,1.000000000000000000e+00
-1.082996831961329232e+00,-7.315151515151516737e-01,-1.604801383772651857e-01,1.000000000000000000e+00
-1.055801748461841827e+00,-7.109090909090910460e-01,-1.945024182661007905e-01,1.000000000000000000e+00
-1.028606664962354422e+00,-6.903030303030303072e-01,-2.219423918857702238e-01,1.000000000000000000e+00
-1.001411581462867240e+00,-6.696969696969697905e-01,-2.412851665610102614e-01,1.000000000000000000e+00
-9.742164979633799460e-01,-6.490909090909091628e-01,-2.521590438797607359e-01,1.000000000000000000e+00
-9.470214144638926523e-01,-6.284848484848485350e-01,-2.553355196931637039e-01,1.000000000000000000e+00
-9.198263309644053587e-01,-6.078787878787880183e-01,-2.516357939507615216e-01,1.000000000000000000e+00
-8.926312474649180650e-01,-5.872727272727273906e-01,-2.418810666020961564e-01,1.000000000000000000e+00
-8.654361639654307714e-01,-5.666666666666667629e-01,-2.268925375967099090e-01,1.000000000000000000e+00
-8.382410804659434778e-01,-5.460606060606061352e-01,-2.074914068841449966e-01,1.000000000000000000e+00
-8.110459969664560731e-01,-5.254545454545455074e-01,-1.844988744139435810e-01,1.000000000000000000e+00
-7.838509134669687795e-01,-5.048484848484848797e-01,-1.587361401356479351e-01,1.000000000000000000e+00
-7.566558299674814858e-01,-4.842424242424242520e-01,-1.310244039988002762e-01,1.000000000000000000e+00
-7.294607464679941922e-01,-4.636363636363636243e-01,-1.021848659529427800e-01,1.000000000000000000e+00
-7.022656629685068985e-01,-4.430303030303031075e-01,-7.303872594761766368e-02,1.000000000000000000e+00
-6.750705794690196049e-01,-4.224242424242424798e-01,-4.440718393236713080e-02,1.000000000000000000e+00
-6.478754959695323112e-01,-4.018181818181818521e-01,-1.711143985673342291e-02,1.000000000000000000e+00
-6.206804124700450176e-01,-3.812121212121212244e-01,8.027306329741329405e-03,1.000000000000000000e+00
-5.934853289705577239e-01,-3.606060606060606522e-01,3.018785467751486026e-02,1.000000000000000000e+00
-5.662902454710704303e-01,-3.400000000000000244e-01,4.854900523704498705e-02,1.000000000000000000e+00
-5.390951619715831367e-01,-3.193939393939393967e-01,6.248462834211072903e-02,1.000000000000000000e+00
-5.119000784720958430e-01,-2.987878787878788245e-01,7.214887545977628769e-02,1.000000000000000000e+00
-4.847049949726085494e-01,-2.781818181818181968e-01,7.789096834042710804e-02,1.000000000000000000e+00
-4.575099114731211447e-01,-2.575757575757575135e-01,8.006012873444852407e-02,1.000000000000000000e+00
-4.303148279736339621e-01,-2.369696969696969968e-01,7.900557839222603629e-02,1.000000000000000000e+00
-4.031197444741465574e-01,-2.163636363636363136e-01,7.507653906414495093e-02,1.000000000000000000e+00
-3.759246609746593748e-01,-1.957575757575757969e-01,6.862223250059092117e-02,1.000000000000000000e+00
-3.487295774751719701e-01,-1.751515151515151136e-01,5.999188045194914221e-02,1.000000000000000000e+00
-3.215344939756847875e-01,-1.545454545454545414e-01,4.953470466860518395e-02,1.000000000000000000e+00
-2.943394104761973828e-01,-1.339393939393938582e-01,3.759992690094433182e-02,1.000000000000000000e+00
-2.671443269767102002e-01,-1.133333333333333554e-01,2.453676889935218694e-02,1.000000000000000000e+00
-2.399492434772227956e-01,-9.272727272727267211e-02,1.069445241421400003e-02,1.000000000000000000e+00
-2.127541599777356129e-01,-7.212121212121212765e-02,-3.577800804084640789e-03,1.000000000000000000e+00
-1.855590764782482083e-01,-5.151515151515144442e-02,-1.793076900515854291e-02,1.000000000000000000e+00
-1.583639929787608036e-01,-3.090909090909076118e-02,-3.201523043862213730e-02,1.000000000000000000e+00
-1.311689094792736210e-01,-1.030303030303024447e-02,-4.548196335408986185e-02,1.000000000000000000e+00
-1.039738259797862163e-01,1.030303030303045264e-02,-5.798973082615217073e-02,1.000000000000000000e+00
-7.677874248029903370e-02,3.090909090909096935e-02,-6.938094690383826701e-02,1.000000000000000000e+00
-4.958365898081162904e-02,5.151515151515165952e-02,-7.968167661061709151e-02,1.000000000000000000e+00
-2.238857548132444641e-02,7.212121212121218317e-02,-8.892596979493268272e-02,1.000000000000000000e+00
4.806508018162958251e-03,9.272727272727286640e-02,-9.714787630522958572e-02,1.000000000000000000e+00
3.200159151765014087e-02,1.133333333333333970e-01,-1.043814459899519154e-01,1.000000000000000000e+00
5.919667501713754554e-02,1.339393939393940802e-01,-1.106607286975440640e-01,1.000000000000000000e+00
8.639175851662472816e-02,1.545454545454545969e-01,-1.160197742764503132e-01,1.000000000000000000e+00
1.135868420161121328e-01,1.751515151515152802e-01,-1.204926325751149996e-01,1.000000000000000000e+00
1.407819255155993154e-01,1.957575757575757969e-01,-1.241133534419823908e-01,1.000000000000000000e+00
1.679770090150867201e-01,2.163636363636364801e-01,-1.269159867254967822e-01,1.000000000000000000e+00
1.951720925145739027e-01,2.369696969696970523e-01,-1.289345822741024827e-01,1.000000000000000000e+00
2.223671760140613074e-01,2.575757575757577356e-01,-1.302031899362438572e-01,1.000000000000000000e+00
2.495622595135484900e-01,2.781818181818182523e-01,-1.307558595603650897e-01,1.000000000000000000e+00
2.767573430130358947e-01,2.987878787878789355e-01,-1.306266409949105312e-01,1.000000000000000000e+00
3.039524265125232994e-01,3.193939393939396187e-01,-1.298495840883245322e-01,1.000000000000000000e+00
3.311475100120104820e-01,3.400000000000001354e-01,-1.284587386890513605e-01,1.000000000000000000e+00
3.583425935114978866e-01,3.606060606060608187e-01,-1.264899879237960378e-01,1.000000000000000000e+00
3.855376770109850693e-01,3.812121212121213354e-01,-1.239865480323066732e-01,1.000000000000000000e+00
4.127327605104724739e-01,4.018181818181820186e-01,-1.209934685325920051e-01,1.000000000000000000e+00
4.399278440099596565e-01,4.224242424242425353e-01,-1.175557989426608413e-01,1.000000000000000000e+00
4.671229275094470612e-01,4.430303030303032186e-01,-1.137185887805218787e-01,1.000000000000000000e+00
4.943180110089342438e-01,4.636363636363637353e-01,-1.095268875641840223e-01,1.000000000000000000e+00
5.215130945084216485e-01,4.842424242424244740e-01,-1.050257448116559827e-01,1.000000000000000000e+00
5.487081780079090532e-01,5.048484848484852128e-01,-1.002602100409465402e-01,1.000000000000000000e+00
5.759032615073962358e-01,5.254545454545457295e-01,-9.527533277006457191e-02,1.000000000000000000e+00
6.030983450068834184e-01,5.460606060606062462e-01,-9.011616251701880242e-02,1.000000000000000000e+00
6.302934285063706010e-01,5.666666666666667629e-01,-8.482774879981801186e-02,1.000000000000000000e+00
6.574885120058582277e-01,5.872727272727276127e-01,-7.945514113647086929e-02,1.000000000000000000e+00
6.846835955053454104e-01,6.078787878787881294e-01,-7.404338904498637686e-02,1.000000000000000000e+00
7.118786790048325930e-01,6.284848484848486461e-01,-6.863754204337321752e-02,1.000000000000000000e+00
7.390737625043202197e-01,6.490909090909094958e-01,-6.328264964964007422e-02,1.000000000000000000e+00
7.662688460038074023e-01,6.696969696969700125e-01,-5.802376138179592829e-02,1.000000000000000000e+00
7.934639295032945849e-01,6.903030303030305292e-01,-5.290346599501248581e-02,1.000000000000000000e+00
8.206590130027817676e-01,7.109090909090910460e-01,-4.790775469921089436e-02,1.000000000000000000e+00
8.478540965022693943e-01,7.315151515151518957e-01,-4.296602115906161118e-02,1.000000000000000000e+00
8.750491800017565769e-01,7.521212121212124124e-01,-3.800519827639832482e-02,1.000000000000000000e+00
9.022442635012437595e-01,7.727272727272729291e-01,-3.295221895305449483e-02,1.000000000000000000e+00
9.294393470007309421e-01,7.933333333333334458e-01,-2.773401609086366057e-02,1.000000000000000000e+00
9.566344305002185688e-01,8.139393939393942956e-01,-2.227752259165926077e-02,1.000000000000000000e+00
9.838295139997057515e-01,8.345454545454548123e-01,-1.650967135727500826e-02,1.000000000000000000e+00
1.011024597499192934e+00,8.551515151515153290e-01,-1.035739528954436606e-02,1.000000000000000000e+00
1.038219680998680117e+00,8.757575757575758457e-01,-3.747627290300860510e-03,1.000000000000000000e+00
1.065414764498167743e+00,8.963636363636366955e-01,3.392699738622093932e-03,1.000000000000000000e+00
1.092609847997654926e+00,9.169696969696972122e-01,1.113665289539072720e-02,1.000000000000000000e+00
1.119804931497142109e+00,9.375757575757577289e-01,1.955729927817160055e-02,1.000000000000000000e+00
1.147000014996629735e+00,9.581818181818185787e-01,2.872770598513135418e-02,1.000000000000000000e+00
1.174195098496116918e+00,9.787878787878790954e-01,3.872094011443612260e-02,1.000000000000000000e+00
1.201390181995604101e+00,9.993939393939397231e-01,4.961006876425254342e-02,1.000000000000000000e+00
