x_scaled,x_raw,phi,in_train_support
-2.167057173754491473e+00,4.409499999999999886e+02,-6.067365554803766159e+00,0.000000000000000000e+00
-2.117558369238628835e+00,4.482136363636363399e+02,-5.396297733294062482e+00,0.000000000000000000e+00
-2.068059564722765753e+00,4.554772727272727479e+02,-4.762718465303798610e+00,0.000000000000000000e+00
-2.018560760206903115e+00,4.627409090909090992e+02,-4.165922126070609188e+00,0.000000000000000000e+00
-1.969061955691040477e+00,4.700045454545454504e+02,-3.605203090832114654e+00,0.000000000000000000e+00
-1.919563151175177618e+00,4.772681818181818016e+02,-3.079855734825936331e+00,0.000000000000000000e+00
-1.870064346659314758e+00,4.845318181818182097e+02,-2.589174433289699540e+00,1.000000000000000000e+00
-1.820565542143452120e+00,4.917954545454545041e+02,-2.132453561461033154e+00,1.000000000000000000e+00
-1.771066737627589260e+00,4.990590909090909122e+02,-1.708987494577556943e+00,1.000000000000000000e+00
-1.721567933111726623e+00,5.063227272727272066e+02,-1.318070607876898226e+00,1.000000000000000000e+00
-1.672069128595863763e+00,5.135863636363635578e+02,-9.589972765966785495e-01,1.000000000000000000e+00
-1.622570324080001125e+00,5.208499999999999091e+02,-6.310618759745254547e-01,1.000000000000000000e+00
-1.573071519564138265e+00,5.281136363636363740e+02,-3.335587812480608205e-01,1.000000000000000000e+00
-1.523572715048275406e+00,5.353772727272727252e+02,-6.578236765491018989e-02,1.000000000000000000e+00
-1.474073910532412768e+00,5.426409090909090764e+02,1.729729895673004503e-01,1.000000000000000000e+00
-1.424575106016549908e+00,5.499045454545454277e+02,3.834129151809499980e-01,1.000000000000000000e+00
-1.375076301500687048e+00,5.571681818181817789e+02,5.662430339484112451e-01,1.000000000000000000e+00
-1.325577496984824410e+00,5.644318181818181301e+02,7.221877595919889981e-01,1.000000000000000000e+00
-1.276078692468961773e+00,5.716954545454544814e+02,8.524036519123561195e-01,1.000000000000000000e+00
-1.226579887953098691e+00,5.789590909090909463e+02,9.584794167885530847e-01,1.000000000000000000e+00
-1.177081083437236053e+00,5.862227272727272975e+02,1.042022549059547609e+00,1.000000000000000000e+00
-1.127582278921373415e+00,5.934863636363636488e+02,1.104640543564307409e+00,1.000000000000000000e+00
-1.078083474405510556e+00,6.007500000000000000e+02,1.147940895141801532e+00,1.000000000000000000e+00
-1.028584669889647696e+00,6.080136363636363512e+02,1.173531098631000136e+00,1.000000000000000000e+00
-9.790858653737850581e-01,6.152772727272727025e+02,1.183018648870869383e+00,1.000000000000000000e+00
-9.295870608579221983e-01,6.225409090909090537e+02,1.178011040700379874e+00,1.000000000000000000e+00
-8.800882563420595606e-01,6.298045454545454049e+02,1.160115768958499549e+00,1.000000000000000000e+00
-8.305894518261967008e-01,6.370681818181817562e+02,1.130940328484195900e+00,1.000000000000000000e+00
-7.810906473103338410e-01,6.443318181818181074e+02,1.092092214116439530e+00,1.000000000000000000e+00
-7.315918427944712032e-01,6.515954545454544586e+02,1.045178920694197933e+00,1.000000000000000000e+00
-6.820930382786083435e-01,6.588590909090909236e+02,9.918079430564397114e-01,1.000000000000000000e+00
-6.325942337627457057e-01,6.661227272727272748e+02,9.335867760421334705e-01,1.000000000000000000e+00
-5.830954292468828459e-01,6.733863636363636260e+02,8.721229144902487018e-01,1.000000000000000000e+00
