x_scaled,x_raw,phi,in_train_support
-9.361743269107438703e-01,-7.935227871000005706e-02,-4.580194051223203111e-01,0.000000000000000000e+00
-7.548992699626615455e-01,2.404614506363644821e-03,-3.088163229579046209e-01,1.000000000000000000e+00
-5.736242130145792206e-01,8.416150772272729119e-02,-1.785901329275769722e-01,1.000000000000000000e+00
-3.923491560664970068e-01,1.659184009390909098e-01,-6.607016733463821900e-02,1.000000000000000000e+00
-2.110740991184146820e-01,2.476752941554545839e-01,3.001424151760934134e-02,1.000000000000000000e+00
-2.979904217033235714e-02,3.294321873718182303e-01,1.109337613258639665e-01,1.000000000000000000e+00
1.514760147777498567e-01,4.111890805881818212e-01,1.779590597868249136e-01,1.000000000000000000e+00
3.327510717258321815e-01,4.929459738045455230e-01,2.323608045971902181e-01,1.000000000000000000e+00
5.140261286739145064e-01,5.747028670209091139e-01,2.754096634536581378e-01,1.000000000000000000e+00
6.953011856219968312e-01,6.564597602372728158e-01,3.083763040529273747e-01,1.000000000000000000e+00
8.765762425700791560e-01,7.382166534536365177e-01,3.325313940916959643e-01,1.000000000000000000e+00
1.057851299518161481e+00,8.199735466700002195e-01,3.491456012666626085e-01,1.000000000000000000e+00
1.239126356466243584e+00,9.017304398863636994e-01,3.594895932745257872e-01,1.000000000000000000e+00
1.420401413414326131e+00,9.834873331027274013e-01,3.648340378119848681e-01,1.000000000000000000e+00
1.601676470362408233e+00,1.065244226319091103e+00,3.664496025757365549e-01,1.000000000000000000e+00
1.782951527310490780e+00,1.147001119535454805e+00,3.656069552624797714e-01,1.000000000000000000e+00
1.964226584258572883e+00,1.228758012751818507e+00,3.635767635689138855e-01,1.000000000000000000e+00
2.145501641206655208e+00,1.310514905968181987e+00,3.615980712896965654e-01,1.000000000000000000e+00
2.326776698154737311e+00,1.392271799184545467e+00,3.601825724725610245e-01,1.000000000000000000e+00
2.508051755102819413e+00,1.474028692400909168e+00,3.591146114183157989e-01,1.000000000000000000e+00
2.689326812050902404e+00,1.555785585617273092e+00,3.581469085257292795e-01,1.000000000000000000e+00
2.870601868998984507e+00,1.637542478833636572e+00,3.570321841935703011e-01,1.000000000000000000e+00
3.051876925947066610e+00,1.719299372050000274e+00,3.555231588206065885e-01,1.000000000000000000e+00
3.233151982895148713e+00,1.801056265266363754e+00,3.533725528056069765e-01,1.000000000000000000e+00
3.414427039843230816e+00,1.882813158482727456e+00,3.503330865473396338e-01,1.000000000000000000e+00
3.595702096791312918e+00,1.964570051699090936e+00,3.461574804445725073e-01,1.000000000000000000e+00
3.776977153739395909e+00,2.046326944915454860e+00,3.405984548960744318e-01,1.000000000000000000e+00
3.958252210687478012e+00,2.128083838131818784e+00,3.334087303006144642e-01,1.000000000000000000e+00
4.139527267635560115e+00,2.209840731348182263e+00,3.243410270569594411e-01,1.000000000000000000e+00
4.320802324583642218e+00,2.291597624564545743e+00,3.131480655638786414e-01,0.000000000000000000e+00
4.502077381531725209e+00,2.373354517780909667e+00,2.995825662201400119e-01,0.000000000000000000e+00
4.683352438479807311e+00,2.455111410997273147e+00,2.833972494245126095e-01,0.000000000000000000e+00
4.864627495427889414e+00,2.536868304213636627e+00,2.643448355757639368e-01,0.000000000000000000e+00
5.045902552375971517e+00,2.618625197430000107e+00,2.421780450726626066e-01,0.000000000000000000e+00
5.227177609324053620e+00,2.700382090646363586e+00,2.166796525454740552e-01,0.000000000000000000e+00
5.408452666272136611e+00,2.782138983862727954e+00,1.877526495504483472e-01,0.000000000000000000e+00
5.589727723220218714e+00,2.863895877079091434e+00,1.553300818753339252e-01,0.000000000000000000e+00
5.771002780168300816e+00,2.945652770295454914e+00,1.193449953078785652e-01,0.000000000000000000e+00
5.952277837116382919e+00,3.027409663511818394e+00,7.973043563582893345e-02,0.000000000000000000e+00
6.133552894064465910e+00,3.109166556728182318e+00,3.641944864693302808e-02,0.000000000000000000e+00
6.314827951012548013e+00,3.190923449944545798e+00,-1.065491987106126359e-02,0.000000000000000000e+00
6.496103007960630116e+00,3.272680343160909722e+00,-6.155962413040660941e-02,0.000000000000000000e+00
6.677378064908712219e+00,3.354437236377273202e+00,-1.163616183433553442e-01,0.000000000000000000e+00
6.858653121856794321e+00,3.436194129593636681e+00,-1.751278567221596916e-01,0.000000000000000000e+00
7.039928178804877312e+00,3.517951022810000605e+00,-2.379252934790728746e-01,0.000000000000000000e+00
7.221203235752958527e+00,3.599707916026363641e+00,-3.048208828263460068e-01,0.000000000000000000e+00
7.402478292701041518e+00,3.681464809242727565e+00,-3.758815789762326443e-01,0.000000000000000000e+00
7.583753349649124509e+00,3.763221702459091933e+00,-4.511743361409846775e-01,0.000000000000000000e+00
7.765028406597205723e+00,3.844978595675454969e+00,-5.307661085328538864e-01,0.000000000000000000e+00
7.946303463545288714e+00,3.926735488891818893e+00,-6.147238503640940488e-01,0.000000000000000000e+00
8.127578520493370817e+00,4.008492382108182817e+00,-7.031017510638557511e-01,0.000000000000000000e+00
8.308853577441453808e+00,4.090249275324546296e+00,-7.956604100499713450e-01,0.000000000000000000e+00
8.490128634389536799e+00,4.172006168540910664e+00,-8.918668367289530607e-01,0.000000000000000000e+00
8.671403691337618014e+00,4.253763061757274144e+00,-9.911752757242104916e-01,0.000000000000000000e+00
8.852678748285701005e+00,4.335519954973637624e+00,-1.093039971659157672e+00,0.000000000000000000e+00
9.033953805233783996e+00,4.417276848190001104e+00,-1.196915169157204417e+00,0.000000000000000000e+00
9.215228862181865210e+00,4.499033741406364584e+00,-1.302255112841760987e+00,0.000000000000000000e+00
9.396503919129948201e+00,4.580790634622728952e+00,-1.408514047336241415e+00,0.000000000000000000e+00
9.577778976078029416e+00,4.662547527839091543e+00,-1.515146217264054185e+00,0.000000000000000000e+00
9.759054033026112407e+00,4.744304421055455911e+00,-1.621605867248613109e+00,0.000000000000000000e+00
9.940329089974195398e+00,4.826061314271819391e+00,-1.727347241913328002e+00,0.000000000000000000e+00
1.012160414692227661e+01,4.907818207488182871e+00,-1.831824585881610012e+00,0.000000000000000000e+00
1.030287920387035960e+01,4.989575100704547239e+00,-1.934492143776870954e+00,0.000000000000000000e+00
1.048415426081844082e+01,5.071331993920909831e+00,-2.034804160222522196e+00,0.000000000000000000e+00
1.066542931776652381e+01,5.153088887137274199e+00,-2.132214879841975552e+00,0.000000000000000000e+00
1.084670437471460680e+01,5.234845780353637679e+00,-2.226178547258641505e+00,0.000000000000000000e+00
1.102797943166268801e+01,5.316602673570001159e+00,-2.316149407095930979e+00,0.000000000000000000e+00
1.120925448861077101e+01,5.398359566786364638e+00,-2.401638117985092080e+00,0.000000000000000000e+00
1.139052954555885222e+01,5.480116460002728118e+00,-2.482380994588716305e+00,0.000000000000000000e+00
1.157180460250693521e+01,5.561873353219092486e+00,-2.558170765577232331e+00,0.000000000000000000e+00
1.175307965945501820e+01,5.643630246435455966e+00,-2.628800159621066612e+00,0.000000000000000000e+00
1.193435471640309942e+01,5.725387139651819446e+00,-2.694061905390646938e+00,0.000000000000000000e+00
1.211562977335118241e+01,5.807144032868182926e+00,-2.753748731556401985e+00,0.000000000000000000e+00
1.229690483029926362e+01,5.888900926084546406e+00,-2.807653366788758653e+00,0.000000000000000000e+00
1.247817988724734661e+01,5.970657819300910774e+00,-2.855568539758145175e+00,0.000000000000000000e+00
