x_scaled,x_raw,phi,in_train_support
-1.920925311372458033e+00,-7.257000000000000739e+01,-1.214853786253230794e+01,0.000000000000000000e+00
-1.870187834885956635e+00,-7.095242424242424306e+01,-1.144838192751979022e+01,0.000000000000000000e+00
-1.819450358399455236e+00,-6.933484848484849294e+01,-1.078755453632906125e+01,0.000000000000000000e+00
-1.768712881912954060e+00,-6.771727272727272862e+01,-1.016399014924410338e+01,0.000000000000000000e+00
-1.717975405426452662e+00,-6.609969696969697850e+01,-9.575623226548897193e+00,0.000000000000000000e+00
-1.667237928939951264e+00,-6.448212121212121417e+01,-9.020388228527437491e+00,1.000000000000000000e+00
-1.616500452453449865e+00,-6.286454545454545695e+01,-8.496219615463697750e+00,1.000000000000000000e+00
-1.565762975966948467e+00,-6.124696969696969973e+01,-8.001051847641670989e+00,1.000000000000000000e+00
-1.515025499480447291e+00,-5.962939393939394250e+01,-7.532819385345339569e+00,1.000000000000000000e+00
-1.464288022993945892e+00,-5.801181818181818528e+01,-7.089456688858685851e+00,1.000000000000000000e+00
-1.413550546507444494e+00,-5.639424242424242806e+01,-6.668898218465696637e+00,1.000000000000000000e+00
-1.362813070020943318e+00,-5.477666666666667794e+01,-6.269078434450358728e+00,1.000000000000000000e+00
-1.312075593534441698e+00,-5.315909090909090651e+01,-5.887931797096648268e+00,1.000000000000000000e+00
-1.261338117047940521e+00,-5.154151515151515639e+01,-5.523392766688562716e+00,1.000000000000000000e+00
-1.210600640561439123e+00,-4.992393939393939917e+01,-5.173395803510076441e+00,1.000000000000000000e+00
-1.159863164074937725e+00,-4.830636363636364194e+01,-4.835875367845178019e+00,1.000000000000000000e+00
-1.109125687588436548e+00,-4.668878787878788472e+01,-4.508765919977854253e+00,1.000000000000000000e+00
-1.058388211101934928e+00,-4.507121212121212039e+01,-4.190046558026983448e+00,1.000000000000000000e+00
-1.007650734615433752e+00,-4.345363636363637028e+01,-3.878723050314130560e+00,1.000000000000000000e+00
-9.569132581289323536e-01,-4.183606060606061305e+01,-3.574827835363522333e+00,1.000000000000000000e+00
-9.061757816424309553e-01,-4.021848484848484873e+01,-3.278437989534291219e+00,1.000000000000000000e+00
-8.554383051559297790e-01,-3.860090909090909861e+01,-2.989630589185567899e+00,1.000000000000000000e+00
-8.047008286694283807e-01,-3.698333333333333428e+01,-2.708482710676483052e+00,1.000000000000000000e+00
-7.539633521829269824e-01,-3.536575757575758416e+01,-2.435071430366169132e+00,1.000000000000000000e+00
-7.032258756964255841e-01,-3.374818181818181984e+01,-2.169473824613755042e+00,1.000000000000000000e+00
-6.524883992099241858e-01,-3.213060606060606261e+01,-1.911766969778373015e+00,1.000000000000000000e+00
-6.017509227234230096e-01,-3.051303030303030894e+01,-1.662027942219154619e+00,1.000000000000000000e+00
-5.510134462369216113e-01,-2.889545454545454817e+01,-1.420333818295228978e+00,1.000000000000000000e+00
-5.002759697504202130e-01,-2.727787878787879094e+01,-1.186761674365728547e+00,1.000000000000000000e+00
-4.495384932639188147e-01,-2.566030303030303372e+01,-9.613885867897826731e-01,1.000000000000000000e+00
-3.988010167774176384e-01,-2.404272727272728005e+01,-7.442916319265249214e-01,1.000000000000000000e+00
-3.480635402909162401e-01,-2.242515151515151928e+01,-5.355478861350833064e-01,1.000000000000000000e+00
-2.973260638044148418e-01,-2.080757575757576205e+01,-3.352344257745900613e-01,1.000000000000000000e+00
-2.465885873179134435e-01,-1.919000000000000128e+01,-1.434283272041765311e-01,1.000000000000000000e+00
-1.958511108314120452e-01,-1.757242424242424050e+01,3.990870909577270975e-02,1.000000000000000000e+00
-1.451136343449108690e-01,-1.595484848484849039e+01,2.152764861598541746e-01,1.000000000000000000e+00
-9.437615785840947069e-02,-1.433727272727273139e+01,3.832901829014121464e-01,1.000000000000000000e+00
-4.363868137190807239e-02,-1.271969696969697239e+01,5.445649782337895761e-01,1.000000000000000000e+00
7.098795114593325906e-03,-1.110212121212121339e+01,6.997160510703290814e-01,1.000000000000000000e+00
5.783627160109450216e-02,-9.484545454545461496e+00,8.493585803243735022e-01,1.000000000000000000e+00
1.085737480875961225e-01,-7.866969696969694503e+00,9.941077449092677876e-01,1.000000000000000000e+00
1.593112245740972988e-01,-6.249393939393942610e+00,1.134578723738352446e+00,1.000000000000000000e+00
2.100487010605984750e-01,-4.631818181818190716e+00,1.271386695724972205e+00,1.000000000000000000e+00
2.607861775471000954e-01,-3.014242424242423724e+00,1.405146839782471124e+00,1.000000000000000000e+00
3.115236540336012716e-01,-1.396666666666671830e+00,1.536474334824189825e+00,1.000000000000000000e+00
3.622611305201028919e-01,2.209090909090942745e-01,1.665984359763474254e+00,1.000000000000000000e+00
4.129986070066040682e-01,1.838484848484846168e+00,1.794292093513664810e+00,1.000000000000000000e+00
4.637360834931052445e-01,3.456060606060598062e+00,1.922012714988105664e+00,1.000000000000000000e+00
5.144735599796068648e-01,5.073636363636364166e+00,2.049761403100141877e+00,1.000000000000000000e+00
5.652110364661080411e-01,6.691212121212117836e+00,2.178153336763113401e+00,1.000000000000000000e+00
6.159485129526096614e-01,8.308787878787882164e+00,2.307790676753670667e+00,1.000000000000000000e+00
6.666859894391108377e-01,9.926363636363635834e+00,2.438976166704460269e+00,1.000000000000000000e+00
7.174234659256120139e-01,1.154393939393938595e+01,2.571713133104130744e+00,1.000000000000000000e+00
7.681609424121136342e-01,1.316151515151515383e+01,2.705991884304637107e+00,1.000000000000000000e+00
8.188984188986148105e-01,1.477909090909090395e+01,2.841802728657931265e+00,1.000000000000000000e+00
8.696358953851159868e-01,1.639666666666665762e+01,2.979135974515966900e+00,1.000000000000000000e+00
9.203733718716176071e-01,1.801424242424242550e+01,3.117981930230698140e+00,1.000000000000000000e+00
9.711108483581187834e-01,1.963181818181817562e+01,3.258330904154077778e+00,1.000000000000000000e+00
1.021848324844620404e+00,2.124939393939393995e+01,3.400173204638059943e+00,1.000000000000000000e+00
1.072585801331121580e+00,2.286696969696969717e+01,3.543499140034595207e+00,1.000000000000000000e+00
1.123323277817622756e+00,2.448454545454544728e+01,3.688299018695640363e+00,1.000000000000000000e+00
1.174060754304124377e+00,2.610212121212121161e+01,3.834563148973147761e+00,1.000000000000000000e+00
1.224798230790625553e+00,2.771969696969696173e+01,3.982281839219069752e+00,1.000000000000000000e+00
1.275535707277127173e+00,2.933727272727273316e+01,4.131445397785361351e+00,1.000000000000000000e+00
1.326273183763628349e+00,3.095484848484848328e+01,4.282044133023973131e+00,1.000000000000000000e+00
1.377010660250129526e+00,3.257242424242423340e+01,4.434068353286861885e+00,1.000000000000000000e+00
1.427748136736631146e+00,3.419000000000000483e+01,4.587508366925979075e+00,1.000000000000000000e+00
1.478485613223132322e+00,3.580757575757575495e+01,4.742290783027128143e+00,1.000000000000000000e+00
1.529223089709633943e+00,3.742515151515151928e+01,4.898087413611511565e+00,1.000000000000000000e+00
