x_scaled,x_raw,phi,in_train_support
-3.917518017897200888e+00,3.035000000000000142e+01,-4.590139797401056043e+00,0.000000000000000000e+00
-3.861204185399347288e+00,3.101969696969697310e+01,-4.324741773325487593e+00,0.000000000000000000e+00
-3.804890352901493245e+00,3.168939393939394478e+01,-4.075081725692620616e+00,0.000000000000000000e+00
-3.748576520403639645e+00,3.235909090909091645e+01,-3.840322638118943033e+00,0.000000000000000000e+00
-3.692262687905786045e+00,3.302878787878788103e+01,-3.619627494220931219e+00,0.000000000000000000e+00
-3.635948855407932445e+00,3.369848484848485271e+01,-3.412159277615069986e+00,0.000000000000000000e+00
-3.579635022910078845e+00,3.436818181818181728e+01,-3.217080971917838372e+00,0.000000000000000000e+00
-3.523321190412224801e+00,3.503787878787878896e+01,-3.033555560745716306e+00,0.000000000000000000e+00
-3.467007357914371202e+00,3.570757575757576063e+01,-2.860746027715189044e+00,0.000000000000000000e+00
-3.410693525416517602e+00,3.637727272727272521e+01,-2.697815356442735180e+00,0.000000000000000000e+00
-3.354379692918663558e+00,3.704696969696970399e+01,-2.543926530544835973e+00,0.000000000000000000e+00
-3.298065860420809958e+00,3.771666666666666856e+01,-2.398242533637974461e+00,0.000000000000000000e+00
-3.241752027922956358e+00,3.838636363636364024e+01,-2.259926349338631013e+00,0.000000000000000000e+00
-3.185438195425102759e+00,3.905606060606060481e+01,-2.128140961263286446e+00,0.000000000000000000e+00
-3.129124362927249159e+00,3.972575757575757649e+01,-2.002049353028422463e+00,0.000000000000000000e+00
-3.072810530429395115e+00,4.039545454545454817e+01,-1.880814508250519657e+00,0.000000000000000000e+00
-3.016496697931541515e+00,4.106515151515151985e+01,-1.763599410546060842e+00,0.000000000000000000e+00
-2.960182865433687915e+00,4.173484848484848442e+01,-1.649581027287458701e+00,0.000000000000000000e+00
-2.903869032935833872e+00,4.240454545454545610e+01,-1.538257952233568648e+00,0.000000000000000000e+00
-2.847555200437980272e+00,4.307424242424242777e+01,-1.429450405529690382e+00,0.000000000000000000e+00
-2.791241367940126672e+00,4.374393939393939235e+01,-1.322992591077053248e+00,0.000000000000000000e+00
-2.734927535442273072e+00,4.441363636363636402e+01,-1.218718712776888591e+00,1.000000000000000000e+00
-2.678613702944419472e+00,4.508333333333332860e+01,-1.116462974530426200e+00,1.000000000000000000e+00
-2.622299870446565428e+00,4.575303030303030027e+01,-1.016059580238896309e+00,1.000000000000000000e+00
-2.565986037948711829e+00,4.642272727272727195e+01,-9.173427338035311518e-01,1.000000000000000000e+00
-2.509672205450858229e+00,4.709242424242424363e+01,-8.201466391255601840e-01,1.000000000000000000e+00
-2.453358372953004185e+00,4.776212121212121531e+01,-7.243055001062133069e-01,1.000000000000000000e+00
-2.397044540455150585e+00,4.843181818181818699e+01,-6.296535206467226420e-01,1.000000000000000000e+00
-2.340730707957296985e+00,4.910151515151515156e+01,-5.360249046483180901e-01,1.000000000000000000e+00
-2.284416875459443386e+00,4.977121212121211613e+01,-4.432538560122298854e-01,1.000000000000000000e+00
-2.228103042961589786e+00,5.044090909090908781e+01,-3.511745786396889280e-01,1.000000000000000000e+00
-2.171789210463735742e+00,5.111060606060605949e+01,-2.596212764319247857e-01,1.000000000000000000e+00
-2.115475377965882142e+00,5.178030303030303116e+01,-1.684281532901699130e-01,1.000000000000000000e+00
-2.059161545468028542e+00,5.245000000000000284e+01,-7.742941311565321172e-02,1.000000000000000000e+00
-2.002847712970174499e+00,5.311969696969697452e+01,1.348499229943778133e-02,1.000000000000000000e+00
-1.946533880472320899e+00,5.378939393939394620e+01,1.042021195990878724e-01,1.000000000000000000e+00
-1.890220047974467299e+00,5.445909090909091077e+01,1.945532775363272293e-01,1.000000000000000000e+00
-1.833906215476613699e+00,5.512878787878787534e+01,2.843697748641851319e-01,1.000000000000000000e+00
