x_scaled,x_raw,phi,in_train_support
-2.386849171558835359e+00,4.000199999999999818e+02,-1.380978651381433764e+01,0.000000000000000000e+00
-2.290834296642313639e+00,4.309084848484848180e+02,-1.274093568685394473e+01,0.000000000000000000e+00
-2.194819421725791919e+00,4.617969696969696543e+02,-1.173582242890773131e+01,0.000000000000000000e+00
-2.098804546809270200e+00,4.926854545454544905e+02,-1.079135759467899192e+01,0.000000000000000000e+00
-2.002789671892748480e+00,5.235739393939393267e+02,-9.904452038870985575e+00,0.000000000000000000e+00
-1.906774796976226760e+00,5.544624242424241629e+02,-9.072016616187010385e+00,0.000000000000000000e+00
-1.810759922059705040e+00,5.853509090909091128e+02,-8.290962181330339575e+00,0.000000000000000000e+00
-1.714745047143183321e+00,6.162393939393939490e+02,-7.558199589004243713e+00,0.000000000000000000e+00
-1.618730172226661601e+00,6.471278787878787853e+02,-6.870639693912008461e+00,1.000000000000000000e+00
-1.522715297310139881e+00,6.780163636363636215e+02,-6.225193350756909716e+00,1.000000000000000000e+00
-1.426700422393618162e+00,7.089048484848484577e+02,-5.618771414242233142e+00,1.000000000000000000e+00
-1.330685547477096220e+00,7.397933333333332939e+02,-5.048284739071246641e+00,1.000000000000000000e+00
-1.234670672560574500e+00,7.706818181818182438e+02,-4.510644179947239429e+00,1.000000000000000000e+00
-1.138655797644052781e+00,8.015703030303029664e+02,-4.002760591573490068e+00,1.000000000000000000e+00
-1.042640922727531061e+00,8.324587878787879163e+02,-3.521544828653270010e+00,1.000000000000000000e+00
-9.466260478110093413e-01,8.633472727272727525e+02,-3.063907745889857814e+00,1.000000000000000000e+00
-8.506111728944876216e-01,8.942357575757575887e+02,-2.626760197986542700e+00,1.000000000000000000e+00
-7.545962979779659019e-01,9.251242424242424249e+02,-2.207070593776874645e+00,1.000000000000000000e+00
-6.585814230614441822e-01,9.560127272727272612e+02,-1.803131087090782181e+00,1.000000000000000000e+00
-5.625665481449224625e-01,9.869012121212120974e+02,-1.414557576754584822e+00,1.000000000000000000e+00
-4.665516732284007428e-01,1.017789696969696934e+03,-1.041023515724861070e+00,1.000000000000000000e+00
-3.705367983118788011e-01,1.048678181818181884e+03,-6.822023569581974201e-01,1.000000000000000000e+00
-2.745219233953570814e-01,1.079566666666666833e+03,-3.377675534111865829e-01,1.000000000000000000e+00
-1.785070484788353617e-01,1.110455151515151556e+03,-7.392558040411500997e-03,1.000000000000000000e+00
-8.249217356231364207e-02,1.141343636363636506e+03,3.092491761975404430e-01,1.000000000000000000e+00
1.352270135420807762e-02,1.172232121212121228e+03,6.124841963460836425e-01,1.000000000000000000e+00
1.095375762707297973e-01,1.203120606060606178e+03,9.026390494486280502e-01,1.000000000000000000e+00
2.055524511872515170e-01,1.234009090909090901e+03,1.180040282548589836e+00,1.000000000000000000e+00
3.015673261037732367e-01,1.264897575757575851e+03,1.445014442689383394e+00,1.000000000000000000e+00
3.975822010202949564e-01,1.295786060606060573e+03,1.697888076914418676e+00,1.000000000000000000e+00
4.935970759368166760e-01,1.326674545454545523e+03,1.938987732267110520e+00,1.000000000000000000e+00
5.896119508533383957e-01,1.357563030303030246e+03,2.168639955790872875e+00,1.000000000000000000e+00
6.856268257698601154e-01,1.388451515151515196e+03,2.387171294529117027e+00,1.000000000000000000e+00
7.816417006863818351e-01,1.419340000000000146e+03,2.594908295525258701e+00,1.000000000000000000e+00
8.776565756029035548e-01,1.450228484848484868e+03,2.792406808404618079e+00,1.000000000000000000e+00
9.736714505194252745e-01,1.481116969696969591e+03,2.981139893120155815e+00,1.000000000000000000e+00
1.069686325435946994e+00,1.512005454545454540e+03,3.162809912206737462e+00,1.000000000000000000e+00
1.165701200352468714e+00,1.542893939393939490e+03,3.339119228199230349e+00,1.000000000000000000e+00
1.261716075268990433e+00,1.573782424242424213e+03,3.511770203632504916e+00,1.000000000000000000e+00
1.357730950185512153e+00,1.604670909090909163e+03,3.682465201041424940e+00,1.000000000000000000e+00
1.453745825102033873e+00,1.635559393939393885e+03,3.852906582960860860e+00,1.000000000000000000e+00
1.549760700018555593e+00,1.666447878787878835e+03,4.024796711925678672e+00,1.000000000000000000e+00
1.645775574935077756e+00,1.697336363636363785e+03,4.199837950470747039e+00,1.000000000000000000e+00
1.741790449851599476e+00,1.728224848484848735e+03,4.379732661130931959e+00,1.000000000000000000e+00
1.837805324768121196e+00,1.759113333333333458e+03,4.566183206441102094e+00,1.000000000000000000e+00
1.933820199684642915e+00,1.790001818181818180e+03,4.760891948936124329e+00,1.000000000000000000e+00
