x_scaled,x_raw,phi,in_train_support
-2.291661617075305912e+00,7.368000000000002103e+01,-7.646415387381289008e+00,0.000000000000000000e+00
-2.196023510610626950e+00,7.813090909090909975e+01,-6.795050883511157380e+00,0.000000000000000000e+00
-2.100385404145947987e+00,8.258181818181819267e+01,-5.997317812734880960e+00,0.000000000000000000e+00
-2.004747297681268581e+00,8.703272727272729981e+01,-5.251913472695685314e+00,0.000000000000000000e+00
-1.909109191216589618e+00,9.148363636363637852e+01,-4.557535161036805782e+00,0.000000000000000000e+00
-1.813471084751910656e+00,9.593454545454545723e+01,-3.912880175401466598e+00,0.000000000000000000e+00
-1.717832978287231471e+00,1.003854545454545644e+02,-3.316645813432895551e+00,0.000000000000000000e+00
-1.622194871822552287e+00,1.048363636363636573e+02,-2.767529372774323981e+00,1.000000000000000000e+00
-1.526556765357873324e+00,1.092872727272727360e+02,-2.264228151068980566e+00,1.000000000000000000e+00
-1.430918658893194362e+00,1.137381818181818289e+02,-1.805439445960092870e+00,1.000000000000000000e+00
-1.335280552428515177e+00,1.181890909090909219e+02,-1.389860555090888017e+00,1.000000000000000000e+00
-1.239642445963835993e+00,1.226400000000000148e+02,-1.016188776104596236e+00,1.000000000000000000e+00
-1.144004339499157030e+00,1.270909090909090935e+02,-6.831214066444477595e-01,1.000000000000000000e+00
-1.048366233034478068e+00,1.315418181818182006e+02,-3.893557443536681539e-01,1.000000000000000000e+00
-9.527281265697988832e-01,1.359927272727272793e+02,-1.335890868754887606e-01,1.000000000000000000e+00
-8.570900201051196987e-01,1.404436363636363865e+02,8.548126814686440866e-02,1.000000000000000000e+00
-7.614519136404407362e-01,1.448945454545454652e+02,2.691580230701600129e-01,1.000000000000000000e+00
-6.658138071757617737e-01,1.493454545454545439e+02,4.187615959472257288e-01,1.000000000000000000e+00
-5.701757007110825892e-01,1.537963636363636510e+02,5.360198658401489347e-01,1.000000000000000000e+00
-4.745375942464034047e-01,1.582472727272727298e+02,6.230681728202802638e-01,1.000000000000000000e+00
-3.788994877817244422e-01,1.626981818181818085e+02,6.820595726550227056e-01,1.000000000000000000e+00
-2.832613813170454797e-01,1.671490909090909156e+02,7.151471211117836901e-01,1.000000000000000000e+00
-1.876232748523660732e-01,1.716000000000000227e+02,7.244838739579630982e-01,1.000000000000000000e+00
-9.198516838768711068e-02,1.760509090909091015e+02,7.122228869609701363e-01,1.000000000000000000e+00
3.652938076991851801e-03,1.805018181818181802e+02,6.805172158882060174e-01,1.000000000000000000e+00
9.929104454167081428e-02,1.849527272727272589e+02,6.315199165070768395e-01,1.000000000000000000e+00
1.949291510063497768e-01,1.894036363636363660e+02,5.673840445849864800e-01,1.000000000000000000e+00
2.905672574710291833e-01,1.938545454545454731e+02,4.902626558893392605e-01,1.000000000000000000e+00
3.862053639357081458e-01,1.983054545454545519e+02,4.023088061875408350e-01,1.000000000000000000e+00
4.818434704003871083e-01,2.027563636363636306e+02,3.056755512469955249e-01,1.000000000000000000e+00
5.774815768650665149e-01,2.072072727272727377e+02,2.025159468351067638e-01,1.000000000000000000e+00
6.731196833297454774e-01,2.116581818181818164e+02,9.498304871927976123e-02,1.000000000000000000e+00
7.687577897944244398e-01,2.161090909090909236e+02,-1.477008733308071697e-02,1.000000000000000000e+00
8.643958962591034023e-01,2.205600000000000023e+02,-1.245904055545703493e-01,1.000000000000000000e+00
9.600340027237823648e-01,2.250109090909090810e+02,-2.326505070000934872e-01,1.000000000000000000e+00
1.055672109188461771e+00,2.294618181818181881e+02,-3.384256200137882864e-01,1.000000000000000000e+00
1.151310215653140734e+00,2.339127272727272668e+02,-4.417166297621006876e-01,1.000000000000000000e+00
1.246948322117819696e+00,2.383636363636363455e+02,-5.423244214114761874e-01,1.000000000000000000e+00
1.342586428582499103e+00,2.428145454545454527e+02,-6.400498801283629469e-01,1.000000000000000000e+00
1.438224535047178065e+00,2.472654545454545314e+02,-7.346938910792069066e-01,1.000000000000000000e+00
1.533862641511857028e+00,2.517163636363636385e+02,-8.260573394304535633e-01,1.000000000000000000e+00
1.629500747976535990e+00,2.561672727272726888e+02,-9.139411103485493015e-01,1.000000000000000000e+00
1.725138854441214953e+00,2.606181818181818244e+02,-9.981460889999427266e-01,1.000000000000000000e+00
1.820776960905893915e+00,2.650690909090909031e+02,-1.078473160551078003e+00,1.000000000000000000e+00
1.916415067370573766e+00,2.695199999999999818e+02,-1.154723210168403291e+00,1.000000000000000000e+00
2.012053173835252728e+00,2.739709090909091174e+02,-1.226697123018363644e+00,1.000000000000000000e+00
2.107691280299931691e+00,2.784218181818181961e+02,-1.294195784267405891e+00,1.000000000000000000e+00
2.203329386764610653e+00,2.828727272727272748e+02,-1.357020079081976416e+00,1.000000000000000000e+00
2.298967493229289616e+00,2.873236363636363535e+02,-1.414970892628521382e+00,1.000000000000000000e+00
2.394605599693968578e+00,2.917745454545454322e+02,-1.467849110073488283e+00,1.000000000000000000e+00
2.490243706158647541e+00,2.962254545454545109e+02,-1.515475463688475966e+00,1.000000000000000000e+00
2.585881812623326503e+00,3.006763636363635896e+02,-1.558127169163611381e+00,1.000000000000000000e+00
2.681519919088005466e+00,3.051272727272727252e+02,-1.596537925607545594e+00,1.000000000000000000e+00
2.777158025552685316e+00,3.095781818181818608e+02,-1.631461279234085904e+00,1.000000000000000000e+00
2.872796132017364279e+00,3.140290909090908826e+02,-1.663650776257035391e+00,1.000000000000000000e+00
2.968434238482043241e+00,3.184800000000000182e+02,-1.693859962890202464e+00,0.000000000000000000e+00
3.064072344946722204e+00,3.229309090909090401e+02,-1.722842385347391536e+00,0.000000000000000000e+00
3.159710451411401166e+00,3.273818181818181756e+02,-1.751351589842407686e+00,0.000000000000000000e+00
3.255348557876080129e+00,3.318327272727272543e+02,-1.780141122589057767e+00,0.000000000000000000e+00
3.350986664340759091e+00,3.362836363636363330e+02,-1.809964529801147304e+00,0.000000000000000000e+00
3.446624770805438942e+00,3.407345454545454686e+02,-1.841575357692481374e+00,0.000000000000000000e+00
3.542262877270117905e+00,3.451854545454545473e+02,-1.875727152476866166e+00,0.000000000000000000e+00
3.637900983734796867e+00,3.496363636363636260e+02,-1.913173460368106316e+00,0.000000000000000000e+00
3.733539090199475829e+00,3.540872727272727047e+02,-1.954667827580008677e+00,0.000000000000000000e+00
3.829177196664154792e+00,3.585381818181817835e+02,-2.000963800326378106e+00,0.000000000000000000e+00
3.924815303128833754e+00,3.629890909090909190e+02,-2.052814924821021236e+00,0.000000000000000000e+00
4.020453409593512717e+00,3.674399999999999409e+02,-2.110974747277742924e+00,0.000000000000000000e+00
4.116091516058191679e+00,3.718909090909090764e+02,-2.176043720088924438e+00,0.000000000000000000e+00
4.211729622522870642e+00,3.763418181818181552e+02,-2.248009920361250913e+00,0.000000000000000000e+00
4.307367728987550493e+00,3.807927272727272339e+02,-2.326708331379983008e+00,0.000000000000000000e+00
4.403005835452229455e+00,3.852436363636363694e+02,-2.411973936430380050e+00,0.000000000000000000e+00
4.498643941916908418e+00,3.896945454545454481e+02,-2.503641718797702254e+00,0.000000000000000000e+00
4.594282048381587380e+00,3.941454545454545269e+02,-2.601546661767210722e+00,0.000000000000000000e+00
4.689920154846266342e+00,3.985963636363636056e+02,-2.705523748624165226e+00,0.000000000000000000e+00
4.785558261310945305e+00,4.030472727272726843e+02,-2.815407962653825980e+00,0.000000000000000000e+00
4.881196367775624267e+00,4.074981818181818198e+02,-2.931034287141453643e+00,0.000000000000000000e+00
4.976834474240304118e+00,4.119490909090908985e+02,-3.052237705372309318e+00,0.000000000000000000e+00
5.072472580704983081e+00,4.163999999999999773e+02,-3.178853200631651443e+00,0.000000000000000000e+00
5.168110687169662043e+00,4.208509090909091128e+02,-3.310715756204741123e+00,0.000000000000000000e+00
5.263748793634341006e+00,4.253018181818181347e+02,-3.447660355376838570e+00,0.000000000000000000e+00
5.359386900099019968e+00,4.297527272727272702e+02,-3.589521981433204445e+00,0.000000000000000000e+00
5.455025006563698931e+00,4.342036363636362921e+02,-3.736135617659098518e+00,0.000000000000000000e+00
5.550663113028377893e+00,4.386545454545454277e+02,-3.887336247339781448e+00,0.000000000000000000e+00
5.646301219493056855e+00,4.431054545454545064e+02,-4.042986106484127262e+00,0.000000000000000000e+00
5.741939325957735818e+00,4.475563636363635851e+02,-4.203574243744138350e+00,0.000000000000000000e+00
5.837577432422415669e+00,4.520072727272727207e+02,-4.370216520414944128e+00,0.000000000000000000e+00
5.933215538887093743e+00,4.564581818181817425e+02,-4.544056050515282941e+00,0.000000000000000000e+00
6.028853645351773594e+00,4.609090909090908781e+02,-4.726235948063903791e+00,0.000000000000000000e+00
6.124491751816453444e+00,4.653600000000000136e+02,-4.917899327079545024e+00,0.000000000000000000e+00
6.220129858281131519e+00,4.698109090909090355e+02,-5.120189301580947649e+00,0.000000000000000000e+00
6.315767964745811369e+00,4.742618181818181711e+02,-5.334248985586860670e+00,0.000000000000000000e+00
6.411406071210489444e+00,4.787127272727272498e+02,-5.561221493116018877e+00,0.000000000000000000e+00
6.507044177675169294e+00,4.831636363636363285e+02,-5.802249938187173051e+00,0.000000000000000000e+00
6.602682284139847368e+00,4.876145454545454072e+02,-6.058477434819057983e+00,0.000000000000000000e+00
6.698320390604527219e+00,4.920654545454545428e+02,-6.331047097030425341e+00,0.000000000000000000e+00
6.793958497069205293e+00,4.965163636363635646e+02,-6.621102038840008142e+00,0.000000000000000000e+00
6.889596603533885144e+00,5.009672727272727002e+02,-6.929785374266558051e+00,0.000000000000000000e+00
6.985234709998564995e+00,5.054181818181818358e+02,-7.258240217328815191e+00,0.000000000000000000e+00
7.080872816463243069e+00,5.098690909090908576e+02,-7.607609682045513466e+00,0.000000000000000000e+00
7.176510922927922920e+00,5.143199999999999363e+02,-7.979036882435409872e+00,0.000000000000000000e+00
