x_scaled,x_raw,phi,in_train_support
-4.973482840160570184e+00,6.527100000000000364e+02,1.030643435559204590e+01,0.000000000000000000e+00
-4.878292402426500196e+00,6.602209090909091174e+02,9.818186370297560472e+00,0.000000000000000000e+00
-4.783101964692429320e+00,6.677318181818181984e+02,9.358885961069823622e+00,0.000000000000000000e+00
-4.687911526958359332e+00,6.752427272727272793e+02,8.926969856030600781e+00,0.000000000000000000e+00
-4.592721089224288455e+00,6.827536363636363603e+02,8.520874783301630728e+00,0.000000000000000000e+00
-4.497530651490218467e+00,6.902645454545454413e+02,8.139037471004675339e+00,0.000000000000000000e+00
-4.402340213756147591e+00,6.977754545454545223e+02,7.779894647261476948e+00,0.000000000000000000e+00
-4.307149776022077603e+00,7.052863636363636033e+02,7.441883040193799204e+00,0.000000000000000000e+00
-4.211959338288006727e+00,7.127972727272726843e+02,7.123439377923380889e+00,0.000000000000000000e+00
-4.116768900553936739e+00,7.203081818181817653e+02,6.823000388571982100e+00,0.000000000000000000e+00
-4.021578462819865862e+00,7.278190909090909599e+02,6.539002800261350501e+00,0.000000000000000000e+00
-3.926388025085795874e+00,7.353299999999999272e+02,6.269883341113242636e+00,0.000000000000000000e+00
-3.831197587351725442e+00,7.428409090909090082e+02,6.014078739249404393e+00,0.000000000000000000e+00
-3.736007149617655010e+00,7.503518181818182029e+02,5.770025722791592315e+00,0.000000000000000000e+00
-3.640816711883584578e+00,7.578627272727272839e+02,5.536161019861554067e+00,0.000000000000000000e+00
-3.545626274149514146e+00,7.653736363636363649e+02,5.310921358581046192e+00,0.000000000000000000e+00
-3.450435836415443713e+00,7.728845454545454459e+02,5.092743467071814578e+00,0.000000000000000000e+00
-3.355245398681373281e+00,7.803954545454546405e+02,4.880094177193276650e+00,0.000000000000000000e+00
-3.260054960947302849e+00,7.879063636363637215e+02,4.672132706771034094e+00,0.000000000000000000e+00
-3.164864523213232417e+00,7.954172727272728025e+02,4.468710659596879964e+00,0.000000000000000000e+00
-3.069674085479161985e+00,8.029281818181818835e+02,4.269709743200271745e+00,0.000000000000000000e+00
-2.974483647745091552e+00,8.104390909090909645e+02,4.075011665110663373e+00,0.000000000000000000e+00
-2.879293210011021120e+00,8.179500000000000455e+02,3.884498132857511443e+00,0.000000000000000000e+00
-2.784102772276950688e+00,8.254609090909091265e+02,3.698050853970270335e+00,0.000000000000000000e+00
