x_scaled,x_raw,phi,in_train_support
-9.207010839719336204e+00,-1.394799999999999898e+02,1.139689572690383557e+01,0.000000000000000000e+00
-9.038601937570035716e+00,-1.369248484848484964e+02,1.088654406533695251e+01,0.000000000000000000e+00
-8.870193035420735228e+00,-1.343696969696969745e+02,1.040645448652164262e+01,0.000000000000000000e+00
-8.701784133271434740e+00,-1.318145454545454811e+02,9.955017087205838777e+00,0.000000000000000000e+00
-8.533375231122132476e+00,-1.292593939393939309e+02,9.530621964137479196e+00,0.000000000000000000e+00
-8.364966328972831988e+00,-1.267042424242424232e+02,9.131659214064509200e+00,0.000000000000000000e+00
-8.196557426823531500e+00,-1.241490909090909156e+02,8.756518933734868781e+00,0.000000000000000000e+00
-8.028148524674231012e+00,-1.215939393939393938e+02,8.403591219896490827e+00,0.000000000000000000e+00
-7.859739622524929636e+00,-1.190387878787878719e+02,8.071266169297317106e+00,0.000000000000000000e+00
-7.691330720375629149e+00,-1.164836363636363643e+02,7.757933878685290274e+00,0.000000000000000000e+00
-7.522921818226327773e+00,-1.139284848484848425e+02,7.461984444808344108e+00,0.000000000000000000e+00
-7.354512916077027285e+00,-1.113733333333333348e+02,7.181807964414420375e+00,0.000000000000000000e+00
-7.186104013927726797e+00,-1.088181818181818130e+02,6.915794534251459069e+00,0.000000000000000000e+00
-7.017695111778426309e+00,-1.062630303030303054e+02,6.662334251067399293e+00,0.000000000000000000e+00
-6.849286209629124933e+00,-1.037078787878787836e+02,6.419817211610176599e+00,0.000000000000000000e+00
-6.680877307479824445e+00,-1.011527272727272759e+02,6.186633512627735421e+00,0.000000000000000000e+00
-6.512468405330523069e+00,-9.859757575757575410e+01,5.961173250868010420e+00,0.000000000000000000e+00
-6.344059503181222581e+00,-9.604242424242423226e+01,5.741851707220445356e+00,0.000000000000000000e+00
-6.175650601031922093e+00,-9.348727272727272464e+01,5.527663397828990632e+00,0.000000000000000000e+00
-6.007241698882621606e+00,-9.093212121212121701e+01,5.318182074092115741e+00,0.000000000000000000e+00
-5.838832796733320230e+00,-8.837696969696969518e+01,5.113006671549785942e+00,0.000000000000000000e+00
