x_scaled,x_raw,phi,in_train_support
-1.252648837053867314e+00,-1.899999999999998579e+00,-1.357645100180069342e-01,0.000000000000000000e+00
-1.184936122093950273e+00,5.757575757575494890e-02,4.010897156358805837e-02,1.000000000000000000e+00
-1.117223407134033009e+00,2.015151515151515582e+00,1.919860668976585139e-01,1.000000000000000000e+00
-1.049510692174115967e+00,3.972727272727269110e+00,3.207653760594748604e-01,1.000000000000000000e+00
-9.817979772141987027e-01,5.930303030303029743e+00,4.273454991243079704e-01,1.000000000000000000e+00
-9.140852622542816608e-01,7.887878787878783271e+00,5.126250361674276057e-01,1.000000000000000000e+00
-8.463725472943645078e-01,9.845454545454543904e+00,5.775025872641053049e-01,1.000000000000000000e+00
-7.786598323344473549e-01,1.180303030303030098e+01,6.228767524896110519e-01,1.000000000000000000e+00
-7.109471173745302019e-01,1.376060606060605807e+01,6.496461319192159412e-01,1.000000000000000000e+00
-6.432344024146130490e-01,1.571818181818181870e+01,6.587093256281897347e-01,1.000000000000000000e+00
-5.755216874546958961e-01,1.767575757575757578e+01,6.509649336918037488e-01,1.000000000000000000e+00
-5.078089724947787431e-01,1.963333333333333286e+01,6.273115561853285227e-01,1.000000000000000000e+00
-4.400962575348617012e-01,2.159090909090908639e+01,5.886477931840343736e-01,1.000000000000000000e+00
-3.723835425749445482e-01,2.354848484848484702e+01,5.358722447631916186e-01,1.000000000000000000e+00
-3.046708276150273953e-01,2.550606060606060410e+01,4.698835109980719071e-01,1.000000000000000000e+00
-2.369581126551101313e-01,2.746363636363636473e+01,3.915801919639445572e-01,1.000000000000000000e+00
-1.692453976951930894e-01,2.942121212121212182e+01,3.018608877360808851e-01,1.000000000000000000e+00
-1.015326827352760475e-01,3.137878787878787534e+01,2.016408347734794937e-01,1.000000000000000000e+00
-3.381996777535878351e-02,3.333636363636363598e+01,9.221790636087878745e-02,1.000000000000000000e+00
3.389274718455825841e-02,3.529393939393938950e+01,-2.472738739124125118e-02,1.000000000000000000e+00
1.016054621444755224e-01,3.725151515151515014e+01,-1.474978999886731312e-01,1.000000000000000000e+00
1.693181771043925643e-01,3.920909090909090366e+01,-2.743964849372084736e-01,1.000000000000000000e+00
2.370308920643098283e-01,4.116666666666667140e+01,-4.037259957426404533e-01,1.000000000000000000e+00
3.047436070242268702e-01,4.312424242424242493e+01,-5.337892859107606913e-01,1.000000000000000000e+00
3.724563219841439121e-01,4.508181818181817846e+01,-6.628892089473625848e-01,1.000000000000000000e+00
4.401690369440611761e-01,4.703939393939393909e+01,-7.893286183582379767e-01,1.000000000000000000e+00
5.078817519039782180e-01,4.899696969696969262e+01,-9.114103676491802641e-01,1.000000000000000000e+00
5.755944668638954820e-01,5.095454545454545325e+01,-1.027437310325980180e+00,1.000000000000000000e+00
6.433071818238125239e-01,5.291212121212120678e+01,-1.135712299894429789e+00,1.000000000000000000e+00
7.110198967837297879e-01,5.486969696969697452e+01,-1.234538189860323820e+00,1.000000000000000000e+00
7.787326117436470518e-01,5.682727272727272805e+01,-1.322217833729453007e+00,1.000000000000000000e+00
8.464453267035638717e-01,5.878484848484848158e+01,-1.397054085007610746e+00,1.000000000000000000e+00
9.141580416634811357e-01,6.074242424242424221e+01,-1.457349797200587771e+00,1.000000000000000000e+00
9.818707566233983997e-01,6.270000000000000284e+01,-1.501407823814177478e+00,1.000000000000000000e+00
1.049583471583315220e+00,6.465757575757575637e+01,-1.527979688041358086e+00,1.000000000000000000e+00
1.117296186543232484e+00,6.661515151515150990e+01,-1.537611591823846213e+00,1.000000000000000000e+00
1.185008901503149747e+00,6.857272727272726343e+01,-1.531298406790543742e+00,1.000000000000000000e+00
1.252721616463067011e+00,7.053030303030303116e+01,-1.510035004570352557e+00,1.000000000000000000e+00
1.320434331422983831e+00,7.248787878787878469e+01,-1.474816256792176317e+00,1.000000000000000000e+00
1.388147046382901095e+00,7.444545454545453822e+01,-1.426637035084917349e+00,1.000000000000000000e+00
1.455859761342818359e+00,7.640303030303030596e+01,-1.366492211077476204e+00,1.000000000000000000e+00
1.523572476302735179e+00,7.836060606060604528e+01,-1.295376656398757431e+00,1.000000000000000000e+00
1.591285191262652443e+00,8.031818181818181301e+01,-1.214285242677661136e+00,1.000000000000000000e+00
1.658997906222569707e+00,8.227575757575758075e+01,-1.124212841543090979e+00,1.000000000000000000e+00
1.726710621182486971e+00,8.423333333333334849e+01,-1.026154324623949288e+00,1.000000000000000000e+00
1.794423336142403791e+00,8.619090909090908781e+01,-9.211045635491379446e-01,1.000000000000000000e+00
