x_scaled,x_raw,phi,in_train_support
-4.973482840160570184e+00,6.527100000000000364e+02,9.861437711361496383e+00,0.000000000000000000e+00
-4.878292402426500196e+00,6.602209090909091174e+02,9.409915060045106472e+00,0.000000000000000000e+00
-4.783101964692429320e+00,6.677318181818181984e+02,8.984573348497523426e+00,0.000000000000000000e+00
-4.687911526958359332e+00,6.752427272727272793e+02,8.583989349417626258e+00,0.000000000000000000e+00
-4.592721089224288455e+00,6.827536363636363603e+02,8.206739835504270886e+00,0.000000000000000000e+00
-4.497530651490218467e+00,6.902645454545454413e+02,7.851401579456339874e+00,0.000000000000000000e+00
-4.402340213756147591e+00,6.977754545454545223e+02,7.516551353972689142e+00,0.000000000000000000e+00
-4.307149776022077603e+00,7.052863636363636033e+02,7.200765931752197702e+00,0.000000000000000000e+00
-4.211959338288006727e+00,7.127972727272726843e+02,6.902622085493726800e+00,0.000000000000000000e+00
-4.116768900553936739e+00,7.203081818181817653e+02,6.620696587896151897e+00,0.000000000000000000e+00
-4.021578462819865862e+00,7.278190909090909599e+02,6.353566211658334240e+00,0.000000000000000000e+00
-3.926388025085795874e+00,7.353299999999999272e+02,6.099807729479149287e+00,0.000000000000000000e+00
-3.831197587351725442e+00,7.428409090909090082e+02,5.857997914057460953e+00,0.000000000000000000e+00
-3.736007149617655010e+00,7.503518181818182029e+02,5.626713538092141142e+00,0.000000000000000000e+00
-3.640816711883584578e+00,7.578627272727272839e+02,5.404531374282056433e+00,0.000000000000000000e+00
-3.545626274149514146e+00,7.653736363636363649e+02,5.190028195326076954e+00,0.000000000000000000e+00
-3.450435836415443713e+00,7.728845454545454459e+02,4.981780773923070171e+00,0.000000000000000000e+00
-3.355245398681373281e+00,7.803954545454546405e+02,4.778393530271541678e+00,0.000000000000000000e+00
-3.260054960947302849e+00,7.879063636363637215e+02,4.579106777061632272e+00,0.000000000000000000e+00
-3.164864523213232417e+00,7.954172727272728025e+02,4.383796719475123282e+00,0.000000000000000000e+00
-3.069674085479161985e+00,8.029281818181818835e+02,4.192367210193426175e+00,0.000000000000000000e+00
-2.974483647745091552e+00,8.104390909090909645e+02,4.004722101897957742e+00,0.000000000000000000e+00
-2.879293210011021120e+00,8.179500000000000455e+02,3.820765247270131670e+00,0.000000000000000000e+00
-2.784102772276950688e+00,8.254609090909091265e+02,3.640400498991362532e+00,0.000000000000000000e+00
-2.688912334542880700e+00,8.329718181818182074e+02,3.463531709743066234e+00,0.000000000000000000e+00
-2.593721896808810268e+00,8.404827272727272884e+02,3.290062732206655571e+00,0.000000000000000000e+00
-2.498531459074739836e+00,8.479936363636363694e+02,3.119897419063546451e+00,0.000000000000000000e+00
-2.403341021340669403e+00,8.555045454545454504e+02,2.952939622995153446e+00,1.000000000000000000e+00
-2.308150583606598971e+00,8.630154545454545314e+02,2.789093196682891129e+00,1.000000000000000000e+00
-2.212960145872528539e+00,8.705263636363636124e+02,2.628261992808174075e+00,1.000000000000000000e+00
-2.117769708138458107e+00,8.780372727272726934e+02,2.470349864052417299e+00,1.000000000000000000e+00
-2.022579270404387675e+00,8.855481818181817744e+02,2.315260663097035820e+00,1.000000000000000000e+00
