x_scaled,x_raw,phi,in_train_support
-8.096302196718655253e+00,4.290000000000000568e+01,-2.536016461311817238e+00,0.000000000000000000e+00
-7.703028016822834445e+00,4.506363636363636260e+01,-2.242323786899071525e+00,0.000000000000000000e+00
-7.309753836927012749e+00,4.722727272727273373e+01,-1.975968650945166605e+00,0.000000000000000000e+00
-6.916479657031191941e+00,4.939090909090909776e+01,-1.735329215735290198e+00,0.000000000000000000e+00
-6.523205477135371133e+00,5.155454545454545467e+01,-1.518783643554626916e+00,0.000000000000000000e+00
-6.129931297239549437e+00,5.371818181818182580e+01,-1.324710096688362260e+00,0.000000000000000000e+00
-5.736657117343728629e+00,5.588181818181818983e+01,-1.151486737421683948e+00,0.000000000000000000e+00
-5.343382937447907821e+00,5.804545454545454675e+01,-9.974917280397769259e-01,0.000000000000000000e+00
-4.950108757552087013e+00,6.020909090909091077e+01,-8.611032308278271374e-01,0.000000000000000000e+00
-4.556834577656265317e+00,6.237272727272727479e+01,-7.406994080710201933e-01,0.000000000000000000e+00
-4.163560397760444509e+00,6.453636363636363171e+01,-6.346584220545431476e-01,0.000000000000000000e+00
-3.770286217864623701e+00,6.670000000000000284e+01,-5.413584350635803899e-01,0.000000000000000000e+00
-3.377012037968802005e+00,6.886363636363637397e+01,-4.591776093833194183e-01,1.000000000000000000e+00
-2.983737858072981197e+00,7.102727272727273089e+01,-3.864941072989451776e-01,1.000000000000000000e+00
-2.590463678177160389e+00,7.319090909090908781e+01,-3.216860910956441666e-01,1.000000000000000000e+00
-2.197189498281338693e+00,7.535454545454545894e+01,-2.631317230586022182e-01,1.000000000000000000e+00
-1.803915318385517885e+00,7.751818181818181586e+01,-2.092091654730050543e-01,1.000000000000000000e+00
-1.410641138489697077e+00,7.968181818181818699e+01,-1.583281397748945718e-01,1.000000000000000000e+00
-1.017366958593875381e+00,8.184545454545454390e+01,-1.096242278699982586e-01,1.000000000000000000e+00
-6.240927786980545733e-01,8.400909090909091503e+01,-6.295887213372952651e-02,1.000000000000000000e+00
-2.308185988022337654e-01,8.617272727272727195e+01,-1.822507409235696318e-02,1.000000000000000000e+00
1.624555810935870426e-01,8.833636363636364308e+01,2.468416472785034399e-02,1.000000000000000000e+00
5.557297609894078505e-01,9.050000000000000000e+01,6.587584280062336317e-02,1.000000000000000000e+00
9.490039408852304348e-01,9.266363636363637113e+01,1.054569585996933956e-01,1.000000000000000000e+00
1.342278120781051243e+00,9.482727272727272805e+01,1.435345105987910208e-01,1.000000000000000000e+00
1.735552300676872051e+00,9.699090909090909918e+01,1.802154972716474846e-01,1.000000000000000000e+00
2.128826480572692859e+00,9.915454545454545610e+01,2.156069170919937550e-01,0.000000000000000000e+00
