x_scaled,x_raw,phi,in_train_support
-2.929964934203081572e+00,8.585999999999999943e+01,-3.142498042114875823e+00,0.000000000000000000e+00
-2.883248144497644994e+00,8.703454545454543734e+01,-2.964309965953293435e+00,0.000000000000000000e+00
-2.836531354792207971e+00,8.820909090909090366e+01,-2.796450994648187027e+00,0.000000000000000000e+00
-2.789814565086771392e+00,8.938363636363635578e+01,-2.638378714065335195e+00,0.000000000000000000e+00
-2.743097775381334369e+00,9.055818181818182211e+01,-2.489550710070519202e+00,0.000000000000000000e+00
-2.696380985675897790e+00,9.173272727272726002e+01,-2.349424568529516755e+00,0.000000000000000000e+00
-2.649664195970461211e+00,9.290727272727271213e+01,-2.217457875308108228e+00,0.000000000000000000e+00
-2.602947406265024188e+00,9.408181818181817846e+01,-2.093108216272070443e+00,0.000000000000000000e+00
-2.556230616559587610e+00,9.525636363636363058e+01,-1.975833177287185327e+00,0.000000000000000000e+00
-2.509513826854150587e+00,9.643090909090909690e+01,-1.865090344219230367e+00,0.000000000000000000e+00
-2.462797037148714008e+00,9.760545454545453481e+01,-1.760337302933985493e+00,0.000000000000000000e+00
-2.416080247443277429e+00,9.877999999999998693e+01,-1.661031639297230411e+00,0.000000000000000000e+00
-2.369363457737840406e+00,9.995454545454545325e+01,-1.566630939174742609e+00,0.000000000000000000e+00
-2.322646668032403827e+00,1.011290909090909054e+02,-1.476592788432302905e+00,0.000000000000000000e+00
-2.275929878326967248e+00,1.023036363636363433e+02,-1.390374772935690117e+00,0.000000000000000000e+00
-2.229213088621530225e+00,1.034781818181818096e+02,-1.307434478550682400e+00,0.000000000000000000e+00
-2.182496298916093647e+00,1.046527272727272617e+02,-1.227229491143061013e+00,0.000000000000000000e+00
-2.135779509210656624e+00,1.058272727272727138e+02,-1.149230968282733745e+00,0.000000000000000000e+00
-2.089062719505220045e+00,1.070018181818181802e+02,-1.073222216734629475e+00,0.000000000000000000e+00
-2.042345929799783022e+00,1.081763636363636323e+02,-9.992986924586877429e-01,1.000000000000000000e+00
-1.995629140094346443e+00,1.093509090909090844e+02,-9.275694231189841599e-01,1.000000000000000000e+00
-1.948912350388909864e+00,1.105254545454545365e+02,-8.581434363795905629e-01,1.000000000000000000e+00
-1.902195560683473063e+00,1.116999999999999886e+02,-7.911297599045801210e-01,1.000000000000000000e+00
-1.855478770978036263e+00,1.128745454545454550e+02,-7.266374213580264474e-01,1.000000000000000000e+00
-1.808761981272599462e+00,1.140490909090908929e+02,-6.647754484040023781e-01,1.000000000000000000e+00
-1.762045191567162661e+00,1.152236363636363592e+02,-6.056528687065814154e-01,1.000000000000000000e+00
-1.715328401861726082e+00,1.163981818181817971e+02,-5.493787099298371723e-01,1.000000000000000000e+00
-1.668611612156289281e+00,1.175727272727272634e+02,-4.960619997378421520e-01,1.000000000000000000e+00
-1.621894822450852480e+00,1.187472727272727155e+02,-4.458117657946698564e-01,1.000000000000000000e+00
-1.575178032745415679e+00,1.199218181818181677e+02,-3.987370357643933994e-01,1.000000000000000000e+00
-1.528461243039979101e+00,1.210963636363636340e+02,-3.549468373110864494e-01,1.000000000000000000e+00
-1.481744453334542300e+00,1.222709090909090719e+02,-3.145501980988216206e-01,1.000000000000000000e+00
-1.435027663629105499e+00,1.234454545454545382e+02,-2.776561457916723596e-01,1.000000000000000000e+00
-1.388310873923668698e+00,1.246199999999999903e+02,-2.443737080537118911e-01,1.000000000000000000e+00
-1.341594084218231897e+00,1.257945454545454425e+02,-2.148136209052999845e-01,1.000000000000000000e+00
-1.294877294512795318e+00,1.269690909090908946e+02,-1.890934537919426450e-01,1.000000000000000000e+00
-1.248160504807358517e+00,1.281436363636363467e+02,-1.673324845154319229e-01,1.000000000000000000e+00
-1.201443715101921716e+00,1.293181818181818130e+02,-1.496499908775603127e-01,1.000000000000000000e+00
-1.154726925396484916e+00,1.304927272727272793e+02,-1.361652506801202533e-01,1.000000000000000000e+00
-1.108010135691048337e+00,1.316672727272727172e+02,-1.269975417249041283e-01,1.000000000000000000e+00
-1.061293345985611536e+00,1.328418181818181552e+02,-1.222661418137042100e-01,1.000000000000000000e+00
-1.014576556280174735e+00,1.340163636363636215e+02,-1.220903287483129374e-01,1.000000000000000000e+00
-9.678597665747379342e-01,1.351909090909090878e+02,-1.265893803305226939e-01,1.000000000000000000e+00
-9.211429768693011333e-01,1.363654545454545257e+02,-1.358825743621257798e-01,1.000000000000000000e+00
-8.744261871638645545e-01,1.375399999999999920e+02,-1.500891886449146062e-01,1.000000000000000000e+00
-8.277093974584275315e-01,1.387145454545454584e+02,-1.693285009806816954e-01,1.000000000000000000e+00
-7.809926077529909527e-01,1.398890909090908963e+02,-1.937197891712191256e-01,1.000000000000000000e+00
-7.342758180475543739e-01,1.410636363636363626e+02,-2.233823310183192801e-01,1.000000000000000000e+00
-6.875590283421173510e-01,1.422381818181818005e+02,-2.584354043237750975e-01,1.000000000000000000e+00
-6.408422386366807721e-01,1.434127272727272668e+02,-2.989982868893781287e-01,1.000000000000000000e+00
-5.941254489312437492e-01,1.445872727272727332e+02,-3.451638571105672959e-01,1.000000000000000000e+00
-5.474086592258071704e-01,1.457618181818181711e+02,-3.964178070366304318e-01,1.000000000000000000e+00
