x_scaled,x_raw,phi,in_train_support
-1.304170397528129577e+00,9.599999999999999645e-01,-4.105832428443932258e+00,0.000000000000000000e+00
-1.262872029654070083e+00,1.001212121212121220e+00,-3.790109341216413963e+00,1.000000000000000000e+00
-1.221573661780010811e+00,1.042424242424242253e+00,-3.493185984940707201e+00,1.000000000000000000e+00
-1.180275293905951317e+00,1.083636363636363509e+00,-3.214072831741740632e+00,1.000000000000000000e+00
-1.138976926031891823e+00,1.124848484848484764e+00,-2.951780353744446916e+00,1.000000000000000000e+00
-1.097678558157832329e+00,1.166060606060606242e+00,-2.705319023073757378e+00,1.000000000000000000e+00
-1.056380190283773057e+00,1.207272727272727275e+00,-2.473699311854604233e+00,1.000000000000000000e+00
-1.015081822409713563e+00,1.248484848484848531e+00,-2.255931692211917028e+00,1.000000000000000000e+00
-9.737834545356540694e-01,1.289696969696969564e+00,-2.051026636270627534e+00,1.000000000000000000e+00
-9.324850866615946865e-01,1.330909090909091042e+00,-1.857994616155668188e+00,1.000000000000000000e+00
-8.911867187875353036e-01,1.372121212121212075e+00,-1.675846103991969427e+00,1.000000000000000000e+00
-8.498883509134758096e-01,1.413333333333333330e+00,-1.503591571904461688e+00,1.000000000000000000e+00
-8.085899830394164267e-01,1.454545454545454586e+00,-1.340241492018077851e+00,1.000000000000000000e+00
-7.672916151653569328e-01,1.495757575757575619e+00,-1.184806336457747911e+00,1.000000000000000000e+00
-7.259932472912975499e-01,1.536969696969696875e+00,-1.036296577348404524e+00,1.000000000000000000e+00
-6.846948794172380559e-01,1.578181818181818130e+00,-8.937226868149775738e-01,1.000000000000000000e+00
-6.433965115431786730e-01,1.619393939393939386e+00,-7.560951369823992740e-01,1.000000000000000000e+00
-6.020981436691192901e-01,1.660606060606060641e+00,-6.224441544250431946e-01,1.000000000000000000e+00
-5.607997757950597961e-01,1.701818181818181674e+00,-4.922543180544520780e-01,1.000000000000000000e+00
-5.195014079210004132e-01,1.743030303030302930e+00,-3.654645591193413923e-01,1.000000000000000000e+00
