x_scaled,x_raw,phi,in_train_support
-2.386597348750898906e+00,4.000200000000000955e+02,-6.863009005817765740e+00,0.000000000000000000e+00
-2.290599262425196958e+00,4.309084848484849317e+02,-6.318744046144510129e+00,0.000000000000000000e+00
-2.194601176099494566e+00,4.617969696969697679e+02,-5.806437213622790416e+00,0.000000000000000000e+00
-2.098603089773792618e+00,4.926854545454546042e+02,-5.324493145400769123e+00,0.000000000000000000e+00
-2.002605003448090226e+00,5.235739393939395541e+02,-4.871316478626599000e+00,0.000000000000000000e+00
-1.906606917122388278e+00,5.544624242424242766e+02,-4.445311850448442570e+00,0.000000000000000000e+00
-1.810608830796686108e+00,5.853509090909091128e+02,-4.044883898014452583e+00,0.000000000000000000e+00
-1.714610744470983938e+00,6.162393939393939490e+02,-3.668437258472790674e+00,0.000000000000000000e+00
-1.618612658145281769e+00,6.471278787878787853e+02,-3.314376568971612258e+00,1.000000000000000000e+00
-1.522614571819579599e+00,6.780163636363636215e+02,-2.981106466659075860e+00,1.000000000000000000e+00
-1.426616485493877429e+00,7.089048484848485714e+02,-2.667031588683338228e+00,1.000000000000000000e+00
-1.330618399168175259e+00,7.397933333333334076e+02,-2.370556572192557443e+00,1.000000000000000000e+00
-1.234620312842473311e+00,7.706818181818182438e+02,-2.090086054334891141e+00,1.000000000000000000e+00
-1.138622226516771141e+00,8.015703030303029664e+02,-1.824024672258498292e+00,1.000000000000000000e+00
-1.042624140191068971e+00,8.324587878787879163e+02,-1.570777063111532534e+00,1.000000000000000000e+00
-9.466260538653668011e-01,8.633472727272726388e+02,-1.328747864042155946e+00,1.000000000000000000e+00
-8.506279675396646311e-01,8.942357575757575887e+02,-1.096341712198523943e+00,1.000000000000000000e+00
-7.546298812139624612e-01,9.251242424242424249e+02,-8.720043667619421512e-01,1.000000000000000000e+00
-6.586317948882602913e-01,9.560127272727272612e+02,-6.551273936761319305e-01,1.000000000000000000e+00
-5.626337085625581214e-01,9.869012121212120974e+02,-4.460481656472241596e-01,1.000000000000000000e+00
