x_scaled,x_raw,phi,in_train_support
-2.287654502154203850e+00,7.367999999999999261e+01,-1.383628311043220194e+01,0.000000000000000000e+00
-2.192224212846187736e+00,7.813090909090908553e+01,-1.280740419256090590e+01,0.000000000000000000e+00
-2.096793923538171622e+00,8.258181818181816425e+01,-1.183904302973593126e+01,0.000000000000000000e+00
-2.001363634230155064e+00,8.703272727272727138e+01,-1.092798277672893370e+01,0.000000000000000000e+00
-1.905933344922138950e+00,9.148363636363636431e+01,-1.007100658831157070e+01,0.000000000000000000e+00
-1.810503055614122836e+00,9.593454545454544302e+01,-9.264897619255505035e+00,0.000000000000000000e+00
-1.715072766306106722e+00,1.003854545454545359e+02,-8.506439024332383525e+00,0.000000000000000000e+00
-1.619642476998090608e+00,1.048363636363636289e+02,-7.792413958313868960e+00,1.000000000000000000e+00
-1.524212187690074272e+00,1.092872727272727218e+02,-7.119605575971617029e+00,1.000000000000000000e+00
-1.428781898382057935e+00,1.137381818181818147e+02,-6.484797032077283419e+00,1.000000000000000000e+00
-1.333351609074041821e+00,1.181890909090909076e+02,-5.884771481402530924e+00,1.000000000000000000e+00
-1.237921319766025707e+00,1.226399999999999864e+02,-5.316312078719009904e+00,1.000000000000000000e+00
-1.142491030458009593e+00,1.270909090909090793e+02,-4.776201978798379599e+00,1.000000000000000000e+00
-1.047060741149993257e+00,1.315418181818181722e+02,-4.261224336412296587e+00,1.000000000000000000e+00
-9.516304518419771430e-01,1.359927272727272793e+02,-3.768162306332417444e+00,1.000000000000000000e+00
-8.562001625339608069e-01,1.404436363636363581e+02,-3.293799043330402299e+00,1.000000000000000000e+00
-7.607698732259446928e-01,1.448945454545454368e+02,-2.834917702177904175e+00,1.000000000000000000e+00
-6.653395839179285787e-01,1.493454545454545439e+02,-2.388360132456618601e+00,1.000000000000000000e+00
-5.699092946099122425e-01,1.537963636363636510e+02,-1.952318164379111209e+00,1.000000000000000000e+00
-4.744790053018961284e-01,1.582472727272727298e+02,-1.526333608788819518e+00,1.000000000000000000e+00
-3.790487159938797923e-01,1.626981818181818085e+02,-1.110006971339215553e+00,1.000000000000000000e+00
-2.836184266858636782e-01,1.671490909090909156e+02,-7.029387576837748952e-01,1.000000000000000000e+00
-1.881881373778475641e-01,1.715999999999999943e+02,-3.047294734759686818e-01,1.000000000000000000e+00
-9.275784806983145003e-02,1.760509090909090730e+02,8.502037563072750714e-02,1.000000000000000000e+00
2.672441238184664059e-03,1.805018181818181802e+02,4.667102839828416450e-01,1.000000000000000000e+00
9.810273054620122224e-02,1.849527272727272873e+02,8.407397459269012607e-01,1.000000000000000000e+00
1.935330198542173363e-01,1.894036363636363660e+02,1.207508255809428332e+00,1.000000000000000000e+00
2.889633091622334504e-01,1.938545454545454447e+02,1.567415307976951278e+00,1.000000000000000000e+00
3.843935984702495645e-01,1.983054545454545519e+02,1.920860396775996515e+00,1.000000000000000000e+00
4.798238877782656786e-01,2.027563636363636306e+02,2.268243016553091351e+00,1.000000000000000000e+00
5.752541770862822368e-01,2.072072727272727377e+02,2.609962661654761984e+00,1.000000000000000000e+00
6.706844663942983509e-01,2.116581818181818164e+02,2.946418826427532167e+00,1.000000000000000000e+00
7.661147557023144650e-01,2.161090909090909236e+02,3.278011005217929874e+00,1.000000000000000000e+00
8.615450450103305791e-01,2.205600000000000023e+02,3.605138692372481302e+00,1.000000000000000000e+00
9.569753343183466932e-01,2.250109090909090810e+02,3.927953541352447786e+00,1.000000000000000000e+00
1.052405623626363251e+00,2.294618181818181881e+02,4.245615842078027669e+00,1.000000000000000000e+00
1.147835912934379365e+00,2.339127272727272953e+02,4.557038043584151765e+00,1.000000000000000000e+00
1.243266202242395480e+00,2.383636363636363740e+02,4.861132594905752669e+00,1.000000000000000000e+00
1.338696491550411594e+00,2.428145454545454527e+02,5.156811945077764747e+00,1.000000000000000000e+00
1.434126780858427708e+00,2.472654545454545314e+02,5.442988543135118817e+00,1.000000000000000000e+00
1.529557070166444266e+00,2.517163636363636670e+02,5.718574838112747472e+00,1.000000000000000000e+00
1.624987359474460380e+00,2.561672727272727457e+02,5.982483279045585078e+00,1.000000000000000000e+00
1.720417648782476494e+00,2.606181818181818244e+02,6.233626314968561566e+00,1.000000000000000000e+00
1.815847938090492608e+00,2.650690909090909031e+02,6.470916394916610415e+00,1.000000000000000000e+00
1.911278227398508722e+00,2.695199999999999818e+02,6.693265967924663329e+00,1.000000000000000000e+00
2.006708516706524836e+00,2.739709090909091174e+02,6.899587483027654677e+00,1.000000000000000000e+00
2.102138806014540950e+00,2.784218181818181392e+02,7.088793389260515276e+00,1.000000000000000000e+00
2.197569095322557065e+00,2.828727272727272748e+02,7.259796135658178606e+00,1.000000000000000000e+00
2.292999384630573179e+00,2.873236363636363535e+02,7.411508171255576372e+00,1.000000000000000000e+00
2.388429673938590181e+00,2.917745454545454891e+02,7.542841945087642053e+00,1.000000000000000000e+00
2.483859963246606295e+00,2.962254545454545678e+02,7.652775191573346625e+00,1.000000000000000000e+00
2.579290252554622409e+00,3.006763636363636465e+02,7.741787208964566069e+00,1.000000000000000000e+00
2.674720541862638523e+00,3.051272727272727252e+02,7.811858859346078710e+00,1.000000000000000000e+00
2.770150831170654637e+00,3.095781818181818608e+02,7.865036290186703916e+00,1.000000000000000000e+00
2.865581120478670751e+00,3.140290909090908826e+02,7.903365648955262834e+00,1.000000000000000000e+00
2.961011409786686865e+00,3.184800000000000182e+02,7.928893083120572172e+00,0.000000000000000000e+00
3.056441699094702980e+00,3.229309090909090969e+02,7.943664740151451298e+00,0.000000000000000000e+00
3.151871988402719094e+00,3.273818181818181756e+02,7.949726767516718695e+00,0.000000000000000000e+00
3.247302277710735208e+00,3.318327272727272543e+02,7.949125312685194622e+00,0.000000000000000000e+00
3.342732567018752210e+00,3.362836363636363899e+02,7.943906523125694896e+00,0.000000000000000000e+00
3.438162856326768324e+00,3.407345454545454686e+02,7.936116546307044217e+00,0.000000000000000000e+00
3.533593145634784438e+00,3.451854545454546042e+02,7.927801529698055738e+00,0.000000000000000000e+00
3.629023434942800552e+00,3.496363636363636260e+02,7.921007620767551494e+00,0.000000000000000000e+00
3.724453724250816666e+00,3.540872727272727616e+02,7.917780966984349078e+00,0.000000000000000000e+00
3.819884013558832780e+00,3.585381818181818403e+02,7.920167715817268750e+00,0.000000000000000000e+00
3.915314302866848895e+00,3.629890909090909190e+02,7.930214014735128103e+00,0.000000000000000000e+00
4.010744592174864565e+00,3.674399999999999977e+02,7.949966011206743843e+00,0.000000000000000000e+00
4.106174881482880679e+00,3.718909090909090764e+02,7.980879768071255320e+00,0.000000000000000000e+00
4.201605170790896793e+00,3.763418181818181552e+02,8.022051009649054265e+00,0.000000000000000000e+00
4.297035460098912907e+00,3.807927272727272339e+02,8.071985375630852388e+00,0.000000000000000000e+00
4.392465749406930797e+00,3.852436363636364263e+02,8.129188505707357848e+00,0.000000000000000000e+00
4.487896038714946911e+00,3.896945454545455050e+02,8.192166039569281466e+00,0.000000000000000000e+00
4.583326328022963025e+00,3.941454545454545837e+02,8.259423616907332288e+00,0.000000000000000000e+00
4.678756617330979140e+00,3.985963636363636624e+02,8.329466877412222914e+00,0.000000000000000000e+00
4.774186906638995254e+00,4.030472727272727980e+02,8.400801460774660612e+00,0.000000000000000000e+00
4.869617195947011368e+00,4.074981818181818198e+02,8.471933006685357981e+00,0.000000000000000000e+00
4.965047485255027482e+00,4.119490909090909554e+02,8.541367154835025843e+00,0.000000000000000000e+00
5.060477774563043596e+00,4.164000000000000341e+02,8.607609544914371469e+00,0.000000000000000000e+00
5.155908063871059710e+00,4.208509090909091128e+02,8.669165816614105680e+00,0.000000000000000000e+00
5.251338353179075824e+00,4.253018181818181915e+02,8.724541609624939298e+00,0.000000000000000000e+00
5.346768642487091938e+00,4.297527272727272702e+02,8.772242563637579593e+00,0.000000000000000000e+00
5.442198931795108052e+00,4.342036363636364058e+02,8.810774318342744493e+00,0.000000000000000000e+00
5.537629221103124166e+00,4.386545454545454277e+02,8.838642513431135939e+00,0.000000000000000000e+00
5.633059510411140280e+00,4.431054545454545632e+02,8.854553270681098098e+00,0.000000000000000000e+00
5.728489799719156395e+00,4.475563636363635851e+02,8.861823799886481723e+00,0.000000000000000000e+00
5.823920089027172509e+00,4.520072727272727207e+02,8.868382398856651250e+00,0.000000000000000000e+00
5.919350378335188623e+00,4.564581818181818562e+02,8.882357847488599134e+00,0.000000000000000000e+00
6.014780667643204737e+00,4.609090909090908781e+02,8.911878925679321384e+00,0.000000000000000000e+00
6.110210956951220851e+00,4.653600000000000136e+02,8.965074413325810454e+00,0.000000000000000000e+00
6.205641246259236965e+00,4.698109090909090355e+02,9.050073090325060576e+00,0.000000000000000000e+00
6.301071535567253079e+00,4.742618181818181711e+02,9.175003736574064206e+00,0.000000000000000000e+00
6.396501824875269193e+00,4.787127272727271929e+02,9.347995131969817351e+00,0.000000000000000000e+00
6.491932114183285307e+00,4.831636363636363285e+02,9.577176056409310689e+00,0.000000000000000000e+00
6.587362403491301421e+00,4.876145454545454641e+02,9.870675289789540230e+00,0.000000000000000000e+00
6.682792692799317535e+00,4.920654545454544859e+02,1.023662161200750020e+01,0.000000000000000000e+00
6.778222982107333650e+00,4.965163636363636215e+02,1.068314380296018840e+01,0.000000000000000000e+00
6.873653271415349764e+00,5.009672727272726434e+02,1.121837064254458838e+01,0.000000000000000000e+00
6.969083560723367654e+00,5.054181818181818926e+02,1.185043091065771392e+01,0.000000000000000000e+00
7.064513850031383768e+00,5.098690909090909145e+02,1.258745338719653795e+01,0.000000000000000000e+00
7.159944139339399882e+00,5.143200000000000500e+02,1.343756685205805823e+01,0.000000000000000000e+00
