x_scaled,x_raw,phi,in_train_support
-1.909169380783412473e+00,9.416000000000000227e+02,-7.785127886891213933e+00,0.000000000000000000e+00
-1.821297137520829557e+00,9.595272727272727025e+02,-6.655764945511282171e+00,0.000000000000000000e+00
-1.733424894258246640e+00,9.774545454545454959e+02,-5.634224723149809044e+00,0.000000000000000000e+00
-1.645552650995663502e+00,9.953818181818182893e+02,-4.715085121764038156e+00,0.000000000000000000e+00
-1.557680407733080585e+00,1.013309090909090855e+03,-3.892924043311227766e+00,0.000000000000000000e+00
-1.469808164470497669e+00,1.031236363636363649e+03,-3.162319389748622367e+00,0.000000000000000000e+00
-1.381935921207914753e+00,1.049163636363636442e+03,-2.517849063033474000e+00,1.000000000000000000e+00
-1.294063677945331836e+00,1.067090909090909008e+03,-1.954090965123031154e+00,1.000000000000000000e+00
-1.206191434682748920e+00,1.085018181818181802e+03,-1.465622997974542763e+00,1.000000000000000000e+00
-1.118319191420166003e+00,1.102945454545454595e+03,-1.047023063545259536e+00,1.000000000000000000e+00
-1.030446948157582865e+00,1.120872727272727388e+03,-6.928690637924297402e-01,1.000000000000000000e+00
-9.425747048949999485e-01,1.138799999999999955e+03,-3.977389006733051957e-01,1.000000000000000000e+00
-8.547024616324170321e-01,1.156727272727272748e+03,-1.562104761451342805e-01,1.000000000000000000e+00
-7.668302183698341157e-01,1.174654545454545541e+03,3.713830783483251796e-02,1.000000000000000000e+00
-6.789579751072509772e-01,1.192581818181818335e+03,1.877295493093470435e-01,1.000000000000000000e+00
-5.910857318446680608e-01,1.210509090909090901e+03,3.009853463211581426e-01,1.000000000000000000e+00
-5.032134885820851444e-01,1.228436363636363694e+03,3.823277969130171039e-01,1.000000000000000000e+00
-4.153412453195022280e-01,1.246363636363636488e+03,4.371117221571833023e-01,1.000000000000000000e+00
-3.274690020569193116e-01,1.264290909090909054e+03,4.691445728046473862e-01,1.000000000000000000e+00
-2.395967587943361732e-01,1.282218181818181847e+03,4.806864292851288356e-01,1.000000000000000000e+00
-1.517245155317532568e-01,1.300145454545454641e+03,4.739300950578563265e-01,1.000000000000000000e+00
-6.385227226917034038e-02,1.318072727272727434e+03,4.510683735820600893e-01,1.000000000000000000e+00
2.401997099341257602e-02,1.336000000000000000e+03,4.142940683169687999e-01,1.000000000000000000e+00
1.118922142559954924e-01,1.353927272727272793e+03,3.657999827218126887e-01,1.000000000000000000e+00
1.997644575185784088e-01,1.371854545454545587e+03,3.077789202558204318e-01,1.000000000000000000e+00
2.876367007811613252e-01,1.389781818181818153e+03,2.424236843782215933e-01,1.000000000000000000e+00
3.755089440437442416e-01,1.407709090909090946e+03,1.719270785482454045e-01,1.000000000000000000e+00
4.633811873063276021e-01,1.425636363636363740e+03,9.848190622512154047e-02,1.000000000000000000e+00
5.512534305689105185e-01,1.443563636363636533e+03,2.428097086807934346e-02,1.000000000000000000e+00
6.391256738314934349e-01,1.461490909090909099e+03,-4.848292406365173335e-02,1.000000000000000000e+00
7.269979170940763513e-01,1.479418181818181893e+03,-1.176169751108420147e-01,1.000000000000000000e+00
8.148701603566592677e-01,1.497345454545454686e+03,-1.809283788142627136e-01,1.000000000000000000e+00
9.027424036192421841e-01,1.515272727272727479e+03,-2.362243317146840438e-01,1.000000000000000000e+00
9.906146468818251005e-01,1.533200000000000045e+03,-2.813120303528767741e-01,1.000000000000000000e+00
1.078486890144408017e+00,1.551127272727272839e+03,-3.144910179287195295e-01,1.000000000000000000e+00
1.166359133406990933e+00,1.569054545454545405e+03,-3.360302242785238036e-01,1.000000000000000000e+00
1.254231376669573850e+00,1.586981818181818198e+03,-3.466909258977090014e-01,1.000000000000000000e+00
1.342103619932156766e+00,1.604909090909090992e+03,-3.472343992816947500e-01,1.000000000000000000e+00
1.429975863194740127e+00,1.622836363636363785e+03,-3.384219209259002881e-01,1.000000000000000000e+00
1.517848106457323043e+00,1.640763636363636579e+03,-3.210147673257454648e-01,1.000000000000000000e+00
