x_scaled,x_raw,phi,in_train_support
-1.254098199325634599e+00,-1.899999999999998579e+00,-2.441572444646974649e+00,0.000000000000000000e+00
-1.186349753283575836e+00,5.757575757575494890e-02,-1.846543320341567984e+00,1.000000000000000000e+00
-1.118601307241516851e+00,2.015151515151515582e+00,-1.322407634503043106e+00,1.000000000000000000e+00
-1.050852861199458088e+00,3.972727272727269110e+00,-8.649767269403572101e-01,1.000000000000000000e+00
-9.831044151573991030e-01,5.930303030303029743e+00,-4.700619374624572799e-01,1.000000000000000000e+00
-9.153559691153403399e-01,7.887878787878783271e+00,-1.334746058783009559e-01,1.000000000000000000e+00
-8.476075230732814658e-01,9.845454545454543904e+00,1.489739280031674440e-01,1.000000000000000000e+00
-7.798590770312225917e-01,1.180303030303030098e+01,3.814723243729911673e-01,1.000000000000000000e+00
-7.121106309891637176e-01,1.376060606060605807e+01,5.682092434222205668e-01,1.000000000000000000e+00
-6.443621849471048435e-01,1.571818181818181515e+01,7.133733453419024428e-01,1.000000000000000000e+00
-5.766137389050459694e-01,1.767575757575757223e+01,8.211532903230853719e-01,1.000000000000000000e+00
-5.088652928629870953e-01,1.963333333333333286e+01,8.957377385568197070e-01,1.000000000000000000e+00
-4.411168468209283322e-01,2.159090909090908639e+01,9.413153502341513601e-01,1.000000000000000000e+00
-3.733684007788694581e-01,2.354848484848484347e+01,9.620747855461271314e-01,1.000000000000000000e+00
-3.056199547368105840e-01,2.550606060606060055e+01,9.622047046838018147e-01,1.000000000000000000e+00
-2.378715086947515989e-01,2.746363636363636118e+01,9.458937678382159930e-01,1.000000000000000000e+00
-1.701230626526928358e-01,2.942121212121211826e+01,9.173306352004253483e-01,1.000000000000000000e+00
-1.023746166106340727e-01,3.137878787878787179e+01,8.806268735046796081e-01,1.000000000000000000e+00
-3.462617056857508757e-02,3.333636363636363598e+01,8.381208999790255021e-01,1.000000000000000000e+00
3.312227547348367551e-02,3.529393939393938950e+01,7.903779823452863340e-01,1.000000000000000000e+00
1.008707215155426606e-01,3.725151515151515014e+01,7.378862948685007694e-01,1.000000000000000000e+00
1.686191675576014237e-01,3.920909090909090366e+01,6.811340118137056976e-01,1.000000000000000000e+00
2.363676135996604089e-01,4.116666666666666430e+01,6.206093074459362313e-01,1.000000000000000000e+00
3.041160596417191719e-01,4.312424242424241783e+01,5.568003560302257071e-01,1.000000000000000000e+00
3.718645056837779350e-01,4.508181818181817846e+01,4.901953318316145669e-01,1.000000000000000000e+00
4.396129517258369201e-01,4.703939393939393199e+01,4.212824091151343708e-01,1.000000000000000000e+00
