x_scaled,x_raw,phi,in_train_support
-8.097484470737946083e+00,4.289999999999999858e+01,4.318312342087736733e-01,0.000000000000000000e+00
-7.704143063513890333e+00,4.506363636363636260e+01,3.694468227493278301e-01,0.000000000000000000e+00
-7.310801656289834582e+00,4.722727272727272663e+01,3.109098574689971861e-01,0.000000000000000000e+00
-6.917460249065779720e+00,4.939090909090908355e+01,2.562773771420342461e-01,0.000000000000000000e+00
-6.524118841841723082e+00,5.155454545454545467e+01,2.056064205426907932e-01,0.000000000000000000e+00
-6.130777434617668220e+00,5.371818181818181159e+01,1.589540264452194984e-01,0.000000000000000000e+00
-5.737436027393612470e+00,5.588181818181817562e+01,1.163772336238723115e-01,0.000000000000000000e+00
-5.344094620169556720e+00,5.804545454545453964e+01,7.793308085290129306e-02,0.000000000000000000e+00
-4.950753212945500970e+00,6.020909090909090366e+01,4.367860690655878120e-02,0.000000000000000000e+00
-4.557411805721445219e+00,6.237272727272727479e+01,1.367085055909711411e-02,0.000000000000000000e+00
-4.164070398497389469e+00,6.453636363636363171e+01,-1.203314941523148107e-02,0.000000000000000000e+00
-3.770728991273333719e+00,6.670000000000000284e+01,-3.337635424217522129e-02,0.000000000000000000e+00
-3.377387584049278857e+00,6.886363636363635976e+01,-5.030172514748143531e-02,1.000000000000000000e+00
-2.984046176825223107e+00,7.102727272727273089e+01,-6.275222335689822906e-02,1.000000000000000000e+00
-2.590704769601167357e+00,7.319090909090908781e+01,-7.067081009617326437e-02,1.000000000000000000e+00
-2.197363362377111606e+00,7.535454545454544473e+01,-7.400044659105431410e-02,1.000000000000000000e+00
-1.804021955153055856e+00,7.751818181818181586e+01,-7.268409406728926214e-02,1.000000000000000000e+00
-1.410680547929000106e+00,7.968181818181817277e+01,-6.667381117310655636e-02,1.000000000000000000e+00
-1.017339140704944356e+00,8.184545454545454390e+01,-5.613089727379350080e-02,1.000000000000000000e+00
-6.239977334808886056e-01,8.400909090909090082e+01,-4.142589245169603362e-02,1.000000000000000000e+00
-2.306563262568328554e-01,8.617272727272727195e+01,-2.293843421164054597e-02,1.000000000000000000e+00
1.626850809672220066e-01,8.833636363636362887e+01,-1.048160058453873056e-03,1.000000000000000000e+00
5.560264881912786450e-01,9.050000000000000000e+01,2.386529250303759397e-02,1.000000000000000000e+00
9.493678954153335070e-01,9.266363636363635692e+01,5.142228596800724194e-02,1.000000000000000000e+00
1.342709302639388369e+00,9.482727272727271384e+01,8.124318283162845766e-02,1.000000000000000000e+00
1.736050709863445007e+00,9.699090909090908497e+01,1.129483455890749610e-01,1.000000000000000000e+00
2.129392117087499869e+00,9.915454545454545610e+01,1.461581367355194727e-01,0.000000000000000000e+00
2.522733524311556508e+00,1.013181818181818130e+02,1.804929187661357126e-01,0.000000000000000000e+00
2.916074931535611370e+00,1.034818181818181699e+02,2.155730541760972341e-01,0.000000000000000000e+00
3.309416338759668008e+00,1.056454545454545411e+02,2.510189054605773129e-01,0.000000000000000000e+00
3.702757745983722870e+00,1.078090909090909122e+02,2.864508351147493359e-01,0.000000000000000000e+00
4.096099153207779509e+00,1.099727272727272691e+02,3.214892056337868564e-01,0.000000000000000000e+00
4.489440560431834371e+00,1.121363636363636260e+02,3.557543795128629283e-01,0.000000000000000000e+00
4.882781967655889233e+00,1.142999999999999972e+02,3.888667192471512712e-01,0.000000000000000000e+00
5.276123374879945871e+00,1.164636363636363683e+02,4.205210380776103762e-01,0.000000000000000000e+00
5.669464782104000733e+00,1.186272727272727252e+02,4.507099522283390391e-01,0.000000000000000000e+00
6.062806189328057371e+00,1.207909090909090821e+02,4.795005286692215485e-01,0.000000000000000000e+00
6.456147596552112233e+00,1.229545454545454533e+02,5.069598343701418042e-01,0.000000000000000000e+00
6.849489003776168872e+00,1.251181818181818244e+02,5.331549363009842057e-01,0.000000000000000000e+00
