x_scaled,x_raw,phi,in_train_support
-2.932488289368153200e+00,8.586000000000001364e+01,-2.014311349489907954e+01,0.000000000000000000e+00
-2.885726106101726085e+00,8.703454545454546576e+01,-1.892635349550286961e+01,0.000000000000000000e+00
-2.838963922835299414e+00,8.820909090909091788e+01,-1.778159391951952983e+01,0.000000000000000000e+00
-2.792201739568872298e+00,8.938363636363636999e+01,-1.670500434563902559e+01,0.000000000000000000e+00
-2.745439556302445183e+00,9.055818181818182211e+01,-1.569275435255133999e+01,0.000000000000000000e+00
-2.698677373036018068e+00,9.173272727272728844e+01,-1.474101351894645795e+01,0.000000000000000000e+00
-2.651915189769591397e+00,9.290727272727274055e+01,-1.384595142351436792e+01,0.000000000000000000e+00
-2.605153006503164281e+00,9.408181818181819267e+01,-1.300373764494503170e+01,0.000000000000000000e+00
-2.558390823236737166e+00,9.525636363636364479e+01,-1.221054176192843599e+01,0.000000000000000000e+00
-2.511628639970310495e+00,9.643090909090909690e+01,-1.146253335315457278e+01,0.000000000000000000e+00
-2.464866456703883379e+00,9.760545454545456323e+01,-1.075588199731340211e+01,0.000000000000000000e+00
-2.418104273437456264e+00,9.878000000000001535e+01,-1.008675727309491599e+01,0.000000000000000000e+00
-2.371342090171029149e+00,9.995454545454546746e+01,-9.451328759189092210e+00,0.000000000000000000e+00
-2.324579906904602478e+00,1.011290909090909196e+02,-8.845766034285915680e+00,0.000000000000000000e+00
-2.277817723638175362e+00,1.023036363636363717e+02,-8.266238677075358865e+00,0.000000000000000000e+00
-2.231055540371748691e+00,1.034781818181818238e+02,-7.708916266247409332e+00,0.000000000000000000e+00
-2.184293357105321576e+00,1.046527272727272759e+02,-7.169968380492036886e+00,0.000000000000000000e+00
-2.137531173838894460e+00,1.058272727272727423e+02,-6.645657380437592465e+00,0.000000000000000000e+00
-2.090768990572467345e+00,1.070018181818181944e+02,-6.134379611294797030e+00,0.000000000000000000e+00
-2.044006807306040674e+00,1.081763636363636465e+02,-5.636665402856756657e+00,1.000000000000000000e+00
-1.997244624039613559e+00,1.093509090909090986e+02,-5.153137866854929250e+00,1.000000000000000000e+00
-1.950482440773186443e+00,1.105254545454545507e+02,-4.684420115020780706e+00,1.000000000000000000e+00
-1.903720257506759550e+00,1.117000000000000171e+02,-4.231135259085780476e+00,1.000000000000000000e+00
-1.856958074240332657e+00,1.128745454545454550e+02,-3.793906410781390015e+00,1.000000000000000000e+00
-1.810195890973905541e+00,1.140490909090909213e+02,-3.373356681839072557e+00,1.000000000000000000e+00
-1.763433707707478648e+00,1.152236363636363734e+02,-2.970109183990297552e+00,1.000000000000000000e+00
-1.716671524441051533e+00,1.163981818181818255e+02,-2.584787028966526456e+00,1.000000000000000000e+00
-1.669909341174624640e+00,1.175727272727272918e+02,-2.218013328499226056e+00,1.000000000000000000e+00
-1.623147157908197746e+00,1.187472727272727298e+02,-1.870411194319860915e+00,1.000000000000000000e+00
-1.576384974641770631e+00,1.199218181818181961e+02,-1.542603738159893823e+00,1.000000000000000000e+00
-1.529622791375343738e+00,1.210963636363636482e+02,-1.235214071750793785e+00,1.000000000000000000e+00
-1.482860608108916622e+00,1.222709090909091003e+02,-9.488653068240222588e-01,1.000000000000000000e+00
-1.436098424842489729e+00,1.234454545454545524e+02,-6.841805551110451411e-01,1.000000000000000000e+00
-1.389336241576062836e+00,1.246200000000000045e+02,-4.417829283433292176e-01,1.000000000000000000e+00
-1.342574058309635721e+00,1.257945454545454709e+02,-2.219483166805105157e-01,1.000000000000000000e+00
-1.295811875043208827e+00,1.269690909090909088e+02,-2.356372399493267267e-02,1.000000000000000000e+00
-1.249049691776781712e+00,1.281436363636363751e+02,1.548310674128936526e-01,1.000000000000000000e+00
-1.202287508510354819e+00,1.293181818181818130e+02,3.146962752424498078e-01,1.000000000000000000e+00
-1.155525325243927925e+00,1.304927272727272793e+02,4.574921171932233577e-01,1.000000000000000000e+00
-1.108763141977500810e+00,1.316672727272727457e+02,5.846788109647000908e-01,1.000000000000000000e+00
-1.062000958711073917e+00,1.328418181818181836e+02,6.977165742563657957e-01,1.000000000000000000e+00
-1.015238775444646802e+00,1.340163636363636499e+02,7.980656247677053727e-01,1.000000000000000000e+00
-9.684765921782199083e-01,1.351909090909090878e+02,8.871861801982046103e-01,1.000000000000000000e+00
-9.217144089117930150e-01,1.363654545454545541e+02,9.665384582473475206e-01,1.000000000000000000e+00
-8.749522256453658997e-01,1.375400000000000205e+02,1.037582676614619004e+00,1.000000000000000000e+00
-8.281900423789387844e-01,1.387145454545454584e+02,1.101779052999508401e+00,1.000000000000000000e+00
-7.814278591125121132e-01,1.398890909090909247e+02,1.160587805101497949e+00,1.000000000000000000e+00
-7.346656758460849979e-01,1.410636363636363626e+02,1.215469150620075212e+00,1.000000000000000000e+00
-6.879034925796578825e-01,1.422381818181818289e+02,1.267883307254723313e+00,1.000000000000000000e+00
-6.411413093132312113e-01,1.434127272727272668e+02,1.319290492704929818e+00,1.000000000000000000e+00
-5.943791260468040960e-01,1.445872727272727332e+02,1.371098720512231139e+00,1.000000000000000000e+00
-5.476169427803769807e-01,1.457618181818181995e+02,1.423515308585381334e+00,1.000000000000000000e+00
-5.008547595139498654e-01,1.469363636363636658e+02,1.475546879200345884e+00,1.000000000000000000e+00
-4.540925762475231942e-01,1.481109090909091037e+02,1.526147850475145340e+00,1.000000000000000000e+00
-4.073303929810960788e-01,1.492854545454545701e+02,1.574272640527801137e+00,1.000000000000000000e+00
-3.605682097146689635e-01,1.504600000000000080e+02,1.618875667476332936e+00,1.000000000000000000e+00
-3.138060264482422923e-01,1.516345454545454743e+02,1.658911349438755956e+00,1.000000000000000000e+00
-2.670438431818151770e-01,1.528090909090909122e+02,1.693334104533096074e+00,1.000000000000000000e+00
-2.202816599153880617e-01,1.539836363636363785e+02,1.721098350877369398e+00,1.000000000000000000e+00
-1.735194766489613905e-01,1.551581818181818164e+02,1.741158506589595589e+00,1.000000000000000000e+00
-1.267572933825342751e-01,1.563327272727272828e+02,1.752468989787796971e+00,1.000000000000000000e+00
-7.999511011610715983e-02,1.575072727272727491e+02,1.753984218589991428e+00,1.000000000000000000e+00
-3.323292684968004451e-02,1.586818181818181870e+02,1.744658611114197733e+00,1.000000000000000000e+00
1.352925641674662671e-02,1.598563636363636533e+02,1.723446585478439985e+00,1.000000000000000000e+00
6.029143968317374203e-02,1.610309090909090912e+02,1.689302559800733405e+00,1.000000000000000000e+00
1.070536229496008573e-01,1.622054545454545575e+02,1.641180952199097653e+00,1.000000000000000000e+00
1.538158062160275286e-01,1.633799999999999955e+02,1.578036180791558607e+00,1.000000000000000000e+00
2.005779894824546439e-01,1.645545454545454618e+02,1.499263945798482212e+00,1.000000000000000000e+00
2.473401727488817592e-01,1.657290909090909281e+02,1.406025075849663963e+00,1.000000000000000000e+00
