x_scaled,x_raw,phi,in_train_support
-1.909169380783412473e+00,9.416000000000000227e+02,-7.523882345418419604e+00,0.000000000000000000e+00
-1.821297137520829557e+00,9.595272727272727025e+02,-6.441061804719243611e+00,0.000000000000000000e+00
-1.733424894258246640e+00,9.774545454545454959e+02,-5.460238839559682589e+00,0.000000000000000000e+00
-1.645552650995663502e+00,9.953818181818182893e+02,-4.576379983527033346e+00,0.000000000000000000e+00
-1.557680407733080585e+00,1.013309090909090855e+03,-3.784451770208604238e+00,0.000000000000000000e+00
-1.469808164470497669e+00,1.031236363636363649e+03,-3.079420733191688964e+00,0.000000000000000000e+00
-1.381935921207914753e+00,1.049163636363636442e+03,-2.456253406063590994e+00,1.000000000000000000e+00
-1.294063677945331836e+00,1.067090909090909008e+03,-1.909916322411609135e+00,1.000000000000000000e+00
-1.206191434682748920e+00,1.085018181818181802e+03,-1.435376015823042861e+00,1.000000000000000000e+00
-1.118319191420166003e+00,1.102945454545454595e+03,-1.027599019885192977e+00,1.000000000000000000e+00
-1.030446948157582865e+00,1.120872727272727388e+03,-6.815518681853582894e-01,1.000000000000000000e+00
-9.425747048949999485e-01,1.138799999999999955e+03,-3.922010943108411585e-01,1.000000000000000000e+00
-8.547024616324170321e-01,1.156727272727272748e+03,-1.545132318489402246e-01,1.000000000000000000e+00
-7.668302183698341157e-01,1.174654545454545541e+03,3.654518561304365143e-02,1.000000000000000000e+00
-6.789579751072509772e-01,1.192581818181818335e+03,1.860076244878117180e-01,1.000000000000000000e+00
-5.910857318446680608e-01,1.210509090909090901e+03,2.989075511880624481e-01,1.000000000000000000e+00
-5.032134885820851444e-01,1.228436363636363694e+03,3.802784321264964795e-01,1.000000000000000000e+00
-4.153412453195022280e-01,1.246363636363636488e+03,4.350951302179795199e-01,1.000000000000000000e+00
-3.274690020569193116e-01,1.264290909090909054e+03,4.669846279272107381e-01,1.000000000000000000e+00
-2.395967587943361732e-01,1.282218181818181847e+03,4.782260272687186564e-01,1.000000000000000000e+00
-1.517245155317532568e-01,1.300145454545454641e+03,4.710398267591988652e-01,1.000000000000000000e+00
-6.385227226917034038e-02,1.318072727272727434e+03,4.476465249153485093e-01,1.000000000000000000e+00
2.401997099341257602e-02,1.336000000000000000e+03,4.102666202538620688e-01,1.000000000000000000e+00
1.118922142559954924e-01,1.353927272727272793e+03,3.611206112914364663e-01,1.000000000000000000e+00
1.997644575185784088e-01,1.371854545454545587e+03,3.024289965447668482e-01,1.000000000000000000e+00
2.876367007811613252e-01,1.389781818181818153e+03,2.364122745305496931e-01,1.000000000000000000e+00
