x_scaled,x_raw,phi,in_train_support
-1.304052764753888427e+00,9.599999999999999645e-01,-3.091637755659422671e-01,0.000000000000000000e+00
-1.262792856184784540e+00,1.001212121212121220e+00,-8.794755818305910466e-02,1.000000000000000000e+00
-1.221532947615680653e+00,1.042424242424242475e+00,1.075024730110918508e-01,1.000000000000000000e+00
-1.180273039046576766e+00,1.083636363636363731e+00,2.783463279267736068e-01,1.000000000000000000e+00
-1.139013130477473101e+00,1.124848484848484764e+00,4.257440164742483102e-01,1.000000000000000000e+00
-1.097753221908369214e+00,1.166060606060606020e+00,5.508555485637802729e-01,1.000000000000000000e+00
-1.056493313339265327e+00,1.207272727272727275e+00,6.548409341056316002e-01,1.000000000000000000e+00
-1.015233404770161441e+00,1.248484848484848531e+00,7.388601830100651746e-01,1.000000000000000000e+00
-9.739734962010575536e-01,1.289696969696969786e+00,8.040733051873436565e-01,1.000000000000000000e+00
-9.327135876319537777e-01,1.330909090909091042e+00,8.516403105477301505e-01,1.000000000000000000e+00
-8.914536790628498908e-01,1.372121212121212075e+00,8.827212090014875390e-01,1.000000000000000000e+00
-8.501937704937461149e-01,1.413333333333333330e+00,8.984760104588784824e-01,1.000000000000000000e+00
-8.089338619246422279e-01,1.454545454545454586e+00,9.000647248301660852e-01,1.000000000000000000e+00
-7.676739533555383410e-01,1.495757575757575619e+00,8.886473620256130079e-01,1.000000000000000000e+00
-7.264140447864344541e-01,1.536969696969697097e+00,8.653839319554823550e-01,1.000000000000000000e+00
-6.851541362173306782e-01,1.578181818181818130e+00,8.314344445300370090e-01,1.000000000000000000e+00
-6.438942276482267912e-01,1.619393939393939386e+00,7.879589096595391862e-01,1.000000000000000000e+00
-6.026343190791229043e-01,1.660606060606060641e+00,7.361040080313521194e-01,1.000000000000000000e+00
-5.613744105100191284e-01,1.701818181818181674e+00,6.767098482061357778e-01,1.000000000000000000e+00
-5.201145019409152415e-01,1.743030303030303152e+00,6.103099666178466443e-01,1.000000000000000000e+00
-4.788545933718113545e-01,1.784242424242424185e+00,5.374245704775417742e-01,1.000000000000000000e+00
-4.375946848027075786e-01,1.825454545454545441e+00,4.585738669962781677e-01,1.000000000000000000e+00
-3.963347762336036917e-01,1.866666666666666696e+00,3.742780633851118255e-01,1.000000000000000000e+00
-3.550748676644998048e-01,1.907878787878787730e+00,2.850573668550998585e-01,1.000000000000000000e+00
-3.138149590953960288e-01,1.949090909090908985e+00,1.914319846172995443e-01,1.000000000000000000e+00
-2.725550505262921419e-01,1.990303030303030241e+00,9.392212388276710566e-02,1.000000000000000000e+00
-2.312951419571882550e-01,2.031515151515151274e+00,-6.952008137440901514e-03,1.000000000000000000e+00
-1.900352333880843680e-01,2.072727272727272751e+00,-1.106702042322671442e-01,1.000000000000000000e+00
-1.487753248189804811e-01,2.113939393939393785e+00,-2.167122571906552886e-01,1.000000000000000000e+00
-1.075154162498768162e-01,2.155151515151514818e+00,-3.245579598015478351e-01,1.000000000000000000e+00
-6.625550768077292929e-02,2.196363636363636296e+00,-4.336871048538891160e-01,1.000000000000000000e+00
-2.499559911166904236e-02,2.237575757575757329e+00,-5.435794851366217983e-01,1.000000000000000000e+00
1.626430945743484457e-02,2.278787878787878807e+00,-6.537148934386891597e-01,1.000000000000000000e+00
5.752421802653873151e-02,2.319999999999999840e+00,-7.635731225490345331e-01,1.000000000000000000e+00
9.878412659564261844e-02,2.361212121212121318e+00,-8.725864332153958625e-01,1.000000000000000000e+00
1.400440351647465054e-01,2.402424242424242351e+00,-9.799969580206910891e-01,1.000000000000000000e+00
1.813039437338501703e-01,2.443636363636363384e+00,-1.084999297506631821e+00,1.000000000000000000e+00
2.225638523029540572e-01,2.484848484848484862e+00,-1.186788052214931444e+00,1.000000000000000000e+00
2.638237608720579441e-01,2.526060606060605895e+00,-1.284557822687302231e+00,1.000000000000000000e+00
3.050836694411618311e-01,2.567272727272727373e+00,-1.377503209465456679e+00,1.000000000000000000e+00
3.463435780102657180e-01,2.608484848484848406e+00,-1.464818813091106842e+00,1.000000000000000000e+00
3.876034865793696049e-01,2.649696969696969440e+00,-1.545699234105966102e+00,1.000000000000000000e+00
4.288633951484732698e-01,2.690909090909090473e+00,-1.619339073051745848e+00,1.000000000000000000e+00
4.701233037175771567e-01,2.732121212121211951e+00,-1.684932930470159684e+00,1.000000000000000000e+00
5.113832122866810437e-01,2.773333333333332984e+00,-1.741675406902919665e+00,1.000000000000000000e+00
5.526431208557849306e-01,2.814545454545454461e+00,-1.788761102891737398e+00,1.000000000000000000e+00
