x_scaled,x_raw,phi,in_train_support
-9.206260582202697051e+00,-1.394799999999999898e+02,-1.031233391676297195e+01,0.000000000000000000e+00
-9.037865021043062441e+00,-1.369248484848484964e+02,-9.761446414867815946e+00,0.000000000000000000e+00
-8.869469459883427831e+00,-1.343696969696969745e+02,-9.239354718465314420e+00,0.000000000000000000e+00
-8.701073898723793221e+00,-1.318145454545454527e+02,-8.744563760295106292e+00,0.000000000000000000e+00
-8.532678337564158610e+00,-1.292593939393939309e+02,-8.275578473096825149e+00,0.000000000000000000e+00
-8.364282776404524000e+00,-1.267042424242424374e+02,-7.830903789610106358e+00,0.000000000000000000e+00
-8.195887215244889390e+00,-1.241490909090909298e+02,-7.409044642574583506e+00,0.000000000000000000e+00
-8.027491654085254780e+00,-1.215939393939394080e+02,-7.008505964729893734e+00,0.000000000000000000e+00
-7.859096092925620169e+00,-1.190387878787878861e+02,-6.627792688815670630e+00,0.000000000000000000e+00
-7.690700531765985559e+00,-1.164836363636363785e+02,-6.265409747571547783e+00,0.000000000000000000e+00
-7.522304970606350949e+00,-1.139284848484848567e+02,-5.919862073737164110e+00,0.000000000000000000e+00
-7.353909409446716339e+00,-1.113733333333333491e+02,-5.589654600052153199e+00,0.000000000000000000e+00
-7.185513848287081728e+00,-1.088181818181818272e+02,-5.273292259256148640e+00,0.000000000000000000e+00
-7.017118287127447118e+00,-1.062630303030303196e+02,-4.969279984088787572e+00,0.000000000000000000e+00
-6.848722725967812508e+00,-1.037078787878787978e+02,-4.676122707289703584e+00,0.000000000000000000e+00
-6.680327164808177898e+00,-1.011527272727272901e+02,-4.392325361598530264e+00,0.000000000000000000e+00
-6.511931603648543287e+00,-9.859757575757576831e+01,-4.116392879754904754e+00,0.000000000000000000e+00
-6.343536042488908677e+00,-9.604242424242426068e+01,-3.846873123617388313e+00,0.000000000000000000e+00
-6.175140481329274067e+00,-9.348727272727273885e+01,-3.583301324779803565e+00,0.000000000000000000e+00
-6.006744920169639457e+00,-9.093212121212123122e+01,-3.326200084571247828e+00,0.000000000000000000e+00
-5.838349359010004846e+00,-8.837696969696970939e+01,-3.076134933439738983e+00,0.000000000000000000e+00
-5.669953797850370236e+00,-8.582181818181820177e+01,-2.833671401833294468e+00,0.000000000000000000e+00
-5.501558236690735626e+00,-8.326666666666667993e+01,-2.599375020199934383e+00,0.000000000000000000e+00
-5.333162675531101016e+00,-8.071151515151517231e+01,-2.373811318987676611e+00,0.000000000000000000e+00
-5.164767114371466405e+00,-7.815636363636365047e+01,-2.157545828644539920e+00,0.000000000000000000e+00
-4.996371553211831795e+00,-7.560121212121214285e+01,-1.951144079618543303e+00,0.000000000000000000e+00
-4.827975992052197185e+00,-7.304606060606062101e+01,-1.755171602357704863e+00,0.000000000000000000e+00
-4.659580430892562575e+00,-7.049090909090911339e+01,-1.570193927310043813e+00,0.000000000000000000e+00
-4.491184869732927964e+00,-6.793575757575759155e+01,-1.396776584923578257e+00,0.000000000000000000e+00
-4.322789308573293354e+00,-6.538060606060608393e+01,-1.235485105646327408e+00,0.000000000000000000e+00
-4.154393747413658744e+00,-6.282545454545456209e+01,-1.086885019926309148e+00,0.000000000000000000e+00
-3.985998186254024134e+00,-6.027030303030304736e+01,-9.515418582115434676e-01,0.000000000000000000e+00
-3.817602625094389523e+00,-5.771515151515153264e+01,-8.300211509500476925e-01,0.000000000000000000e+00
-3.649207063934754913e+00,-5.516000000000001791e+01,-7.228884285898410367e-01,0.000000000000000000e+00
-3.480811502775120303e+00,-5.260484848484850318e+01,-6.304149470986591952e-01,0.000000000000000000e+00
-3.312415941615485693e+00,-5.004969696969698845e+01,-5.516948645231071202e-01,0.000000000000000000e+00
-3.144020380455851083e+00,-4.749454545454547372e+01,-4.855280644295061343e-01,0.000000000000000000e+00
-2.975624819296216472e+00,-4.493939393939395899e+01,-4.307144303841790034e-01,0.000000000000000000e+00
-2.807229258136581862e+00,-4.238424242424244426e+01,-3.860538459534472722e-01,0.000000000000000000e+00
-2.638833696976947252e+00,-3.982909090909092953e+01,-3.503461947036325963e-01,1.000000000000000000e+00
-2.470438135817312642e+00,-3.727393939393941480e+01,-3.223913602010564095e-01,1.000000000000000000e+00
-2.302042574657678031e+00,-3.471878787878789296e+01,-3.009892260120416996e-01,1.000000000000000000e+00
-2.133647013498043421e+00,-3.216363636363637823e+01,-2.849396757029101224e-01,1.000000000000000000e+00
-1.965251452338408811e+00,-2.960848484848486351e+01,-2.730425928399826674e-01,1.000000000000000000e+00
-1.796855891178774201e+00,-2.705333333333334878e+01,-2.640978609895825446e-01,1.000000000000000000e+00
-1.628460330019139590e+00,-2.449818181818183405e+01,-2.569053637180307437e-01,1.000000000000000000e+00
-1.460064768859504980e+00,-2.194303030303031576e+01,-2.502649845916493643e-01,1.000000000000000000e+00
-1.291669207699870370e+00,-1.938787878787880103e+01,-2.429766071767605062e-01,1.000000000000000000e+00
-1.123273646540235760e+00,-1.683272727272728631e+01,-2.338401150396856032e-01,1.000000000000000000e+00
-9.548780853806011493e-01,-1.427757575757577335e+01,-2.216553917467469770e-01,1.000000000000000000e+00
-7.864825242209665390e-01,-1.172242424242425862e+01,-2.052486605746137727e-01,1.000000000000000000e+00
-6.180869630613319288e-01,-9.167272727272743893e+00,-1.840519581379382874e-01,1.000000000000000000e+00
-4.496914019016973185e-01,-6.612121212121229163e+00,-1.581031343893570806e-01,1.000000000000000000e+00
-2.812958407420627083e-01,-4.056969696969713546e+00,-1.274663789918539791e-01,1.000000000000000000e+00
-1.129002795824280980e-01,-1.501818181818198372e+00,-9.220588160841236558e-02,1.000000000000000000e+00
5.549528157720651222e-02,1.053333333333316579e+00,-5.238583190201584472e-02,1.000000000000000000e+00
2.238908427368411225e-01,3.608484848484831531e+00,-8.070419535647577192e-03,1.000000000000000000e+00
3.922864038964757327e-01,6.163636363636346260e+00,4.067616582770750000e-02,1.000000000000000000e+00
5.606819650561103430e-01,8.718787878787860990e+00,9.378973452506778052e-02,1.000000000000000000e+00
7.290775262157449532e-01,1.127393939393937572e+01,1.512060968934483274e-01,1.000000000000000000e+00
8.974730873753795635e-01,1.382909090909089223e+01,2.128610632698650917e-01,1.000000000000000000e+00
1.065868648535014174e+00,1.638424242424240873e+01,2.786904439913362452e-01,1.000000000000000000e+00
1.234264209694648784e+00,1.893939393939392346e+01,3.486300493948768509e-01,1.000000000000000000e+00
1.402659770854283394e+00,2.149454545454543819e+01,4.226156898175041920e-01,1.000000000000000000e+00
1.571055332013918004e+00,2.404969696969695292e+01,5.005831755962335539e-01,1.000000000000000000e+00
1.739450893173552615e+00,2.660484848484846765e+01,5.824683170680826638e-01,1.000000000000000000e+00
1.907846454333187225e+00,2.915999999999998238e+01,6.682069245700668070e-01,1.000000000000000000e+00
2.076242015492821835e+00,3.171515151515149711e+01,7.576553325374724146e-01,1.000000000000000000e+00
2.244637576652456445e+00,3.427030303030301184e+01,8.503519717986609550e-01,1.000000000000000000e+00
2.413033137812091056e+00,3.682545454545452657e+01,9.457557972802659307e-01,1.000000000000000000e+00
2.581428698971725666e+00,3.938060606060604130e+01,1.043325763908916404e+00,1.000000000000000000e+00
2.749824260131360276e+00,4.193575757575755603e+01,1.142520826611245433e+00,1.000000000000000000e+00
2.918219821290994886e+00,4.449090909090907076e+01,1.242799940313883411e+00,1.000000000000000000e+00
3.086615382450629497e+00,4.704606060606058549e+01,1.343622059943463398e+00,0.000000000000000000e+00
3.255010943610264107e+00,4.960121212121210021e+01,1.444446140426616232e+00,0.000000000000000000e+00
3.423406504769898717e+00,5.215636363636361494e+01,1.544731136689972750e+00,0.000000000000000000e+00
3.591802065929533327e+00,5.471151515151512967e+01,1.643936003660165124e+00,0.000000000000000000e+00
3.760197627089167938e+00,5.726666666666664440e+01,1.741519696263825079e+00,0.000000000000000000e+00
3.928593188248802548e+00,5.982181818181815913e+01,1.836941169427583009e+00,0.000000000000000000e+00
4.096988749408437158e+00,6.237696969696967386e+01,1.929659378078072418e+00,0.000000000000000000e+00
4.265384310568071768e+00,6.493212121212118859e+01,2.019133277141923699e+00,0.000000000000000000e+00
4.433779871727706379e+00,6.748727272727271043e+01,2.104821821545768135e+00,0.000000000000000000e+00
4.602175432887340989e+00,7.004242424242421805e+01,2.186183966216237451e+00,0.000000000000000000e+00
