x_scaled,x_raw,phi,in_train_support
-7.004629341350168126e-01,-3.719999999999998863e+00,-1.136806638520787338e+00,0.000000000000000000e+00
-6.328607069812508534e-01,1.127272727272767838e-01,-4.540873741785205198e-01,1.000000000000000000e+00
-5.652584798274848943e-01,3.945454545454552431e+00,1.462025005327234339e-01,1.000000000000000000e+00
-4.976562526737189907e-01,7.778181818181820972e+00,6.684590504586553905e-01,1.000000000000000000e+00
-4.300540255199530315e-01,1.161090909090909307e+01,1.117078340444991547e+00,1.000000000000000000e+00
-3.624517983661870724e-01,1.544363636363636516e+01,1.496456435337438329e+00,1.000000000000000000e+00
-2.948495712124211687e-01,1.927636363636363726e+01,1.810989399981710157e+00,1.000000000000000000e+00
-2.272473440586552096e-01,2.310909090909090935e+01,2.065073299223525005e+00,1.000000000000000000e+00
-1.596451169048892504e-01,2.694181818181818144e+01,2.263104197908588411e+00,1.000000000000000000e+00
-9.204288975112329130e-02,3.077454545454545354e+01,2.409478160882609465e+00,1.000000000000000000e+00
-2.444066259735733215e-02,3.460727272727272918e+01,2.508591252991315024e+00,1.000000000000000000e+00
4.316156455640862699e-02,3.844000000000000483e+01,2.564839539080407071e+00,1.000000000000000000e+00
1.107637917101744751e-01,4.227272727272726627e+01,2.582619083995594700e+00,1.000000000000000000e+00
1.783660188639404343e-01,4.610545454545454191e+01,2.566325952582601211e+00,1.000000000000000000e+00
2.459682460177063934e-01,4.993818181818181756e+01,2.520356209687128590e+00,1.000000000000000000e+00
3.135704731714723525e-01,5.377090909090908610e+01,2.449105920154894811e+00,1.000000000000000000e+00
3.811727003252383117e-01,5.760363636363636175e+01,2.356971148831614293e+00,1.000000000000000000e+00
4.487749274790042708e-01,6.143636363636363740e+01,2.248270058880494027e+00,1.000000000000000000e+00
5.163771546327702300e-01,6.526909090909090594e+01,2.125529074767258386e+00,1.000000000000000000e+00
5.839793817865361891e-01,6.910181818181817448e+01,1.989482882260143803e+00,1.000000000000000000e+00
6.515816089403021483e-01,7.293454545454545723e+01,1.840788265444870397e+00,1.000000000000000000e+00
7.191838360940681074e-01,7.676727272727272577e+01,1.680102008407177827e+00,1.000000000000000000e+00
7.867860632478340666e-01,8.059999999999999432e+01,1.508080895232795093e+00,1.000000000000000000e+00
8.543882904016000257e-01,8.443272727272727707e+01,1.325381710007451197e+00,1.000000000000000000e+00
9.219905175553657628e-01,8.826545454545453140e+01,1.132661236816882244e+00,1.000000000000000000e+00
9.895927447091317219e-01,9.209818181818181415e+01,9.305762597468136832e-01,1.000000000000000000e+00
1.057194971862897681e+00,9.593090909090908269e+01,7.197835628829851728e-01,1.000000000000000000e+00
1.124797199016663640e+00,9.976363636363635123e+01,5.009399303111150559e-01,1.000000000000000000e+00
1.192399426170429599e+00,1.035963636363636340e+02,2.747021461169483203e-01,1.000000000000000000e+00
1.260001653324195559e+00,1.074290909090908883e+02,4.172699438620952606e-02,1.000000000000000000e+00
1.327603880477961518e+00,1.112618181818181711e+02,-1.973287407953714379e-01,1.000000000000000000e+00
1.395206107631727477e+00,1.150945454545454538e+02,-4.418082753420629061e-01,1.000000000000000000e+00
1.462808334785493436e+00,1.189272727272727082e+02,-6.910548251681305487e-01,1.000000000000000000e+00
1.530410561939259395e+00,1.227599999999999909e+02,-9.444116061878453650e-01,1.000000000000000000e+00
1.598012789093025354e+00,1.265927272727272737e+02,-1.201295890282973566e+00,1.000000000000000000e+00
1.665615016246791313e+00,1.304254545454545280e+02,-1.461421173205290636e+00,1.000000000000000000e+00
1.733217243400557273e+00,1.342581818181818107e+02,-1.724575006674065492e+00,1.000000000000000000e+00
1.800819470554323232e+00,1.380909090909090935e+02,-1.990544942408572382e+00,1.000000000000000000e+00
1.868421697708089191e+00,1.419236363636363478e+02,-2.259118532128080226e+00,1.000000000000000000e+00
1.936023924861855150e+00,1.457563636363636306e+02,-2.530083327551864159e+00,1.000000000000000000e+00
2.003626152015621109e+00,1.495890909090909133e+02,-2.803226880399192211e+00,1.000000000000000000e+00
2.071228379169387068e+00,1.534218181818181677e+02,-3.078336742389339520e+00,1.000000000000000000e+00
2.138830606323153027e+00,1.572545454545454504e+02,-3.355200465241575003e+00,1.000000000000000000e+00
2.206432833476918987e+00,1.610872727272727332e+02,-3.633605600675171132e+00,1.000000000000000000e+00
2.274035060630684946e+00,1.649199999999999875e+02,-3.913339700409401267e+00,1.000000000000000000e+00
2.341637287784450905e+00,1.687527272727272702e+02,-4.194190316163535215e+00,1.000000000000000000e+00
2.409239514938216864e+00,1.725854545454545246e+02,-4.475944999656847223e+00,1.000000000000000000e+00
2.476841742091982823e+00,1.764181818181818073e+02,-4.758391302608607099e+00,1.000000000000000000e+00
2.544443969245748338e+00,1.802509090909090617e+02,-5.041316776738084648e+00,1.000000000000000000e+00
2.612046196399514297e+00,1.840836363636363444e+02,-5.324508973764555897e+00,1.000000000000000000e+00
2.679648423553280256e+00,1.879163636363635987e+02,-5.607759883317489980e+00,1.000000000000000000e+00
2.747250650707046216e+00,1.917490909090908815e+02,-5.890963566960939701e+00,1.000000000000000000e+00
2.814852877860812175e+00,1.955818181818181358e+02,-6.174116158193537984e+00,1.000000000000000000e+00
2.882455105014578134e+00,1.994145454545454186e+02,-6.457218228424118855e+00,1.000000000000000000e+00
2.950057332168344093e+00,2.032472727272727013e+02,-6.740270349061514565e+00,1.000000000000000000e+00
3.017659559322110052e+00,2.070799999999999557e+02,-7.023273091514557365e+00,1.000000000000000000e+00
3.085261786475876011e+00,2.109127272727272384e+02,-7.306227027192081280e+00,1.000000000000000000e+00
3.152864013629641970e+00,2.147454545454545212e+02,-7.589132727502919451e+00,1.000000000000000000e+00
3.220466240783407930e+00,2.185781818181817755e+02,-7.871990763855904127e+00,1.000000000000000000e+00
3.288068467937173889e+00,2.224109090909090582e+02,-8.154801707659869336e+00,1.000000000000000000e+00
3.355670695090939848e+00,2.262436363636363410e+02,-8.437566130323647329e+00,1.000000000000000000e+00
3.423272922244705807e+00,2.300763636363635953e+02,-8.720284603256070355e+00,1.000000000000000000e+00
3.490875149398471766e+00,2.339090909090908781e+02,-9.002957697865973330e+00,1.000000000000000000e+00
3.558477376552237725e+00,2.377418181818181608e+02,-9.285585985562185840e+00,1.000000000000000000e+00
3.626079603706003684e+00,2.415745454545454152e+02,-9.568170037753544577e+00,0.000000000000000000e+00
3.693681830859769644e+00,2.454072727272726979e+02,-9.850710425848880902e+00,0.000000000000000000e+00
3.761284058013535603e+00,2.492399999999999807e+02,-1.013320772125702796e+01,0.000000000000000000e+00
3.828886285167301562e+00,2.530727272727272350e+02,-1.041574881208366676e+01,0.000000000000000000e+00
3.896488512321067521e+00,2.569054545454545178e+02,-1.069876585322187879e+01,0.000000000000000000e+00
3.964090739474833480e+00,2.607381818181818289e+02,-1.098277731626158982e+01,0.000000000000000000e+00
4.031692966628598995e+00,2.645709090909090833e+02,-1.126830167279272743e+01,0.000000000000000000e+00
4.099295193782365843e+00,2.684036363636363944e+02,-1.155585739440522630e+01,0.000000000000000000e+00
4.166897420936130914e+00,2.722363636363635919e+02,-1.184596295268899979e+01,0.000000000000000000e+00
4.234499648089897761e+00,2.760690909090909031e+02,-1.213913681923399324e+01,0.000000000000000000e+00
4.302101875243662832e+00,2.799018181818181574e+02,-1.243589746563011822e+01,0.000000000000000000e+00
4.369704102397429679e+00,2.837345454545454686e+02,-1.273676336346731830e+01,0.000000000000000000e+00
4.437306329551194750e+00,2.875672727272726661e+02,-1.304225298433550861e+01,0.000000000000000000e+00
4.504908556704961597e+00,2.914000000000000341e+02,-1.335288479982462917e+01,0.000000000000000000e+00
4.572510783858726668e+00,2.952327272727272316e+02,-1.366917728152459333e+01,0.000000000000000000e+00
4.640113011012493516e+00,2.990654545454545996e+02,-1.399164890102534287e+01,0.000000000000000000e+00
4.707715238166258587e+00,3.028981818181817971e+02,-1.432081812991679470e+01,0.000000000000000000e+00
4.775317465320025434e+00,3.067309090909091083e+02,-1.465720343978889062e+01,0.000000000000000000e+00
4.842919692473790505e+00,3.105636363636363626e+02,-1.500132330223154042e+01,0.000000000000000000e+00
4.910521919627557352e+00,3.143963636363636738e+02,-1.535373923565673238e+01,0.000000000000000000e+00
4.978124146781322423e+00,3.182290909090908713e+02,-1.571600283538336740e+01,0.000000000000000000e+00
5.045726373935089271e+00,3.220618181818182393e+02,-1.609065577363732302e+01,0.000000000000000000e+00
5.113328601088854342e+00,3.258945454545454368e+02,-1.648028276946650195e+01,0.000000000000000000e+00
5.180930828242621189e+00,3.297272727272727479e+02,-1.688746854191882107e+01,0.000000000000000000e+00
5.248533055396386260e+00,3.335600000000000023e+02,-1.731479781004216889e+01,0.000000000000000000e+00
5.316135282550153107e+00,3.373927272727273134e+02,-1.776485529288447651e+01,0.000000000000000000e+00
5.383737509703918178e+00,3.412254545454545109e+02,-1.824022570949362532e+01,0.000000000000000000e+00
5.451339736857685025e+00,3.450581818181818790e+02,-1.874349377891755353e+01,0.000000000000000000e+00
5.518941964011450096e+00,3.488909090909090764e+02,-1.927724422020413897e+01,0.000000000000000000e+00
5.586544191165216944e+00,3.527236363636363876e+02,-1.984406175240131986e+01,0.000000000000000000e+00
5.654146418318982015e+00,3.565563636363636419e+02,-2.044653109455696693e+01,0.000000000000000000e+00
5.721748645472748862e+00,3.603890909090909531e+02,-2.108723696571902906e+01,0.000000000000000000e+00
5.789350872626513933e+00,3.642218181818181506e+02,-2.176876408493537696e+01,0.000000000000000000e+00
5.856953099780279004e+00,3.680545454545454049e+02,-2.249369717125393109e+01,0.000000000000000000e+00
5.924555326934045851e+00,3.718872727272727161e+02,-2.326462094372262612e+01,0.000000000000000000e+00
5.992157554087811810e+00,3.757199999999999704e+02,-2.408412012138933278e+01,0.000000000000000000e+00
