x_scaled,x_raw,phi,in_train_support
-4.598983371118836594e+00,-2.539999999999963620e+00,-5.852088697662018113e+00,0.000000000000000000e+00
-4.530046808464010866e+00,7.696969696971223129e-02,-5.525736698213391307e+00,0.000000000000000000e+00
-4.461110245809184249e+00,2.693939393939416505e+00,-5.218764251921406583e+00,0.000000000000000000e+00
-4.392173683154357633e+00,5.310909090909120778e+00,-4.930155498160018190e+00,0.000000000000000000e+00
-4.323237120499531905e+00,7.927878787878825051e+00,-4.658894576303176827e+00,0.000000000000000000e+00
-4.254300557844706177e+00,1.054484848484850090e+01,-4.403965625724827859e+00,0.000000000000000000e+00
-4.185363995189879560e+00,1.316181818181820518e+01,-4.164352785798914880e+00,0.000000000000000000e+00
-4.116427432535052944e+00,1.577878787878790945e+01,-3.939040195899389030e+00,0.000000000000000000e+00
-4.047490869880227216e+00,1.839575757575761372e+01,-3.727011995400202338e+00,0.000000000000000000e+00
-3.978554307225401043e+00,2.101272727272728957e+01,-3.527252323675297951e+00,0.000000000000000000e+00
-3.909617744570574871e+00,2.362969696969699385e+01,-3.338745320098626568e+00,0.000000000000000000e+00
-3.840681181915748699e+00,2.624666666666669812e+01,-3.160475124044133999e+00,0.000000000000000000e+00
-3.771744619260922526e+00,2.886363636363637397e+01,-2.991425874885770941e+00,0.000000000000000000e+00
-3.702808056606096354e+00,3.148060606060607824e+01,-2.830581711997484096e+00,0.000000000000000000e+00
-3.633871493951270182e+00,3.409757575757578252e+01,-2.676926774753221494e+00,0.000000000000000000e+00
-3.564934931296444010e+00,3.671454545454548679e+01,-2.529445202526931169e+00,0.000000000000000000e+00
-3.495998368641617837e+00,3.933151515151516264e+01,-2.387121134692562041e+00,0.000000000000000000e+00
-3.427061805986791665e+00,4.194848484848486692e+01,-2.248961688855891872e+00,0.000000000000000000e+00
-3.358125243331965493e+00,4.456545454545457119e+01,-2.114502481954798618e+00,0.000000000000000000e+00
-3.289188680677139320e+00,4.718242424242426125e+01,-1.983807630259258437e+00,0.000000000000000000e+00
-3.220252118022313148e+00,4.979939393939396552e+01,-1.856964228271078321e+00,1.000000000000000000e+00
-3.151315555367486976e+00,5.241636363636365559e+01,-1.734059370492064822e+00,1.000000000000000000e+00
-3.082378992712660803e+00,5.503333333333335986e+01,-1.615180151424024935e+00,1.000000000000000000e+00
-3.013442430057834631e+00,5.765030303030304992e+01,-1.500413665568765431e+00,1.000000000000000000e+00
-2.944505867403008459e+00,6.026727272727273998e+01,-1.389847007428093750e+00,1.000000000000000000e+00
-2.875569304748182287e+00,6.288424242424244426e+01,-1.283567271503815999e+00,1.000000000000000000e+00
-2.806632742093356114e+00,6.550121212121213432e+01,-1.181661552297738726e+00,1.000000000000000000e+00
-2.737696179438529942e+00,6.811818181818183859e+01,-1.084216944311669817e+00,1.000000000000000000e+00
-2.668759616783703770e+00,7.073515151515152866e+01,-9.913205420474154872e-01,1.000000000000000000e+00
-2.599823054128877597e+00,7.335212121212123293e+01,-9.030594400067826211e-01,1.000000000000000000e+00
-2.530886491474051425e+00,7.596909090909092299e+01,-8.195207326915781021e-01,1.000000000000000000e+00
-2.461949928819225253e+00,7.858606060606062726e+01,-7.407915146036088139e-01,1.000000000000000000e+00
-2.393013366164399081e+00,8.120303030303031733e+01,-6.669588802446815290e-01,1.000000000000000000e+00
-2.324076803509572908e+00,8.382000000000002160e+01,-5.981099241166027980e-01,1.000000000000000000e+00
-2.255140240854746736e+00,8.643696969696971166e+01,-5.342927181954362226e-01,1.000000000000000000e+00
-2.186203678199920564e+00,8.905393939393941594e+01,-4.753992443542687241e-01,1.000000000000000000e+00
-2.117267115545094391e+00,9.167090909090910600e+01,-4.212824619404433868e-01,1.000000000000000000e+00
-2.048330552890268219e+00,9.428787878787879606e+01,-3.717953303013046273e-01,1.000000000000000000e+00
-1.979393990235442047e+00,9.690484848484850033e+01,-3.267908087841948639e-01,1.000000000000000000e+00
-1.910457427580615875e+00,9.952181818181819040e+01,-2.861218567364582910e-01,1.000000000000000000e+00
-1.841520864925789702e+00,1.021387878787878947e+02,-2.496414335054377709e-01,1.000000000000000000e+00
-1.772584302270963530e+00,1.047557575757575847e+02,-2.172024984384774982e-01,1.000000000000000000e+00
-1.703647739616137358e+00,1.073727272727272890e+02,-1.886580108829198910e-01,1.000000000000000000e+00
-1.634711176961311185e+00,1.099896969696969791e+02,-1.638609301861086998e-01,1.000000000000000000e+00
-1.565774614306485013e+00,1.126066666666666833e+02,-1.426642156953881191e-01,1.000000000000000000e+00
-1.496838051651658841e+00,1.152236363636363734e+02,-1.249208267581010112e-01,1.000000000000000000e+00
-1.427901488996832668e+00,1.178406060606060635e+02,-1.104837227215909046e-01,1.000000000000000000e+00
-1.358964926342006496e+00,1.204575757575757677e+02,-9.920586293320066140e-02,1.000000000000000000e+00
-1.290028363687180324e+00,1.230745454545454720e+02,-9.094020674027447626e-02,1.000000000000000000e+00
-1.221091801032354152e+00,1.256915151515151621e+02,-8.553971349015565551e-02,1.000000000000000000e+00
-1.152155238377527979e+00,1.283084848484848521e+02,-8.284890592495486317e-02,1.000000000000000000e+00
-1.083218675722701807e+00,1.309254545454545564e+02,-8.251826486643309977e-02,1.000000000000000000e+00
-1.014282113067875635e+00,1.335424242424242607e+02,-8.400422921599992598e-02,1.000000000000000000e+00
-9.453455504130494624e-01,1.361593939393939650e+02,-8.675480126983381446e-02,1.000000000000000000e+00
-8.764089877582232901e-01,1.387763636363636408e+02,-9.021798332411234966e-02,1.000000000000000000e+00
-8.074724251033971179e-01,1.413933333333333451e+02,-9.384177767501356016e-02,1.000000000000000000e+00
-7.385358624485709456e-01,1.440103030303030494e+02,-9.707418661871480836e-02,1.000000000000000000e+00
-6.695992997937447733e-01,1.466272727272727252e+02,-9.936321245139478897e-02,1.000000000000000000e+00
-6.006627371389186010e-01,1.492442424242424295e+02,-1.001568574692301983e-01,1.000000000000000000e+00
-5.317261744840928728e-01,1.518612121212121053e+02,-9.890312396839928688e-02,1.000000000000000000e+00
-4.627896118292662564e-01,1.544781818181818380e+02,-9.505001424508008334e-02,1.000000000000000000e+00
-3.938530491744396400e-01,1.570951515151515423e+02,-8.804553059545039417e-02,1.000000000000000000e+00
-3.249164865196139118e-01,1.597121212121212182e+02,-7.733767531568758180e-02,1.000000000000000000e+00
-2.559799238647881836e-01,1.623290909090908940e+02,-6.237445070197034092e-02,1.000000000000000000e+00
-1.870433612099615672e-01,1.649460606060605983e+02,-4.260385905047514576e-02,1.000000000000000000e+00
-1.181067985551349508e-01,1.675630303030303310e+02,-1.747390265738046899e-02,1.000000000000000000e+00
-4.917023590030922264e-02,1.701800000000000068e+02,1.356741618113566084e-02,1.000000000000000000e+00
1.976632675451650556e-02,1.727969696969696827e+02,5.076389316143581354e-02,1.000000000000000000e+00
8.870288940934312194e-02,1.754139393939393869e+02,9.312651595004606264e-02,1.000000000000000000e+00
1.576394520641697383e-01,1.780309090909091196e+02,1.393580702060313037e-01,1.000000000000000000e+00
2.265760147189954665e-01,1.806478787878787955e+02,1.881613415884562102e-01,1.000000000000000000e+00
2.955125773738211947e-01,1.832648484848484713e+02,2.382391157563872319e-01,1.000000000000000000e+00
3.644491400286478111e-01,1.858818181818181756e+02,2.882941783688908188e-01,1.000000000000000000e+00
4.333857026834744275e-01,1.884987878787879083e+02,3.370293150850303121e-01,1.000000000000000000e+00
5.023222653383001557e-01,1.911157575757575842e+02,3.831473115638717175e-01,1.000000000000000000e+00
5.712588279931258839e-01,1.937327272727272600e+02,4.253509534644823731e-01,1.000000000000000000e+00
6.401953906479525003e-01,1.963496969696969643e+02,4.623430264459260641e-01,1.000000000000000000e+00
7.091319533027791167e-01,1.989666666666666970e+02,4.928263161672692405e-01,1.000000000000000000e+00
7.780685159576048449e-01,2.015836363636363728e+02,5.155036082875765757e-01,1.000000000000000000e+00
8.470050786124305731e-01,2.042006060606060487e+02,5.290776884659140755e-01,1.000000000000000000e+00
9.159416412672571894e-01,2.068175757575757530e+02,5.322513423613473016e-01,1.000000000000000000e+00
9.848782039220838058e-01,2.094345454545454572e+02,5.237273556329418156e-01,1.000000000000000000e+00
1.053814766576909534e+00,2.120515151515151615e+02,5.022085139397636233e-01,1.000000000000000000e+00
1.122751329231735262e+00,2.146684848484848374e+02,4.663503985741397351e-01,1.000000000000000000e+00
1.191687891886561879e+00,2.172854545454545416e+02,4.137228903934380142e-01,1.000000000000000000e+00
1.260624454541388495e+00,2.199024242424242743e+02,3.408101698200649565e-01,1.000000000000000000e+00
1.329561017196214223e+00,2.225193939393939218e+02,2.440492129096916152e-01,1.000000000000000000e+00
1.398497579851039951e+00,2.251363636363636260e+02,1.198769957179868229e-01,1.000000000000000000e+00
1.467434142505866568e+00,2.277533333333333303e+02,-3.526950569938236413e-02,1.000000000000000000e+00
1.536370705160693184e+00,2.303703030303030346e+02,-2.249533152867455588e-01,1.000000000000000000e+00
1.605307267815518912e+00,2.329872727272727388e+02,-4.527374569884299316e-01,1.000000000000000000e+00
1.674243830470344641e+00,2.356042424242423863e+02,-7.221849547487686483e-01,1.000000000000000000e+00
1.743180393125171257e+00,2.382212121212121190e+02,-1.036858832512095763e+00,1.000000000000000000e+00
1.812116955779997873e+00,2.408381818181818232e+02,-1.400322114222738890e+00,1.000000000000000000e+00
1.881053518434823602e+00,2.434551515151514991e+02,-1.816137823825023423e+00,1.000000000000000000e+00
1.949990081089649330e+00,2.460721212121212034e+02,-2.287868985263283861e+00,0.000000000000000000e+00
2.018926643744475946e+00,2.486890909090909076e+02,-2.819078622481858254e+00,0.000000000000000000e+00
2.087863206399302562e+00,2.513060606060606119e+02,-3.413329759425071330e+00,0.000000000000000000e+00
2.156799769054128291e+00,2.539230303030303162e+02,-4.074185420037245819e+00,0.000000000000000000e+00
2.225736331708954907e+00,2.565400000000000205e+02,-4.805208628262727544e+00,0.000000000000000000e+00
