x_scaled,x_raw,phi,in_train_support
-2.885228611414322852e+00,-6.599999999999965894e-01,2.627039299422958329e+00,0.000000000000000000e+00
-2.826326184890672000e+00,2.000000000000312639e-02,2.766190223144736837e+00,1.000000000000000000e+00
-2.767423758367020703e+00,7.000000000000063949e-01,2.875653217249328542e+00,1.000000000000000000e+00
-2.708521331843369850e+00,1.380000000000002558e+00,2.957207815582393984e+00,1.000000000000000000e+00
-2.649618905319718554e+00,2.060000000000005826e+00,3.012633551989594149e+00,1.000000000000000000e+00
-2.590716478796067701e+00,2.740000000000001990e+00,3.043709960316587360e+00,1.000000000000000000e+00
-2.531814052272416404e+00,3.420000000000005258e+00,3.052216574409035044e+00,1.000000000000000000e+00
-2.472911625748765552e+00,4.100000000000001421e+00,3.039932928112596411e+00,1.000000000000000000e+00
-2.414009199225114255e+00,4.780000000000004690e+00,3.008638555272932891e+00,1.000000000000000000e+00
-2.355106772701463402e+00,5.460000000000004405e+00,2.960112989735702360e+00,1.000000000000000000e+00
-2.296204346177812106e+00,6.140000000000007674e+00,2.896135765346565805e+00,1.000000000000000000e+00
-2.237301919654161253e+00,6.820000000000003837e+00,2.818486415951185986e+00,1.000000000000000000e+00
-2.178399493130510400e+00,7.500000000000000000e+00,2.728944475395219005e+00,1.000000000000000000e+00
-2.119497066606859104e+00,8.180000000000003268e+00,2.629289477524327623e+00,1.000000000000000000e+00
-2.060594640083207807e+00,8.860000000000006537e+00,2.521300956184170605e+00,1.000000000000000000e+00
-2.001692213559556954e+00,9.540000000000002700e+00,2.406758445220408049e+00,1.000000000000000000e+00
-1.942789787035905880e+00,1.022000000000000242e+01,2.287441478478701384e+00,1.000000000000000000e+00
-1.883887360512254805e+00,1.090000000000000568e+01,2.165103558337782008e+00,1.000000000000000000e+00
-1.824984933988603730e+00,1.158000000000000540e+01,2.040899463437058081e+00,1.000000000000000000e+00
-1.766082507464952656e+00,1.226000000000000512e+01,1.915385248676611862e+00,1.000000000000000000e+00
-1.707180080941301581e+00,1.294000000000000483e+01,1.789090937489599131e+00,1.000000000000000000e+00
-1.648277654417650506e+00,1.362000000000000455e+01,1.662546553309173447e+00,1.000000000000000000e+00
-1.589375227893999432e+00,1.430000000000000426e+01,1.536282119568491700e+00,1.000000000000000000e+00
-1.530472801370348357e+00,1.498000000000000398e+01,1.410827659700707892e+00,1.000000000000000000e+00
-1.471570374846697504e+00,1.566000000000000369e+01,1.286713197138977138e+00,1.000000000000000000e+00
-1.412667948323046430e+00,1.634000000000000341e+01,1.164468755316454995e+00,1.000000000000000000e+00
-1.353765521799395355e+00,1.702000000000000313e+01,1.044624357666295467e+00,1.000000000000000000e+00
-1.294863095275744280e+00,1.770000000000000284e+01,9.277100276216547758e-01,1.000000000000000000e+00
-1.235960668752093206e+00,1.838000000000000256e+01,8.142557886156880365e-01,1.000000000000000000e+00
-1.177058242228442131e+00,1.906000000000000227e+01,7.047916640815492517e-01,1.000000000000000000e+00
-1.118155815704791056e+00,1.974000000000000199e+01,5.998476774523948674e-01,1.000000000000000000e+00
-1.059253389181139982e+00,2.042000000000000171e+01,4.999538521613791087e-01,1.000000000000000000e+00
-1.000350962657488907e+00,2.110000000000000142e+01,4.056402116416569781e-01,1.000000000000000000e+00
-9.414485361338378322e-01,2.178000000000000469e+01,3.174367793263842552e-01,1.000000000000000000e+00
-8.825461096101867575e-01,2.246000000000000441e+01,2.357573938570746153e-01,1.000000000000000000e+00
-8.236436830865359049e-01,2.314000000000000057e+01,1.605511547086797552e-01,1.000000000000000000e+00
-7.647412565628846082e-01,2.382000000000000384e+01,9.165097656450871266e-02,1.000000000000000000e+00
-7.058388300392337555e-01,2.450000000000000000e+01,2.888977410787291200e-02,1.000000000000000000e+00
-6.469364035155824588e-01,2.518000000000000327e+01,-2.789953797791844270e-02,1.000000000000000000e+00
-5.880339769919316062e-01,2.586000000000000298e+01,-7.888404500955420451e-02,1.000000000000000000e+00
-5.291315504682803095e-01,2.654000000000000625e+01,-1.242308323037251139e-01,1.000000000000000000e+00
-4.702291239446294568e-01,2.722000000000000242e+01,-1.641069851771199684e-01,1.000000000000000000e+00
-4.113266974209781601e-01,2.790000000000000568e+01,-1.986795889464295639e-01,1.000000000000000000e+00
-3.524242708973273075e-01,2.858000000000000185e+01,-2.281157289283429201e-01,1.000000000000000000e+00
-2.935218443736760108e-01,2.926000000000000512e+01,-2.525824904395503889e-01,1.000000000000000000e+00
-2.346194178500251581e-01,2.994000000000000483e+01,-2.722469587967412674e-01,1.000000000000000000e+00
-1.757169913263738614e-01,3.062000000000000455e+01,-2.872762193166057965e-01,1.000000000000000000e+00
-1.168145648027230088e-01,3.130000000000000426e+01,-2.978373573158334953e-01,1.000000000000000000e+00
-5.791213827907215617e-02,3.198000000000000043e+01,-3.040974581111142161e-01,1.000000000000000000e+00
9.902882445791405530e-04,3.266000000000000369e+01,-3.062236070191378667e-01,1.000000000000000000e+00
5.989271476822999318e-02,3.334000000000000341e+01,-3.043929832730835616e-01,1.000000000000000000e+00
1.187951412918812899e-01,3.402000000000000313e+01,-2.990149261853866092e-01,1.000000000000000000e+00
1.776975678155321425e-01,3.470000000000000284e+01,-2.907309351477385118e-01,1.000000000000000000e+00
2.365999943391834393e-01,3.538000000000000256e+01,-2.801926034683200339e-01,1.000000000000000000e+00
2.955024208628342919e-01,3.606000000000000227e+01,-2.680515244553121068e-01,1.000000000000000000e+00
3.544048473864855886e-01,3.674000000000000199e+01,-2.549592914168954949e-01,1.000000000000000000e+00
4.133072739101364412e-01,3.742000000000000171e+01,-2.415674976612511848e-01,1.000000000000000000e+00
