x_scaled,x_raw,phi,in_train_support
-4.598983371118836594e+00,-2.539999999999963620e+00,-5.366142919330826544e+00,0.000000000000000000e+00
-4.530046808464010866e+00,7.696969696971223129e-02,-5.072714785960458883e+00,0.000000000000000000e+00
-4.461110245809184249e+00,2.693939393939416505e+00,-4.796683899051576994e+00,0.000000000000000000e+00
-4.392173683154357633e+00,5.310909090909120778e+00,-4.537124098657367099e+00,0.000000000000000000e+00
-4.323237120499531905e+00,7.927878787878825051e+00,-4.293109224831011872e+00,0.000000000000000000e+00
-4.254300557844706177e+00,1.054484848484850090e+01,-4.063713117625688653e+00,0.000000000000000000e+00
-4.185363995189879560e+00,1.316181818181820518e+01,-3.848009617094570789e+00,0.000000000000000000e+00
-4.116427432535052944e+00,1.577878787878790945e+01,-3.645072563290843615e+00,0.000000000000000000e+00
-4.047490869880227216e+00,1.839575757575761372e+01,-3.453975796267688914e+00,0.000000000000000000e+00
-3.978554307225401043e+00,2.101272727272728957e+01,-3.273793156078283140e+00,0.000000000000000000e+00
-3.909617744570574871e+00,2.362969696969699385e+01,-3.103598482775806744e+00,0.000000000000000000e+00
-3.840681181915748699e+00,2.624666666666669812e+01,-2.942465616413438845e+00,0.000000000000000000e+00
-3.771744619260922526e+00,2.886363636363637397e+01,-2.789468397044361225e+00,0.000000000000000000e+00
-3.702808056606096354e+00,3.148060606060607824e+01,-2.643680664721751228e+00,0.000000000000000000e+00
-3.633871493951270182e+00,3.409757575757578252e+01,-2.504176259498790191e+00,0.000000000000000000e+00
-3.564934931296444010e+00,3.671454545454548679e+01,-2.370029021428657234e+00,0.000000000000000000e+00
-3.495998368641617837e+00,3.933151515151516264e+01,-2.240312790564532364e+00,0.000000000000000000e+00
-3.427061805986791665e+00,4.194848484848486692e+01,-2.114122750977291076e+00,0.000000000000000000e+00
-3.358125243331965493e+00,4.456545454545457119e+01,-1.991044999144802041e+00,0.000000000000000000e+00
-3.289188680677139320e+00,4.718242424242426125e+01,-1.871156543951929763e+00,0.000000000000000000e+00
-3.220252118022313148e+00,4.979939393939396552e+01,-1.754555738301233347e+00,1.000000000000000000e+00
-3.151315555367486976e+00,5.241636363636365559e+01,-1.641340935095272346e+00,1.000000000000000000e+00
-3.082378992712660803e+00,5.503333333333335986e+01,-1.531610487236605644e+00,1.000000000000000000e+00
-3.013442430057834631e+00,5.765030303030304992e+01,-1.425462747627793014e+00,1.000000000000000000e+00
-2.944505867403008459e+00,6.026727272727273998e+01,-1.322996069171393341e+00,1.000000000000000000e+00
-2.875569304748182287e+00,6.288424242424244426e+01,-1.224308804769966397e+00,1.000000000000000000e+00
-2.806632742093356114e+00,6.550121212121213432e+01,-1.129499307326070845e+00,1.000000000000000000e+00
-2.737696179438529942e+00,6.811818181818183859e+01,-1.038665929742266680e+00,1.000000000000000000e+00
-2.668759616783703770e+00,7.073515151515152866e+01,-9.519070249211132317e-01,1.000000000000000000e+00
-2.599823054128877597e+00,7.335212121212123293e+01,-8.693209457651691618e-01,1.000000000000000000e+00
-2.530886491474051425e+00,7.596909090909092299e+01,-7.910060451769942436e-01,1.000000000000000000e+00
-2.461949928819225253e+00,7.858606060606062726e+01,-7.170606760591475837e-01,1.000000000000000000e+00
