x_scaled,x_raw,phi,in_train_support
-2.633055330071833122e+00,1.150009999999999991e+03,-2.327177639740650505e+01,0.000000000000000000e+00
-2.588414231731822390e+00,1.154120909090909208e+03,-2.219764731956660242e+01,0.000000000000000000e+00
-2.543773133391811658e+00,1.158231818181818198e+03,-2.118632614321942853e+01,0.000000000000000000e+00
-2.499132035051800926e+00,1.162342727272727188e+03,-2.023446642923392602e+01,0.000000000000000000e+00
-2.454490936711790194e+00,1.166453636363636406e+03,-1.933872173847905529e+01,0.000000000000000000e+00
-2.409849838371779907e+00,1.170564545454545396e+03,-1.849574563182377673e+01,0.000000000000000000e+00
-2.365208740031769175e+00,1.174675454545454613e+03,-1.770219167013702588e+01,0.000000000000000000e+00
-2.320567641691758443e+00,1.178786363636363603e+03,-1.695471341428776313e+01,0.000000000000000000e+00
-2.275926543351747711e+00,1.182897272727272821e+03,-1.624996442514493467e+01,0.000000000000000000e+00
-2.231285445011736979e+00,1.187008181818181811e+03,-1.558459826357750089e+01,0.000000000000000000e+00
-2.186644346671726247e+00,1.191119090909091028e+03,-1.495526849045441509e+01,1.000000000000000000e+00
-2.142003248331715515e+00,1.195230000000000018e+03,-1.435862866664462700e+01,1.000000000000000000e+00
-2.097362149991704783e+00,1.199340909090909008e+03,-1.379133235301708993e+01,1.000000000000000000e+00
-2.052721051651694495e+00,1.203451818181818226e+03,-1.325003311044076426e+01,1.000000000000000000e+00
-2.008079953311683319e+00,1.207562727272727216e+03,-1.273138449978458198e+01,1.000000000000000000e+00
-1.963438854971673031e+00,1.211673636363636433e+03,-1.223204008191751768e+01,1.000000000000000000e+00
-1.918797756631662299e+00,1.215784545454545423e+03,-1.174865341770851401e+01,1.000000000000000000e+00
-1.874156658291651567e+00,1.219895454545454641e+03,-1.127793545340040815e+01,1.000000000000000000e+00
-1.829515559951640835e+00,1.224006363636363631e+03,-1.081791699883539337e+01,1.000000000000000000e+00
