x_scaled,x_raw,phi,in_train_support
-1.176936334482624691e+00,-5.899999999999998579e-01,-2.968271763173397915e-01,0.000000000000000000e+00
-1.121125603025696638e+00,1.787878787878760534e-02,-2.038462347303848787e-02,1.000000000000000000e+00
-1.065314871568768584e+00,6.257575757575768449e-01,1.860051898369992074e-01,1.000000000000000000e+00
-1.009504140111840753e+00,1.233636363636362532e+00,3.291938599309220947e-01,1.000000000000000000e+00
-9.536934086549126999e-01,1.841515151515151771e+00,4.160329831268905210e-01,1.000000000000000000e+00
-8.978826771979846466e-01,2.449393939393941011e+00,4.533741557430630564e-01,1.000000000000000000e+00
-8.420719457410567044e-01,3.057272727272726698e+00,4.480689740975893898e-01,1.000000000000000000e+00
-7.862612142841287621e-01,3.665151515151514161e+00,4.069690345086272032e-01,1.000000000000000000e+00
-7.304504828272007089e-01,4.273030303030303401e+00,3.369259332943315144e-01,1.000000000000000000e+00
-6.746397513702726556e-01,4.880909090909091752e+00,2.447912667728635583e-01,1.000000000000000000e+00
-6.188290199133447134e-01,5.488787878787879215e+00,1.374166312623730235e-01,1.000000000000000000e+00
-5.630182884564167711e-01,6.096666666666666679e+00,2.165362308101670408e-02,1.000000000000000000e+00
-5.072075569994887179e-01,6.704545454545455030e+00,-9.564616145304860595e-02,1.000000000000000000e+00
-4.513968255425606646e-01,7.312424242424243381e+00,-2.076311260216661125e-01,1.000000000000000000e+00
-3.955860940856327224e-01,7.920303030303030845e+00,-3.074496743066834625e-01,1.000000000000000000e+00
-3.397753626287047801e-01,8.528181818181817420e+00,-3.882502099899420855e-01,1.000000000000000000e+00
-2.839646311717767269e-01,9.136060606060606659e+00,-4.431811367532878521e-01,1.000000000000000000e+00
-2.281538997148486736e-01,9.743939393939395899e+00,-4.656104367643738584e-01,1.000000000000000000e+00
-1.723431682579206203e-01,1.035181818181818336e+01,-4.539563973645481809e-01,1.000000000000000000e+00
-1.165324368009927891e-01,1.095969696969697083e+01,-4.116876110688370005e-01,1.000000000000000000e+00
-6.072170534406473585e-02,1.156757575757575829e+01,-3.424922488780870466e-01,1.000000000000000000e+00
-4.910973887136682592e-03,1.217545454545454753e+01,-2.500584817931370551e-01,1.000000000000000000e+00
5.089975756979114863e-02,1.278333333333333321e+01,-1.380744808148337555e-01,1.000000000000000000e+00
1.067104890267192019e-01,1.339121212121212245e+01,-1.022841694401410706e-02,1.000000000000000000e+00
1.625212204836472552e-01,1.399909090909090992e+01,1.297915388184751606e-01,1.000000000000000000e+00
2.183319519405753084e-01,1.460696969696969916e+01,2.782972154717917590e-01,1.000000000000000000e+00
2.741426833975033617e-01,1.521484848484848840e+01,4.316004420150960641e-01,1.000000000000000000e+00
3.299534148544311929e-01,1.582272727272727408e+01,5.860130474475431228e-01,1.000000000000000000e+00
3.857641463113592462e-01,1.643060606060606332e+01,7.378468607682906466e-01,1.000000000000000000e+00
4.415748777682872994e-01,1.703848484848484901e+01,8.834137109764963469e-01,1.000000000000000000e+00
4.973856092252151306e-01,1.764636363636363825e+01,1.019025427071317935e+00,1.000000000000000000e+00
5.531963406821431839e-01,1.825424242424242749e+01,1.140993838051912235e+00,1.000000000000000000e+00
6.090070721390712372e-01,1.886212121212121318e+01,1.245630772917437845e+00,1.000000000000000000e+00
6.648178035959992904e-01,1.947000000000000242e+01,1.329248060667050702e+00,1.000000000000000000e+00
7.206285350529273437e-01,2.007787878787879166e+01,1.388882277202978521e+00,1.000000000000000000e+00
7.764392665098551749e-01,2.068575757575757734e+01,1.424468986039726381e+00,1.000000000000000000e+00
8.322499979667834502e-01,2.129363636363636658e+01,1.436668497594862259e+00,1.000000000000000000e+00
8.880607294237110594e-01,2.190151515151515227e+01,1.426141122285964791e+00,1.000000000000000000e+00
9.438714608806391126e-01,2.250939393939394151e+01,1.393547170530601953e+00,1.000000000000000000e+00
9.996821923375671659e-01,2.311727272727272720e+01,1.339546952746349717e+00,1.000000000000000000e+00
1.055492923794495219e+00,2.372515151515151643e+01,1.264800779350778726e+00,1.000000000000000000e+00
1.111303655251423272e+00,2.433303030303030567e+01,1.169968960761465837e+00,1.000000000000000000e+00
1.167114386708351326e+00,2.494090909090909491e+01,1.055711807395979918e+00,1.000000000000000000e+00
1.222925118165279379e+00,2.554878787878788415e+01,9.226896296718942736e-01,1.000000000000000000e+00
1.278735849622206988e+00,2.615666666666666629e+01,7.715627380067839880e-01,1.000000000000000000e+00
1.334546581079135041e+00,2.676454545454545553e+01,6.029914428182188146e-01,1.000000000000000000e+00
1.390357312536063095e+00,2.737242424242424477e+01,4.176360545237729482e-01,1.000000000000000000e+00
1.446168043992991148e+00,2.798030303030303401e+01,2.161568835410188072e-01,1.000000000000000000e+00
1.501978775449919201e+00,2.858818181818182325e+01,-7.857597124685256063e-04,1.000000000000000000e+00
1.557789506906847254e+00,2.919606060606061249e+01,-2.325315648191192963e-01,1.000000000000000000e+00
