x_scaled,x_raw,phi,in_train_support
-2.970168475690288634e+00,-1.001599999999999966e+02,-5.136553964255908156e+00,0.000000000000000000e+00
-2.904094462723880721e+00,-9.793454545454545723e+01,-4.427391505516169445e+00,0.000000000000000000e+00
-2.838020449757472807e+00,-9.570909090909091788e+01,-3.771952007946475671e+00,0.000000000000000000e+00
-2.771946436791064894e+00,-9.348363636363636431e+01,-3.167900850240260358e+00,0.000000000000000000e+00
-2.705872423824656980e+00,-9.125818181818182495e+01,-2.612903411090950367e+00,0.000000000000000000e+00
-2.639798410858249067e+00,-8.903272727272728559e+01,-2.104625069191979669e+00,0.000000000000000000e+00
-2.573724397891841154e+00,-8.680727272727273203e+01,-1.640731203236778679e+00,0.000000000000000000e+00
-2.507650384925432796e+00,-8.458181818181817846e+01,-1.218887191918779145e+00,0.000000000000000000e+00
-2.441576371959024883e+00,-8.235636363636362489e+01,-8.367584139314163671e-01,0.000000000000000000e+00
-2.375502358992616969e+00,-8.013090909090908553e+01,-4.920102479681194296e-01,0.000000000000000000e+00
-2.309428346026209056e+00,-7.790545454545454618e+01,-1.823080727223196362e-01,0.000000000000000000e+00
-2.243354333059801142e+00,-7.567999999999999261e+01,9.468273311255037683e-02,0.000000000000000000e+00
-2.177280320093393229e+00,-7.345454545454545325e+01,3.412967908430595276e-01,1.000000000000000000e+00
-2.111206307126985315e+00,-7.122909090909091390e+01,5.598687217757760681e-01,1.000000000000000000e+00
-2.045132294160577402e+00,-6.900363636363636033e+01,7.527331472172682503e-01,1.000000000000000000e+00
-1.979058281194169489e+00,-6.677818181818182097e+01,9.222246884741043260e-01,1.000000000000000000e+00
-1.912984268227761575e+00,-6.455272727272728162e+01,1.070677966852852769e+00,1.000000000000000000e+00
-1.846910255261353662e+00,-6.232727272727272094e+01,1.200387232464555032e+00,1.000000000000000000e+00
-1.780836242294945748e+00,-6.010181818181818159e+01,1.312718197923147478e+00,1.000000000000000000e+00
