x_scaled,x_raw,phi,in_train_support
-5.092165473751498972e+00,-4.705000000000002558e+01,-1.193275957496503459e+01,0.000000000000000000e+00
-5.019233846445548153e+00,-4.493787878787880175e+01,-1.154491661704697236e+01,0.000000000000000000e+00
-4.946302219139597334e+00,-4.282575757575760633e+01,-1.118017197761179204e+01,0.000000000000000000e+00
-4.873370591833646515e+00,-4.071363636363638250e+01,-1.083729824554751886e+01,0.000000000000000000e+00
-4.800438964527695695e+00,-3.860151515151515866e+01,-1.051506800974217803e+01,0.000000000000000000e+00
-4.727507337221745765e+00,-3.648939393939396325e+01,-1.021225385908379479e+01,0.000000000000000000e+00
-4.654575709915794945e+00,-3.437727272727276784e+01,-9.927628382460389034e+00,0.000000000000000000e+00
-4.581644082609844126e+00,-3.226515151515154400e+01,-9.659964168759989533e+00,0.000000000000000000e+00
-4.508712455303893307e+00,-3.015303030303032017e+01,-9.408033806870619742e+00,0.000000000000000000e+00
-4.435780827997942488e+00,-2.804090909090912476e+01,-9.170609885680301332e+00,0.000000000000000000e+00
-4.362849200691991669e+00,-2.592878787878790092e+01,-8.946464994077063082e+00,0.000000000000000000e+00
-4.289917573386040850e+00,-2.381666666666667709e+01,-8.734371720948928441e+00,0.000000000000000000e+00
-4.216985946080090031e+00,-2.170454545454546746e+01,-8.533102655183919083e+00,0.000000000000000000e+00
-4.144054318774139212e+00,-1.959242424242425784e+01,-8.341430385670063785e+00,0.000000000000000000e+00
-4.071122691468188393e+00,-1.748030303030303401e+01,-8.158127501295380668e+00,0.000000000000000000e+00
-3.998191064162238462e+00,-1.536818181818185280e+01,-7.981966590947903839e+00,0.000000000000000000e+00
-3.925259436856287643e+00,-1.325606060606062897e+01,-7.811720243515647866e+00,0.000000000000000000e+00
-3.852327809550336823e+00,-1.114393939393941935e+01,-7.646181597899278870e+00,0.000000000000000000e+00
-3.779396182244386004e+00,-9.031818181818209723e+00,-7.484616443290118326e+00,0.000000000000000000e+00
-3.706464554938435185e+00,-6.919696969696985889e+00,-7.326763219170148389e+00,0.000000000000000000e+00
