x_scaled,x_raw,phi,in_train_support
-1.176956878856082245e+00,-5.899999999999980815e-01,-1.058131039686553976e+00,0.000000000000000000e+00
-1.121136120293092731e+00,1.787878787878938169e-02,-8.043613722621563156e-01,1.000000000000000000e+00
-1.065315361730103216e+00,6.257575757575786213e-01,-5.787597036716309873e-01,1.000000000000000000e+00
-1.009494603167113702e+00,1.233636363636366085e+00,-3.794036514816796490e-01,1.000000000000000000e+00
-9.536738446041242989e-01,1.841515151515153548e+00,-2.043708332590075116e-01,1.000000000000000000e+00
-8.978530860411348957e-01,2.449393939393941011e+00,-5.173886657031356862e-02,1.000000000000000000e+00
-8.420323274781453815e-01,3.057272727272728474e+00,8.041463101769785737e-02,1.000000000000000000e+00
-7.862115689151558673e-01,3.665151515151517714e+00,1.940120419383237760e-01,1.000000000000000000e+00
-7.303908103521663531e-01,4.273030303030306065e+00,2.909757486248647496e-01,1.000000000000000000e+00
-6.745700517891769499e-01,4.880909090909092640e+00,3.732281335106133469e-01,1.000000000000000000e+00
-6.187492932261874357e-01,5.488787878787880992e+00,4.426915790288719066e-01,1.000000000000000000e+00
-5.629285346631979214e-01,6.096666666666669343e+00,5.012884676129347739e-01,1.000000000000000000e+00
-5.071077761002085182e-01,6.704545454545456806e+00,5.509411816960980701e-01,1.000000000000000000e+00
-4.512870175372190040e-01,7.312424242424245158e+00,5.935721037116650223e-01,1.000000000000000000e+00
-3.954662589742294898e-01,7.920303030303033509e+00,6.311036160929290872e-01,1.000000000000000000e+00
-3.396455004112400866e-01,8.528181818181820972e+00,6.654581012731881628e-01,1.000000000000000000e+00
-2.838247418482505724e-01,9.136060606060608436e+00,6.985579416857392587e-01,1.000000000000000000e+00
-2.280039832852610582e-01,9.743939393939395899e+00,7.322703595526478537e-01,1.000000000000000000e+00
-1.721832247222716550e-01,1.035181818181818336e+01,7.671938922376151382e-01,1.000000000000000000e+00
-1.163624661592821408e-01,1.095969696969697260e+01,8.026583922459806786e-01,1.000000000000000000e+00
-6.054170759629262655e-02,1.156757575757576006e+01,8.379385518718489578e-01,1.000000000000000000e+00
-4.720949033303112330e-03,1.217545454545454930e+01,8.723090634093288998e-01,1.000000000000000000e+00
5.109980952968640189e-02,1.278333333333333677e+01,9.050446191525240991e-01,1.000000000000000000e+00
1.069205680926756941e-01,1.339121212121212423e+01,9.354199113955390388e-01,1.000000000000000000e+00
1.627413266556652083e-01,1.399909090909091169e+01,9.627096324324844190e-01,1.000000000000000000e+00
2.185620852186547225e-01,1.460696969696969916e+01,9.861884745574620581e-01,1.000000000000000000e+00
2.743828437816442367e-01,1.521484848484848840e+01,1.005131130064579104e+00,1.000000000000000000e+00
3.302036023446337509e-01,1.582272727272727764e+01,1.018812291247941815e+00,1.000000000000000000e+00
3.860243609076232651e-01,1.643060606060606688e+01,1.026506650401656451e+00,1.000000000000000000e+00
4.418451194706125573e-01,1.703848484848484901e+01,1.027488899819825718e+00,1.000000000000000000e+00
4.976658780336020715e-01,1.764636363636363825e+01,1.021033731796562094e+00,1.000000000000000000e+00
5.534866365965915858e-01,1.825424242424242749e+01,1.006415838625965620e+00,1.000000000000000000e+00
6.093073951595811000e-01,1.886212121212121673e+01,9.829099126021434429e-01,1.000000000000000000e+00
6.651281537225706142e-01,1.947000000000000597e+01,9.497906460192035993e-01,1.000000000000000000e+00
7.209489122855601284e-01,2.007787878787879166e+01,9.064949027281610228e-01,1.000000000000000000e+00
7.767696708485496426e-01,2.068575757575758090e+01,8.531082328076742272e-01,1.000000000000000000e+00
8.325904294115389348e-01,2.129363636363636658e+01,7.898783578933121774e-01,1.000000000000000000e+00
8.884111879745284490e-01,2.190151515151515582e+01,7.170529996206402856e-01,1.000000000000000000e+00
9.442319465375179632e-01,2.250939393939394506e+01,6.348798796252319576e-01,1.000000000000000000e+00
1.000052705100507477e+00,2.311727272727273075e+01,5.436067195426526055e-01,1.000000000000000000e+00
1.055873463663496992e+00,2.372515151515151999e+01,4.434812410084703060e-01,1.000000000000000000e+00
1.111694222226486506e+00,2.433303030303030567e+01,3.347511656582558004e-01,1.000000000000000000e+00
