x_scaled,x_raw,phi,in_train_support
-7.005148738207158665e-01,-3.719999999999998863e+00,2.242721528568228651e-01,0.000000000000000000e+00
-6.329024679706121148e-01,1.127272727272767838e-01,6.309772893946075101e-02,1.000000000000000000e+00
-5.652900621205084741e-01,3.945454545454545325e+00,-6.467737802290124405e-02,1.000000000000000000e+00
-4.976776562704047779e-01,7.778181818181817420e+00,-1.618479590183698746e-01,1.000000000000000000e+00
-4.300652504203010817e-01,1.161090909090909307e+01,-2.312088050350513957e-01,1.000000000000000000e+00
-3.624528445701973856e-01,1.544363636363636516e+01,-2.755547070610524507e-01,1.000000000000000000e+00
-2.948404387200936894e-01,1.927636363636363726e+01,-2.976804560844792391e-01,1.000000000000000000e+00
-2.272280328699899932e-01,2.310909090909090935e+01,-3.003808430934381546e-01,1.000000000000000000e+00
-1.596156270198862970e-01,2.694181818181818500e+01,-2.864506590760356186e-01,1.000000000000000000e+00
-9.200322116978254527e-02,3.077454545454546064e+01,-2.586846950203782192e-01,1.000000000000000000e+00
-2.439081531967890459e-02,3.460727272727272918e+01,-2.198777419145722944e-01,1.000000000000000000e+00
4.322159053042473609e-02,3.843999999999999773e+01,-1.728245907467241826e-01,1.000000000000000000e+00
1.108339963805284878e-01,4.227272727272727337e+01,-1.203200325049403607e-01,1.000000000000000000e+00
1.784464022306322395e-01,4.610545454545454902e+01,-6.515885817732733343e-02,1.000000000000000000e+00
2.460588080807358802e-01,4.993818181818181756e+01,-1.013585875199133485e-02,1.000000000000000000e+00
3.136712139308395209e-01,5.377090909090908610e+01,4.195417478296094987e-02,1.000000000000000000e+00
3.812836197809432726e-01,5.760363636363636886e+01,8.831645143942348786e-02,1.000000000000000000e+00
4.488960256310470243e-01,6.143636363636363740e+01,1.262315979667345545e-01,1.000000000000000000e+00
5.165084314811507760e-01,6.526909090909092015e+01,1.547148490754696182e-01,1.000000000000000000e+00
5.841208373312543056e-01,6.910181818181817448e+01,1.745160474374400084e-01,1.000000000000000000e+00
6.517332431813580573e-01,7.293454545454545723e+01,1.864604534619026532e-01,1.000000000000000000e+00
7.193456490314618090e-01,7.676727272727273998e+01,1.913733275581141757e-01,1.000000000000000000e+00
7.869580548815653387e-01,8.059999999999999432e+01,1.900799301353315596e-01,1.000000000000000000e+00
8.545704607316690904e-01,8.443272727272727707e+01,1.834055216028113444e-01,1.000000000000000000e+00
9.221828665817728421e-01,8.826545454545454561e+01,1.721753623698101809e-01,1.000000000000000000e+00
9.897952724318765938e-01,9.209818181818181415e+01,1.572147128455848863e-01,1.000000000000000000e+00
1.057407678281980346e+00,9.593090909090909690e+01,1.393488334393922778e-01,1.000000000000000000e+00
1.125020084132083875e+00,9.976363636363636545e+01,1.194029845604889506e-01,1.000000000000000000e+00
1.192632489982187627e+00,1.035963636363636340e+02,9.820242661813166629e-02,1.000000000000000000e+00
1.260244895832291379e+00,1.074290909090909167e+02,7.657242002157718663e-02,1.000000000000000000e+00
1.327857301682394908e+00,1.112618181818181711e+02,5.533822518008225944e-02,1.000000000000000000e+00
1.395469707532498660e+00,1.150945454545454538e+02,3.532510250290350068e-02,1.000000000000000000e+00
1.463082113382602412e+00,1.189272727272727366e+02,1.735831239929778308e-02,1.000000000000000000e+00
1.530694519232706163e+00,1.227600000000000193e+02,2.263115278521743434e-03,1.000000000000000000e+00
1.598306925082809915e+00,1.265927272727272737e+02,-9.319933827744646127e-03,1.000000000000000000e+00
1.665919330932913667e+00,1.304254545454545564e+02,-1.748910139812851622e-02,1.000000000000000000e+00
1.733531736783017418e+00,1.342581818181818392e+02,-2.252735928883380784e-02,1.000000000000000000e+00
1.801144142633120726e+00,1.380909090909090935e+02,-2.471767935606452443e-02,1.000000000000000000e+00
1.868756548483224478e+00,1.419236363636363762e+02,-2.434303345602458618e-02,1.000000000000000000e+00
1.936368954333328229e+00,1.457563636363636306e+02,-2.168639344491790633e-02,1.000000000000000000e+00
2.003981360183431981e+00,1.495890909090909133e+02,-1.703073117894843974e-02,1.000000000000000000e+00
2.071593766033535733e+00,1.534218181818181961e+02,-1.065901851432014824e-02,1.000000000000000000e+00
2.139206171883639485e+00,1.572545454545454788e+02,-2.854227307236952005e-03,1.000000000000000000e+00
2.206818577733743236e+00,1.610872727272727332e+02,6.100670586097221848e-03,1.000000000000000000e+00
2.274430983583846544e+00,1.649199999999999875e+02,1.592270330947830048e-02,1.000000000000000000e+00
2.342043389433950296e+00,1.687527272727272702e+02,2.632889900670255801e-02,1.000000000000000000e+00
2.409655795284054047e+00,1.725854545454545530e+02,3.703628582156592158e-02,1.000000000000000000e+00
2.477268201134157799e+00,1.764181818181818358e+02,4.776189189786450573e-02,1.000000000000000000e+00
2.544880606984261551e+00,1.802509090909091185e+02,5.822274537939428618e-02,1.000000000000000000e+00
2.612493012834365302e+00,1.840836363636363728e+02,6.813587440995141908e-02,1.000000000000000000e+00
2.680105418684469054e+00,1.879163636363636556e+02,7.722517871548617574e-02,1.000000000000000000e+00
2.747717824534572806e+00,1.917490909090909383e+02,8.537260441149827073e-02,1.000000000000000000e+00
2.815330230384676558e+00,1.955818181818182211e+02,9.261814400303652883e-02,1.000000000000000000e+00
2.882942636234779865e+00,1.994145454545454470e+02,9.900866157730420225e-02,1.000000000000000000e+00
2.950555042084883617e+00,2.032472727272727298e+02,1.045910212215045154e-01,1.000000000000000000e+00
