x_scaled,x_raw,phi,in_train_support
-1.071192539023911205e+00,2.980000000000003979e+00,-4.413267020578608424e+00,0.000000000000000000e+00
-9.710863445573988395e-01,7.121818181818184712e+00,-3.437390565966234490e+00,0.000000000000000000e+00
-8.709801500908864735e-01,1.126363636363636545e+01,-2.577274392802805902e+00,0.000000000000000000e+00
-7.708739556243739965e-01,1.540545454545454973e+01,-1.825929232180884654e+00,1.000000000000000000e+00
-6.707677611578616306e-01,1.954727272727273046e+01,-1.176365815193032294e+00,1.000000000000000000e+00
-5.706615666913492646e-01,2.368909090909091120e+01,-6.215948729318090393e-01,1.000000000000000000e+00
-4.705553722248367876e-01,2.783090909090909904e+01,-1.546271364897759959e-01,1.000000000000000000e+00
-3.704491777583244216e-01,3.197272727272727977e+01,2.315266630405061754e-01,1.000000000000000000e+00
-2.703429832918120557e-01,3.611454545454546405e+01,5.438557945664768134e-01,1.000000000000000000e+00
-1.702367888252996897e-01,4.025636363636363768e+01,7.893495269955739246e-01,1.000000000000000000e+00
-7.013059435878732373e-02,4.439818181818181841e+01,9.749971292352377361e-01,1.000000000000000000e+00
2.997560010772515326e-02,4.854000000000000625e+01,1.107787870192907143e+00,1.000000000000000000e+00
1.300817945742376303e-01,5.268181818181819409e+01,1.194711018776020595e+00,1.000000000000000000e+00
2.301879890407498852e-01,5.682363636363636772e+01,1.242755843892018763e+00,1.000000000000000000e+00
3.302941835072623622e-01,6.096545454545455556e+01,1.258911614448338323e+00,1.000000000000000000e+00
4.304003779737746171e-01,6.510727272727272918e+01,1.250167599352419945e+00,1.000000000000000000e+00
5.305065724402870941e-01,6.924909090909090992e+01,1.223513067511702967e+00,1.000000000000000000e+00
6.306127669067995711e-01,7.339090909090910486e+01,1.185802965697995148e+00,1.000000000000000000e+00
7.307189613733118261e-01,7.753272727272727138e+01,1.140802831563591635e+00,1.000000000000000000e+00
8.308251558398243031e-01,8.167454545454546633e+01,1.089188793641270081e+00,1.000000000000000000e+00
9.309313503063365580e-01,8.581636363636363285e+01,1.031502658328184108e+00,1.000000000000000000e+00
1.031037544772849035e+00,8.995818181818182779e+01,9.682862320214824514e-01,1.000000000000000000e+00
1.131143739239361512e+00,9.410000000000000853e+01,9.000813211183129603e-01,1.000000000000000000e+00
1.231249933705873989e+00,9.824181818181818926e+01,8.274297320158270352e-01,1.000000000000000000e+00
1.331356128172386466e+00,1.023836363636363842e+02,7.508732711111743008e-01,1.000000000000000000e+00
1.431462322638898499e+00,1.065254545454545507e+02,6.709537448015048255e-01,1.000000000000000000e+00
1.531568517105410976e+00,1.106672727272727315e+02,5.882129594839669018e-01,1.000000000000000000e+00
1.631674711571923453e+00,1.148090909090909122e+02,5.031927215557114863e-01,1.000000000000000000e+00
1.731780906038435930e+00,1.189509090909091071e+02,4.164348374138886477e-01,1.000000000000000000e+00
1.831887100504948407e+00,1.230927272727272737e+02,3.284811134556475665e-01,1.000000000000000000e+00
1.931993294971460440e+00,1.272345454545454402e+02,2.398733560781374230e-01,1.000000000000000000e+00
2.032099489437972917e+00,1.313763636363636351e+02,1.511533716785096182e-01,1.000000000000000000e+00
2.132205683904485394e+00,1.355181818181818301e+02,6.286296665391177818e-02,1.000000000000000000e+00
2.232311878370997871e+00,1.396599999999999966e+02,-2.445605259850469615e-02,1.000000000000000000e+00
2.332418072837510348e+00,1.438018181818181915e+02,-1.103565033169260357e-01,1.000000000000000000e+00
2.432524267304022381e+00,1.479436363636363581e+02,-1.947696972808776739e-01,1.000000000000000000e+00
2.532630461770534858e+00,1.520854545454545530e+02,-2.777215699052231201e-01,1.000000000000000000e+00
2.632736656237047335e+00,1.562272727272727195e+02,-3.592380566048225532e-01,1.000000000000000000e+00
2.732842850703559812e+00,1.603690909090909145e+02,-4.393450927945379281e-01,1.000000000000000000e+00
2.832949045170072289e+00,1.645109090909091094e+02,-5.180686138892307557e-01,1.000000000000000000e+00
2.933055239636584322e+00,1.686527272727272759e+02,-5.954345553037625471e-01,1.000000000000000000e+00
3.033161434103096799e+00,1.727945454545454425e+02,-6.714688524529954794e-01,1.000000000000000000e+00
3.133267628569609276e+00,1.769363636363636374e+02,-7.461974407517910635e-01,1.000000000000000000e+00
3.233373823036121752e+00,1.810781818181818323e+02,-8.196462556150106993e-01,1.000000000000000000e+00
3.333480017502634229e+00,1.852199999999999989e+02,-8.918412324575162309e-01,1.000000000000000000e+00
3.433586211969146706e+00,1.893618181818181938e+02,-9.628083066941689472e-01,1.000000000000000000e+00
3.533692406435659183e+00,1.935036363636363888e+02,-1.032573413739831025e+00,1.000000000000000000e+00
