x_scaled,x_raw,phi,in_train_support
-3.177234125827272937e+00,-3.987499999999999432e+02,-5.910804739313777922e+00,0.000000000000000000e+00
-3.096989923687922808e+00,-3.887045454545453822e+02,-5.460172934136859446e+00,0.000000000000000000e+00
-3.016745721548573123e+00,-3.786590909090908781e+02,-5.038201118676346013e+00,0.000000000000000000e+00
-2.936501519409222993e+00,-3.686136363636363171e+02,-4.643580264443552430e+00,0.000000000000000000e+00
-2.856257317269872864e+00,-3.585681818181817562e+02,-4.275001342949791727e+00,0.000000000000000000e+00
-2.776013115130523179e+00,-3.485227272727272521e+02,-3.931155325706384041e+00,0.000000000000000000e+00
-2.695768912991173050e+00,-3.384772727272726911e+02,-3.610733184224638848e+00,0.000000000000000000e+00
-2.615524710851823365e+00,-3.284318181818181870e+02,-3.312425890015876284e+00,0.000000000000000000e+00
-2.535280508712473235e+00,-3.183863636363636260e+02,-3.034924414591407604e+00,0.000000000000000000e+00
-2.455036306573123106e+00,-3.083409090909090651e+02,-2.776919729462547615e+00,0.000000000000000000e+00
-2.374792104433772977e+00,-2.982954545454545041e+02,-2.537102806140613787e+00,1.000000000000000000e+00
-2.294547902294423292e+00,-2.882500000000000000e+02,-2.314164616136922703e+00,1.000000000000000000e+00
-2.214303700155073162e+00,-2.782045454545454390e+02,-2.106796130962784730e+00,1.000000000000000000e+00
-2.134059498015723477e+00,-2.681590909090909349e+02,-1.913688322129519781e+00,1.000000000000000000e+00
-2.053815295876373348e+00,-2.581136363636363740e+02,-1.733532161148438666e+00,1.000000000000000000e+00
-1.973571093737023219e+00,-2.480681818181817562e+02,-1.565018619530857746e+00,1.000000000000000000e+00
-1.893326891597673312e+00,-2.380227272727272236e+02,-1.406838668788094937e+00,1.000000000000000000e+00
-1.813082689458323404e+00,-2.279772727272726911e+02,-1.257705905484903353e+00,1.000000000000000000e+00
-1.732838487318973275e+00,-2.179318181818181301e+02,-1.116854302415167366e+00,1.000000000000000000e+00
-1.652594285179623368e+00,-2.078863636363635976e+02,-9.840382086019052732e-01,1.000000000000000000e+00
-1.572350083040273461e+00,-1.978409090909090651e+02,-8.590345981215719018e-01,1.000000000000000000e+00
-1.492105880900923331e+00,-1.877954545454545041e+02,-7.416204450506238555e-01,1.000000000000000000e+00
-1.411861678761573424e+00,-1.777499999999999716e+02,-6.315727234655172939e-01,1.000000000000000000e+00
-1.331617476622223517e+00,-1.677045454545454390e+02,-5.286684074427074886e-01,1.000000000000000000e+00
-1.251373274482873388e+00,-1.576590909090908497e+02,-4.326844710586514875e-01,1.000000000000000000e+00
