x_scaled,x_raw,phi,in_train_support
-2.886154215724114014e+00,-6.600000000000036948e-01,-6.793739302564663518e+00,0.000000000000000000e+00
-2.827236029207923718e+00,2.000000000000312639e-02,-6.390919578160803027e+00,1.000000000000000000e+00
-2.768317842691733421e+00,6.999999999999992895e-01,-6.011725394274384016e+00,1.000000000000000000e+00
-2.709399656175543569e+00,1.379999999999995453e+00,-5.654885909509016706e+00,1.000000000000000000e+00
-2.650481469659353273e+00,2.059999999999998721e+00,-5.319130282468310433e+00,1.000000000000000000e+00
-2.591563283143162977e+00,2.739999999999998437e+00,-5.003187671755875421e+00,1.000000000000000000e+00
-2.532645096626972681e+00,3.419999999999998153e+00,-4.705787235975321892e+00,1.000000000000000000e+00
-2.473726910110782384e+00,4.100000000000001421e+00,-4.425658133730260957e+00,1.000000000000000000e+00
-2.414808723594592088e+00,4.780000000000001137e+00,-4.161529523624304616e+00,1.000000000000000000e+00
-2.355890537078402236e+00,5.459999999999997300e+00,-3.912130564261061316e+00,1.000000000000000000e+00
-2.296972350562211940e+00,6.139999999999997016e+00,-3.676190414244140392e+00,1.000000000000000000e+00
-2.238054164046021643e+00,6.820000000000000284e+00,-3.452438232177153399e+00,1.000000000000000000e+00
-2.179135977529831347e+00,7.500000000000000000e+00,-3.239603176663710116e+00,1.000000000000000000e+00
-2.120217791013641495e+00,8.179999999999996163e+00,-3.036414406307422986e+00,1.000000000000000000e+00
-2.061299604497451199e+00,8.859999999999995879e+00,-2.841601079711900013e+00,1.000000000000000000e+00
-2.002381417981260903e+00,9.539999999999999147e+00,-2.653892355480751863e+00,1.000000000000000000e+00
-1.943463231465070606e+00,1.021999999999999886e+01,-2.472017392217589649e+00,1.000000000000000000e+00
-1.884545044948880310e+00,1.089999999999999858e+01,-2.294729242361441379e+00,1.000000000000000000e+00
-1.825626858432690236e+00,1.157999999999999829e+01,-2.121330516565965496e+00,1.000000000000000000e+00
-1.766708671916499940e+00,1.225999999999999801e+01,-1.951673383699445541e+00,1.000000000000000000e+00
-1.707790485400309866e+00,1.293999999999999773e+01,-1.785633906465588172e+00,1.000000000000000000e+00
-1.648872298884119569e+00,1.361999999999999744e+01,-1.623088147568094275e+00,1.000000000000000000e+00
-1.589954112367929273e+00,1.430000000000000071e+01,-1.463912169710669620e+00,1.000000000000000000e+00
-1.531035925851739199e+00,1.497999999999999687e+01,-1.307982035597018200e+00,1.000000000000000000e+00
-1.472117739335548903e+00,1.566000000000000014e+01,-1.155173807930842678e+00,1.000000000000000000e+00
-1.413199552819358606e+00,1.633999999999999986e+01,-1.005363549415848379e+00,1.000000000000000000e+00
-1.354281366303168532e+00,1.701999999999999602e+01,-8.584273227557384089e-01,1.000000000000000000e+00
-1.295363179786978236e+00,1.769999999999999929e+01,-7.142411906542163180e-01,1.000000000000000000e+00
-1.236444993270787940e+00,1.838000000000000256e+01,-5.726812158149874321e-01,1.000000000000000000e+00
-1.177526806754597866e+00,1.905999999999999872e+01,-4.336234609417548569e-01,1.000000000000000000e+00
-1.118608620238407569e+00,1.974000000000000199e+01,-2.969439887382225862e-01,1.000000000000000000e+00
-1.059690433722217495e+00,2.041999999999999815e+01,-1.625188619080946140e-01,1.000000000000000000e+00
-1.000772247206027199e+00,2.109999999999999787e+01,-3.022414315507493399e-02,1.000000000000000000e+00
