x_scaled,x_raw,phi,in_train_support
-2.632795277403709555e+00,1.150009999999999991e+03,-3.268672104592059924e+01,0.000000000000000000e+00
-2.588161007638407618e+00,1.154120909090909208e+03,-3.140882612689281927e+01,0.000000000000000000e+00
-2.543526737873105681e+00,1.158231818181818198e+03,-3.020674797810555390e+01,0.000000000000000000e+00
-2.498892468107803744e+00,1.162342727272727188e+03,-2.907645570511571620e+01,0.000000000000000000e+00
-2.454258198342501807e+00,1.166453636363636406e+03,-2.801391841348018730e+01,0.000000000000000000e+00
-2.409623928577199869e+00,1.170564545454545396e+03,-2.701510520875588384e+01,0.000000000000000000e+00
-2.364989658811897932e+00,1.174675454545454613e+03,-2.607598519649968338e+01,0.000000000000000000e+00
-2.320355389046595995e+00,1.178786363636363603e+03,-2.519252748226850258e+01,0.000000000000000000e+00
-2.275721119281294058e+00,1.182897272727272821e+03,-2.436070117161922255e+01,0.000000000000000000e+00
-2.231086849515992121e+00,1.187008181818181811e+03,-2.357647537010875283e+01,0.000000000000000000e+00
-2.186452579750690184e+00,1.191119090909091028e+03,-2.283581918329398519e+01,1.000000000000000000e+00
-2.141818309985388247e+00,1.195230000000000018e+03,-2.213470171673182563e+01,1.000000000000000000e+00
-2.097184040220086310e+00,1.199340909090909008e+03,-2.146909207597916236e+01,1.000000000000000000e+00
-2.052549770454784372e+00,1.203451818181818226e+03,-2.083495936659289782e+01,1.000000000000000000e+00
-2.007915500689482435e+00,1.207562727272727216e+03,-2.022827269412993090e+01,1.000000000000000000e+00
-1.963281230924180498e+00,1.211673636363636433e+03,-1.964500116414715691e+01,1.000000000000000000e+00
-1.918646961158878561e+00,1.215784545454545423e+03,-1.908111388220147830e+01,1.000000000000000000e+00
-1.874012691393576624e+00,1.219895454545454413e+03,-1.853264718645124276e+01,1.000000000000000000e+00
-1.829378421628274687e+00,1.224006363636363631e+03,-1.799718376488826976e+01,1.000000000000000000e+00
-1.784744151862972750e+00,1.228117272727272621e+03,-1.747385265533785059e+01,1.000000000000000000e+00
-1.740109882097670813e+00,1.232228181818181838e+03,-1.696185012822672888e+01,1.000000000000000000e+00
-1.695475612332368875e+00,1.236339090909090828e+03,-1.646037245398164117e+01,1.000000000000000000e+00
-1.650841342567066938e+00,1.240450000000000045e+03,-1.596861590302933465e+01,1.000000000000000000e+00
-1.606207072801764779e+00,1.244560909090909036e+03,-1.548577674579655117e+01,1.000000000000000000e+00
-1.561572803036462842e+00,1.248671818181818253e+03,-1.501105125271003438e+01,1.000000000000000000e+00
-1.516938533271160905e+00,1.252782727272727243e+03,-1.454363569419652613e+01,1.000000000000000000e+00
-1.472304263505858968e+00,1.256893636363636460e+03,-1.408272634068276474e+01,1.000000000000000000e+00
-1.427669993740557031e+00,1.261004545454545450e+03,-1.362751946259549918e+01,1.000000000000000000e+00
-1.383035723975255094e+00,1.265115454545454668e+03,-1.317721133036146597e+01,1.000000000000000000e+00
-1.338401454209953156e+00,1.269226363636363658e+03,-1.273099821440741408e+01,1.000000000000000000e+00
-1.293767184444651219e+00,1.273337272727272648e+03,-1.228807638516007827e+01,1.000000000000000000e+00
-1.249132914679349282e+00,1.277448181818181865e+03,-1.184764211304620929e+01,1.000000000000000000e+00
-1.204498644914047345e+00,1.281559090909090855e+03,-1.140889166849254366e+01,1.000000000000000000e+00
-1.159864375148745408e+00,1.285670000000000073e+03,-1.097102132192582502e+01,1.000000000000000000e+00
-1.115230105383443471e+00,1.289780909090909063e+03,-1.053336106961417507e+01,1.000000000000000000e+00
-1.070595835618141534e+00,1.293891818181818280e+03,-1.009577581119121348e+01,1.000000000000000000e+00
-1.025961565852839597e+00,1.298002727272727270e+03,-9.658264172131943326e+00,1.000000000000000000e+00
-9.813272960875376594e-01,1.302113636363636260e+03,-9.220824777911362347e+00,1.000000000000000000e+00
-9.366930263222357222e-01,1.306224545454545478e+03,-8.783456254004470054e+00,1.000000000000000000e+00
-8.920587565569337851e-01,1.310335454545454468e+03,-8.346157225886269515e+00,1.000000000000000000e+00
-8.474244867916318480e-01,1.314446363636363685e+03,-7.908926319031758467e+00,1.000000000000000000e+00
-8.027902170263299109e-01,1.318557272727272675e+03,-7.471762158915935537e+00,1.000000000000000000e+00
-7.581559472610279737e-01,1.322668181818181893e+03,-7.034663371013802902e+00,1.000000000000000000e+00
-7.135216774957260366e-01,1.326779090909090883e+03,-6.597628580800359188e+00,1.000000000000000000e+00
