x_scaled,x_raw,phi,in_train_support
-1.071101286877725878e+00,2.980000000000003979e+00,7.071373208431406709e+00,0.000000000000000000e+00
-9.710155794666651685e-01,7.121818181818184712e+00,6.225764480535758594e+00,0.000000000000000000e+00
-8.709298720556045703e-01,1.126363636363636545e+01,5.411091706016616598e+00,0.000000000000000000e+00
-7.708441646445438611e-01,1.540545454545454618e+01,4.626082389154014152e+00,1.000000000000000000e+00
-6.707584572334832629e-01,1.954727272727272336e+01,3.869464034228037974e+00,1.000000000000000000e+00
-5.706727498224225537e-01,2.368909090909090764e+01,3.139964145518760574e+00,1.000000000000000000e+00
-4.705870424113618444e-01,2.783090909090908838e+01,2.436310227306243803e+00,1.000000000000000000e+00
-3.705013350003012462e-01,3.197272727272726911e+01,1.757229783870560169e+00,1.000000000000000000e+00
-2.704156275892405370e-01,3.611454545454544984e+01,1.101450319491760865e+00,1.000000000000000000e+00
-1.703299201781798278e-01,4.025636363636363058e+01,4.676993384499397166e-01,1.000000000000000000e+00
-7.024421276711922957e-02,4.439818181818181131e+01,-1.452956549748520843e-01,1.000000000000000000e+00
2.984149464394136864e-02,4.853999999999999204e+01,-7.388071565025420284e-01,1.000000000000000000e+00
1.299272020550021889e-01,5.268181818181817988e+01,-1.314107661853068265e+00,1.000000000000000000e+00
2.300129094660627871e-01,5.682363636363635351e+01,-1.872469666746351180e+00,1.000000000000000000e+00
3.300986168771233853e-01,6.096545454545453424e+01,-2.415165666902328923e+00,1.000000000000000000e+00
4.301843242881842055e-01,6.510727272727271497e+01,-2.943468158040937865e+00,1.000000000000000000e+00
5.302700316992448037e-01,6.924909090909089571e+01,-3.458649635882100171e+00,1.000000000000000000e+00
6.303557391103054020e-01,7.339090909090907644e+01,-3.961969633644674360e+00,1.000000000000000000e+00
7.304414465213662222e-01,7.753272727272727138e+01,-4.454389547022675089e+00,1.000000000000000000e+00
8.305271539324268204e-01,8.167454545454543791e+01,-4.936572634185260711e+00,1.000000000000000000e+00
9.306128613434874186e-01,8.581636363636361864e+01,-5.409169190800527716e+00,1.000000000000000000e+00
1.030698568754548239e+00,8.995818181818179937e+01,-5.872829512536570817e+00,1.000000000000000000e+00
1.130784276165608615e+00,9.409999999999998010e+01,-6.328203895061474071e+00,1.000000000000000000e+00
1.230869983576669435e+00,9.824181818181816084e+01,-6.775942634043328638e+00,1.000000000000000000e+00
1.330955690987730256e+00,1.023836363636363558e+02,-7.216696025150225680e+00,1.000000000000000000e+00
1.431041398398790632e+00,1.065254545454545223e+02,-7.651114364050252803e+00,1.000000000000000000e+00
1.531127105809851452e+00,1.106672727272727172e+02,-8.079847946411504722e+00,1.000000000000000000e+00
1.631212813220912272e+00,1.148090909090908838e+02,-8.503547067902072598e+00,1.000000000000000000e+00
1.731298520631972648e+00,1.189509090909090503e+02,-8.922862024190036934e+00,1.000000000000000000e+00
1.831384228043033469e+00,1.230927272727272452e+02,-9.338443110943494219e+00,1.000000000000000000e+00
1.931469935454094289e+00,1.272345454545454402e+02,-9.750940623830535614e+00,1.000000000000000000e+00
2.031555642865154887e+00,1.313763636363636067e+02,-1.016100485851924873e+01,1.000000000000000000e+00
2.131641350276215263e+00,1.355181818181817732e+02,-1.056928611067772650e+01,1.000000000000000000e+00
2.231727057687276528e+00,1.396599999999999966e+02,-1.097643467597405653e+01,1.000000000000000000e+00
2.331812765098336904e+00,1.438018181818181631e+02,-1.138299325919101790e+01,1.000000000000000000e+00
2.431898472509397280e+00,1.479436363636363296e+02,-1.178907420157013419e+01,1.000000000000000000e+00
2.531984179920458544e+00,1.520854545454545246e+02,-1.219468225346762758e+01,1.000000000000000000e+00
2.632069887331518920e+00,1.562272727272726911e+02,-1.259982216523971132e+01,1.000000000000000000e+00
2.732155594742579297e+00,1.603690909090908860e+02,-1.300449868724260227e+01,1.000000000000000000e+00
2.832241302153640561e+00,1.645109090909090810e+02,-1.340871656983251548e+01,1.000000000000000000e+00
2.932327009564700937e+00,1.686527272727272475e+02,-1.381248056336566421e+01,1.000000000000000000e+00
3.032412716975761313e+00,1.727945454545454140e+02,-1.421579541819826531e+01,1.000000000000000000e+00
3.132498424386822578e+00,1.769363636363636090e+02,-1.461866588468653916e+01,1.000000000000000000e+00
3.232584131797882954e+00,1.810781818181817755e+02,-1.502109671318669371e+01,1.000000000000000000e+00
3.332669839208943330e+00,1.852199999999999420e+02,-1.542309265405495111e+01,1.000000000000000000e+00
3.432755546620004594e+00,1.893618181818181654e+02,-1.582465845764752643e+01,1.000000000000000000e+00
3.532841254031064970e+00,1.935036363636363319e+02,-1.622579887432063117e+01,1.000000000000000000e+00
3.632926961442125346e+00,1.976454545454544984e+02,-1.662651865443048393e+01,1.000000000000000000e+00
3.733012668853186611e+00,2.017872727272726934e+02,-1.702682254833330333e+01,1.000000000000000000e+00
3.833098376264246987e+00,2.059290909090908599e+02,-1.742671530638530086e+01,1.000000000000000000e+00
3.933184083675307363e+00,2.100709090909090264e+02,-1.782620180492328288e+01,1.000000000000000000e+00
4.033269791086368627e+00,2.142127272727272498e+02,-1.822528981783765190e+01,0.000000000000000000e+00
4.133355498497429004e+00,2.183545454545454163e+02,-1.862399001657239594e+01,0.000000000000000000e+00
4.233441205908489380e+00,2.224963636363635828e+02,-1.902231319855209435e+01,0.000000000000000000e+00
4.333526913319550644e+00,2.266381818181817778e+02,-1.942027016120133354e+01,0.000000000000000000e+00
4.433612620730611020e+00,2.307799999999999727e+02,-1.981787170194468928e+01,0.000000000000000000e+00
4.533698328141671396e+00,2.349218181818181392e+02,-2.021512861820675155e+01,0.000000000000000000e+00
4.633784035552732661e+00,2.390636363636363342e+02,-2.061205170741209614e+01,0.000000000000000000e+00
4.733869742963793037e+00,2.432054545454545007e+02,-2.100865176698530234e+01,0.000000000000000000e+00
4.833955450374853413e+00,2.473472727272726672e+02,-2.140493959435095306e+01,0.000000000000000000e+00
4.934041157785914677e+00,2.514890909090908906e+02,-2.180092598693363470e+01,0.000000000000000000e+00
5.034126865196975054e+00,2.556309090909090571e+02,-2.219662174215792660e+01,0.000000000000000000e+00
5.134212572608035430e+00,2.597727272727272521e+02,-2.259203765744840453e+01,0.000000000000000000e+00
5.234298280019096694e+00,2.639145454545454186e+02,-2.298718453022965846e+01,0.000000000000000000e+00
5.334383987430157070e+00,2.680563636363635851e+02,-2.338207315792626417e+01,0.000000000000000000e+00
5.434469694841217446e+00,2.721981818181817516e+02,-2.377671433796280454e+01,0.000000000000000000e+00
5.534555402252278711e+00,2.763399999999999750e+02,-2.417111886776386598e+01,0.000000000000000000e+00
