x_scaled,x_raw,phi,in_train_support
-2.970831607288222820e+00,-1.001600000000000108e+02,-1.361636304989478674e+01,0.000000000000000000e+00
-2.904748268541263112e+00,-9.793454545454547144e+01,-1.248266972402497643e+01,0.000000000000000000e+00
-2.838664929794303404e+00,-9.570909090909091788e+01,-1.141774532018932042e+01,0.000000000000000000e+00
-2.772581591047343252e+00,-9.348363636363636431e+01,-1.041873617382423056e+01,0.000000000000000000e+00
-2.706498252300383545e+00,-9.125818181818182495e+01,-9.482788620366132903e+00,0.000000000000000000e+00
-2.640414913553423837e+00,-8.903272727272728559e+01,-8.607048995251435741e+00,0.000000000000000000e+00
-2.574331574806464129e+00,-8.680727272727274624e+01,-7.788663633916558915e+00,0.000000000000000000e+00
-2.508248236059504421e+00,-8.458181818181819267e+01,-7.024778871797912494e+00,0.000000000000000000e+00
-2.442164897312544269e+00,-8.235636363636363910e+01,-6.312541044331910101e+00,0.000000000000000000e+00
-2.376081558565584562e+00,-8.013090909090909975e+01,-5.649096486954974239e+00,0.000000000000000000e+00
-2.309998219818624854e+00,-7.790545454545456039e+01,-5.031591535103517643e+00,0.000000000000000000e+00
-2.243914881071664702e+00,-7.568000000000000682e+01,-4.457172524213949494e+00,0.000000000000000000e+00
-2.177831542324705438e+00,-7.345454545454546746e+01,-3.922985789722698513e+00,1.000000000000000000e+00
-2.111748203577745286e+00,-7.122909090909091390e+01,-3.426177667066164112e+00,1.000000000000000000e+00
-2.045664864830785579e+00,-6.900363636363637454e+01,-2.963894491680772791e+00,1.000000000000000000e+00
-1.979581526083825871e+00,-6.677818181818183518e+01,-2.533282599002935065e+00,1.000000000000000000e+00
-1.913498187336865941e+00,-6.455272727272728162e+01,-2.131488324469066775e+00,1.000000000000000000e+00
-1.847414848589906233e+00,-6.232727272727274936e+01,-1.755716164725102058e+00,1.000000000000000000e+00
-1.781331509842946303e+00,-6.010181818181819580e+01,-1.404508324235916206e+00,1.000000000000000000e+00
-1.715248171095986596e+00,-5.787636363636365644e+01,-1.077744715285324340e+00,1.000000000000000000e+00
-1.649164832349026666e+00,-5.565090909090910287e+01,-7.753634113666567629e-01,1.000000000000000000e+00
-1.583081493602066958e+00,-5.342545454545456352e+01,-4.973024859732508851e-01,1.000000000000000000e+00
-1.516998154855107028e+00,-5.120000000000001705e+01,-2.435000125984370101e-01,1.000000000000000000e+00
-1.450914816108147321e+00,-4.897454545454547059e+01,-1.389406473555165888e-02,1.000000000000000000e+00
-1.384831477361187613e+00,-4.674909090909093123e+01,1.915772841220739764e-01,1.000000000000000000e+00
-1.318748138614227683e+00,-4.452363636363637767e+01,3.729759604811055951e-01,1.000000000000000000e+00
-1.252664799867267975e+00,-4.229818181818183831e+01,5.303638908482088965e-01,1.000000000000000000e+00
-1.186581461120308045e+00,-4.007272727272729185e+01,6.638030017300522445e-01,1.000000000000000000e+00
-1.120498122373348338e+00,-3.784727272727274539e+01,7.733552196333022266e-01,1.000000000000000000e+00
-1.054414783626388408e+00,-3.562181818181819892e+01,8.590824710646218776e-01,1.000000000000000000e+00
-9.883314448794286999e-01,-3.339636363636365246e+01,9.210466825306804495e-01,1.000000000000000000e+00
-9.222481061324687701e-01,-3.117090909090910245e+01,9.593097805381454179e-01,1.000000000000000000e+00
-8.561647673855090623e-01,-2.894545454545455954e+01,9.739336915936798178e-01,1.000000000000000000e+00
-7.900814286385493546e-01,-2.672000000000001663e+01,9.649803422039520129e-01,1.000000000000000000e+00
-7.239980898915896468e-01,-2.449454545454547372e+01,9.329948647339021406e-01,1.000000000000000000e+00
-6.579147511446294949e-01,-2.226909090909092015e+01,8.804552149815627615e-01,1.000000000000000000e+00
-5.918314123976697871e-01,-2.004363636363637724e+01,8.103225546032364335e-01,1.000000000000000000e+00
-5.257480736507100794e-01,-1.781818181818183433e+01,7.255580452552301551e-01,1.000000000000000000e+00
-4.596647349037503716e-01,-1.559272727272729142e+01,6.291228485938473725e-01,1.000000000000000000e+00
-3.935813961567902197e-01,-1.336727272727273430e+01,5.239781262753977487e-01,1.000000000000000000e+00
-3.274980574098305119e-01,-1.114181818181819317e+01,4.130850399561829533e-01,1.000000000000000000e+00
-2.614147186628708042e-01,-8.916363636363650258e+00,2.994047512925073207e-01,1.000000000000000000e+00
-1.953313799159110964e-01,-6.690909090909109125e+00,1.858984219406778493e-01,1.000000000000000000e+00
-1.292480411689513886e-01,-4.465454545454566215e+00,7.552721355699976158e-02,1.000000000000000000e+00
-6.316470242199123675e-02,-2.240000000000009539e+00,-2.874771220222394064e-02,1.000000000000000000e+00
2.918636324968471030e-03,-1.454545454546748995e-02,-1.239651936806849264e-01,1.000000000000000000e+00
6.900197507192817881e-02,2.210909090909074504e+00,-2.071640692220797497e-01,1.000000000000000000e+00
1.350853138188878866e-01,4.436363636363616969e+00,-2.753831771701031883e-01,1.000000000000000000e+00
2.011686525658475944e-01,6.661818181818158990e+00,-3.256613558684513521e-01,1.000000000000000000e+00
2.672519913128077462e-01,8.887272727272716111e+00,-3.550374436608163542e-01,1.000000000000000000e+00
3.333353300597674540e-01,1.111272727272725724e+01,-3.606696134344051785e-01,1.000000000000000000e+00
3.994186688067271618e-01,1.333818181818180015e+01,-3.424607325771842348e-01,1.000000000000000000e+00
4.655020075536868696e-01,1.556363636363634306e+01,-3.030583629778775823e-01,1.000000000000000000e+00
5.315853463006470214e-01,1.778909090909089841e+01,-2.452294010687188219e-01,1.000000000000000000e+00
5.976686850476067292e-01,2.001454545454544132e+01,-1.717407432819446633e-01,1.000000000000000000e+00
6.637520237945664370e-01,2.223999999999998423e+01,-8.535928604979048373e-02,1.000000000000000000e+00
7.298353625415261448e-01,2.446545454545452714e+01,1.114807419550789547e-02,1.000000000000000000e+00
7.959187012884858525e-01,2.669090909090906649e+01,1.150144410217137647e-01,1.000000000000000000e+00
8.620020400354460044e-01,2.891636363636362361e+01,2.234729179965952994e-01,1.000000000000000000e+00
9.280853787824057122e-01,3.114181818181816652e+01,3.337566086879144578e-01,1.000000000000000000e+00
9.941687175293654199e-01,3.336727272727270588e+01,4.430986166634349743e-01,1.000000000000000000e+00
1.060252056276325128e+00,3.559272727272724524e+01,5.487320454909232481e-01,1.000000000000000000e+00
1.126335395023285280e+00,3.781818181818180591e+01,6.478899987381430137e-01,1.000000000000000000e+00
1.192418733770244543e+00,4.004363636363633105e+01,7.378055799728571174e-01,1.000000000000000000e+00
1.258502072517204695e+00,4.226909090909089173e+01,8.157118927628337346e-01,1.000000000000000000e+00
1.324585411264164847e+00,4.449454545454544530e+01,8.788420406758357117e-01,1.000000000000000000e+00
