x_scaled,x_raw,phi,in_train_support
-3.176303872178256160e+00,-3.987500000000000000e+02,-1.142766442861978149e+01,0.000000000000000000e+00
-3.096079236575038696e+00,-3.887045454545454390e+02,-1.056429809367669392e+01,0.000000000000000000e+00
-3.015854600971821231e+00,-3.786590909090908781e+02,-9.752274808972202891e+00,0.000000000000000000e+00
-2.935629965368604211e+00,-3.686136363636363740e+02,-8.989360825351315754e+00,0.000000000000000000e+00
-2.855405329765386746e+00,-3.585681818181818130e+02,-8.273322393659032770e+00,0.000000000000000000e+00
-2.775180694162169281e+00,-3.485227272727272521e+02,-7.601925764740355085e+00,0.000000000000000000e+00
-2.694956058558951817e+00,-3.384772727272726911e+02,-6.972937189440293615e+00,0.000000000000000000e+00
-2.614731422955734352e+00,-3.284318181818181301e+02,-6.384122918603854835e+00,0.000000000000000000e+00
-2.534506787352516888e+00,-3.183863636363635692e+02,-5.833249203076035450e+00,0.000000000000000000e+00
-2.454282151749299867e+00,-3.083409090909090651e+02,-5.318082293701848151e+00,0.000000000000000000e+00
-2.374057516146082403e+00,-2.982954545454545041e+02,-4.836388441326286980e+00,1.000000000000000000e+00
-2.293832880542864938e+00,-2.882499999999999432e+02,-4.385933896794363740e+00,1.000000000000000000e+00
-2.213608244939647474e+00,-2.782045454545453822e+02,-3.964484910951077801e+00,1.000000000000000000e+00
-2.133383609336430453e+00,-2.681590909090909349e+02,-3.569807734641440966e+00,1.000000000000000000e+00
-2.053158973733212989e+00,-2.581136363636363740e+02,-3.199668618710448165e+00,1.000000000000000000e+00
-1.972934338129995524e+00,-2.480681818181818130e+02,-2.851833814003108536e+00,1.000000000000000000e+00
-1.892709702526778059e+00,-2.380227272727272521e+02,-2.524069571364425890e+00,1.000000000000000000e+00
-1.812485066923560595e+00,-2.279772727272727195e+02,-2.214190136258298303e+00,1.000000000000000000e+00
-1.732260431320343352e+00,-2.179318181818181870e+02,-1.921113630383204374e+00,1.000000000000000000e+00
-1.652035795717125888e+00,-2.078863636363636260e+02,-1.644862051672197012e+00,1.000000000000000000e+00
-1.571811160113908645e+00,-1.978409090909090935e+02,-1.385505392677226055e+00,1.000000000000000000e+00
-1.491586524510691181e+00,-1.877954545454545325e+02,-1.143113645950236013e+00,1.000000000000000000e+00
-1.411361888907473716e+00,-1.777499999999999716e+02,-9.177568040431816065e-01,1.000000000000000000e+00
-1.331137253304256474e+00,-1.677045454545454390e+02,-7.095048595080077902e-01,1.000000000000000000e+00
-1.250912617701039009e+00,-1.576590909090908781e+02,-5.184278048966644015e-01,1.000000000000000000e+00
-1.170687982097821767e+00,-1.476136363636363740e+02,-3.445956327610995018e-01,1.000000000000000000e+00
-1.090463346494604302e+00,-1.375681818181818130e+02,-1.880783356532633732e-01,1.000000000000000000e+00
-1.010238710891386837e+00,-1.275227272727272378e+02,-4.894590612510363314e-02,1.000000000000000000e+00
-9.300140752881693729e-01,-1.174772727272726769e+02,7.273166327143121279e-02,1.000000000000000000e+00
-8.497894396849519083e-01,-1.074318181818181159e+02,1.768843799843908826e-01,1.000000000000000000e+00
-7.695648040817348878e-01,-9.738636363636362603e+01,2.634422514618277589e-01,1.000000000000000000e+00
-6.893401684785174233e-01,-8.734090909090906507e+01,3.323352851517928919e-01,1.000000000000000000e+00
-6.091155328752999587e-01,-7.729545454545450411e+01,3.834934885023377760e-01,1.000000000000000000e+00
-5.288908972720824941e-01,-6.724999999999994316e+01,4.168468689615130174e-01,1.000000000000000000e+00
-4.486662616688650296e-01,-5.720454545454538930e+01,4.326632152168095047e-01,1.000000000000000000e+00
-3.684416260656480091e-01,-4.715909090909089230e+01,4.325614409134725946e-01,1.000000000000000000e+00
-2.882169904624305445e-01,-3.711363636363633134e+01,4.184982409361892586e-01,1.000000000000000000e+00
-2.079923548592130800e-01,-2.706818181818177749e+01,3.924303101696446916e-01,1.000000000000000000e+00
-1.277677192559956154e-01,-1.702272727272722008e+01,3.563143434985232005e-01,1.000000000000000000e+00
-4.754308365277815085e-02,-6.977272727272664454e+00,3.121070358075108686e-01,1.000000000000000000e+00
3.268155195043886962e-02,3.068181818181836551e+00,2.617650819812937790e-01,1.000000000000000000e+00
1.129061875536563342e-01,1.311363636363639351e+01,2.072451769045571268e-01,1.000000000000000000e+00
1.931308231568737988e-01,2.315909090909094914e+01,1.505040154619856629e-01,1.000000000000000000e+00
2.733554587600912633e-01,3.320454545454551010e+01,9.349829253826591469e-02,1.000000000000000000e+00
3.535800943633087279e-01,4.325000000000007105e+01,3.818470301808263301e-02,1.000000000000000000e+00
4.338047299665261924e-01,5.329545454545462491e+01,-1.348005821387809888e-02,1.000000000000000000e+00
5.140293655697432129e-01,6.334090909090912191e+01,-5.953929627293153004e-02,1.000000000000000000e+00
5.942540011729606775e-01,7.338636363636368287e+01,-9.803631627439068907e-02,1.000000000000000000e+00
6.744786367761781420e-01,8.343181818181824383e+01,-1.270144233335721573e-01,1.000000000000000000e+00
7.547032723793956066e-01,9.347727272727280479e+01,-1.445169225657894074e-01,1.000000000000000000e+00
8.349279079826126271e-01,1.035227272727272947e+02,-1.486253516734721281e-01,1.000000000000000000e+00
9.151525435858300916e-01,1.135681818181818556e+02,-1.383005978627158683e-01,1.000000000000000000e+00
9.953771791890475562e-01,1.236136363636364166e+02,-1.133828978432762646e-01,1.000000000000000000e+00
1.075601814792265021e+00,1.336590909090909634e+02,-7.375072091202738989e-02,1.000000000000000000e+00
1.155826450395482485e+00,1.437045454545455243e+02,-1.928253636584198460e-02,1.000000000000000000e+00
1.236051085998699950e+00,1.537500000000000568e+02,5.014318649840632247e-02,1.000000000000000000e+00
1.316275721601917414e+00,1.637954545454546178e+02,1.346479783838443467e-01,1.000000000000000000e+00
1.396500357205134879e+00,1.738409090909091788e+02,2.343533699935989034e-01,1.000000000000000000e+00
1.476724992808352344e+00,1.838863636363637397e+02,3.493808920307976962e-01,1.000000000000000000e+00
1.556949628411568920e+00,1.939318181818181870e+02,4.798520751985639876e-01,1.000000000000000000e+00
1.637174264014786385e+00,2.039772727272727479e+02,6.258884502000297001e-01,1.000000000000000000e+00
1.717398899618003849e+00,2.140227272727273089e+02,7.876115477383187624e-01,1.000000000000000000e+00
1.797623535221221314e+00,2.240681818181818699e+02,9.651428985165586560e-01,1.000000000000000000e+00
1.877848170824438778e+00,2.341136363636364024e+02,1.158604033237875530e+00,1.000000000000000000e+00
1.958072806427656243e+00,2.441590909090909634e+02,1.368116482605397088e+00,1.000000000000000000e+00
2.038297442030873707e+00,2.542045454545455243e+02,1.593801777322249258e+00,1.000000000000000000e+00
2.118522077634091172e+00,2.642500000000001137e+02,1.835781448091559520e+00,1.000000000000000000e+00
2.198746713237308636e+00,2.742954545454546746e+02,2.094105454370115194e+00,1.000000000000000000e+00
2.278971348840526101e+00,2.843409090909092356e+02,2.368537470629346053e+00,1.000000000000000000e+00
2.359195984443743566e+00,2.943863636363637966e+02,2.658769600094342600e+00,0.000000000000000000e+00
2.439420620046960142e+00,3.044318181818182438e+02,2.964493945990192003e+00,0.000000000000000000e+00
2.519645255650177607e+00,3.144772727272728048e+02,3.285402611541993423e+00,0.000000000000000000e+00
2.599869891253395071e+00,3.245227272727273657e+02,3.621187699974831808e+00,0.000000000000000000e+00
2.680094526856612536e+00,3.345681818181819267e+02,3.971541314513799215e+00,0.000000000000000000e+00
2.760319162459830000e+00,3.446136363636364877e+02,4.336155558383985920e+00,0.000000000000000000e+00
2.840543798063047465e+00,3.546590909090909918e+02,4.714722534810483090e+00,0.000000000000000000e+00
2.920768433666264929e+00,3.647045454545455527e+02,5.106934347018381004e+00,0.000000000000000000e+00
3.000993069269482394e+00,3.747500000000001137e+02,5.512483098232769052e+00,0.000000000000000000e+00
3.081217704872699858e+00,3.847954545454546746e+02,5.931060891678741065e+00,0.000000000000000000e+00
3.161442340475917323e+00,3.948409090909092356e+02,6.362359830581384657e+00,0.000000000000000000e+00
3.241666976079133899e+00,4.048863636363636829e+02,6.806072018165787441e+00,0.000000000000000000e+00
3.321891611682351364e+00,4.149318181818182438e+02,7.261889557657049465e+00,0.000000000000000000e+00
3.402116247285568829e+00,4.249772727272728048e+02,7.729504552280255680e+00,0.000000000000000000e+00
3.482340882888786293e+00,4.350227272727273657e+02,8.208689199753241184e+00,0.000000000000000000e+00
3.562565518492003758e+00,4.450681818181819267e+02,8.701057871126977261e+00,0.000000000000000000e+00
3.642790154095221222e+00,4.551136363636364877e+02,9.210067110785562505e+00,0.000000000000000000e+00
3.723014789698438687e+00,4.651590909090910486e+02,9.739253557605845657e+00,0.000000000000000000e+00
3.803239425301656151e+00,4.752045454545456096e+02,1.029215385046466480e+01,0.000000000000000000e+00
3.883464060904873616e+00,4.852500000000001705e+02,1.087230462823886867e+01,0.000000000000000000e+00
3.963688696508091081e+00,4.952954545454547315e+02,1.148324252980530957e+01,0.000000000000000000e+00
4.043913332111308989e+00,5.053409090909092924e+02,1.212850419404082558e+01,0.000000000000000000e+00
4.124137967714524677e+00,5.153863636363636260e+02,1.281162625982225123e+01,0.000000000000000000e+00
4.204362603317742142e+00,5.254318181818181301e+02,1.353614536602645302e+01,0.000000000000000000e+00
4.284587238920959607e+00,5.354772727272727479e+02,1.430559815153027614e+01,0.000000000000000000e+00
4.364811874524177071e+00,5.455227272727272521e+02,1.512352125521055513e+01,0.000000000000000000e+00
