x_scaled,x_raw,phi,in_train_support
-5.092746349469173595e+00,-4.704999999999999716e+01,-1.381489785407812576e+01,0.000000000000000000e+00
-5.019797637469312512e+00,-4.493787878787877332e+01,-1.329068314223578895e+01,0.000000000000000000e+00
-4.946848925469452318e+00,-4.282575757575757791e+01,-1.279750155286258106e+01,0.000000000000000000e+00
-4.873900213469591236e+00,-4.071363636363635408e+01,-1.233371538352972152e+01,0.000000000000000000e+00
-4.800951501469731042e+00,-3.860151515151515866e+01,-1.189768693180845460e+01,0.000000000000000000e+00
-4.728002789469869960e+00,-3.648939393939393483e+01,-1.148777849526999795e+01,0.000000000000000000e+00
-4.655054077470008878e+00,-3.437727272727271099e+01,-1.110235237148558696e+01,0.000000000000000000e+00
-4.582105365470148683e+00,-3.226515151515151558e+01,-1.073977085802645703e+01,0.000000000000000000e+00
-4.509156653470287601e+00,-3.015303030303029175e+01,-1.039839625246383470e+01,0.000000000000000000e+00
-4.436207941470426519e+00,-2.804090909090906791e+01,-1.007659085236894647e+01,0.000000000000000000e+00
-4.363259229470566325e+00,-2.592878787878787250e+01,-9.772716955313033083e+00,0.000000000000000000e+00
-4.290310517470705243e+00,-2.381666666666664867e+01,-9.485136858867317500e+00,0.000000000000000000e+00
-4.217361805470845049e+00,-2.170454545454545325e+01,-9.212212860603033349e+00,0.000000000000000000e+00
-4.144413093470983966e+00,-1.959242424242422942e+01,-8.952307258091407149e+00,0.000000000000000000e+00
-4.071464381471123772e+00,-1.748030303030303401e+01,-8.703782348903677857e+00,0.000000000000000000e+00
-3.998515669471262690e+00,-1.536818181818181017e+01,-8.465000430611068438e+00,0.000000000000000000e+00
-3.925566957471401608e+00,-1.325606060606058634e+01,-8.234323800784810743e+00,0.000000000000000000e+00
-3.852618245471541414e+00,-1.114393939393939092e+01,-8.010142424864231003e+00,0.000000000000000000e+00
-3.779669533471680332e+00,-9.031818181818167091e+00,-7.791482629254740111e+00,0.000000000000000000e+00
-3.706720821471819693e+00,-6.919696969696957467e+00,-7.578007101327846939e+00,0.000000000000000000e+00
-3.633772109471959055e+00,-4.807575757575747843e+00,-7.369406196323152969e+00,0.000000000000000000e+00
-3.560823397472097973e+00,-2.695454545454524009e+00,-7.165370269480256127e+00,0.000000000000000000e+00
-3.487874685472237335e+00,-5.833333333333143855e-01,-6.965589676038757005e+00,0.000000000000000000e+00
-3.414925973472376697e+00,1.528787878787895238e+00,-6.769754771238253532e+00,0.000000000000000000e+00
-3.341977261472516059e+00,3.640909090909104862e+00,-6.577555910318347188e+00,0.000000000000000000e+00
-3.269028549472655421e+00,5.753030303030314485e+00,-6.388683448518635011e+00,0.000000000000000000e+00
-3.196079837472794338e+00,7.865151515151524109e+00,-6.202827741078718482e+00,0.000000000000000000e+00
-3.123131125472933700e+00,9.977272727272733732e+00,-6.019679143238196417e+00,0.000000000000000000e+00
-3.050182413473073062e+00,1.208939393939394336e+01,-5.838928010236668520e+00,0.000000000000000000e+00
-2.977233701473212424e+00,1.420151515151515298e+01,-5.660264697313733606e+00,0.000000000000000000e+00
-2.904284989473351342e+00,1.631363636363637681e+01,-5.483379559708991380e+00,0.000000000000000000e+00
-2.831336277473490703e+00,1.842575757575758644e+01,-5.307962952662041545e+00,0.000000000000000000e+00
-2.758387565473630065e+00,2.053787878787879606e+01,-5.133705231412484693e+00,0.000000000000000000e+00
-2.685438853473769427e+00,2.265000000000000568e+01,-4.960296751199918752e+00,0.000000000000000000e+00
-2.612490141473908789e+00,2.476212121212121531e+01,-4.787483381654258352e+00,0.000000000000000000e+00
-2.539541429474047707e+00,2.687424242424243914e+01,-4.615233049966676049e+00,1.000000000000000000e+00
-2.466592717474187069e+00,2.898636363636364877e+01,-4.443569197718661101e+00,1.000000000000000000e+00
-2.393644005474326431e+00,3.109848484848485839e+01,-4.272515266491701880e+00,1.000000000000000000e+00
-2.320695293474465792e+00,3.321060606060606801e+01,-4.102094697867284978e+00,1.000000000000000000e+00
-2.247746581474604710e+00,3.532272727272729185e+01,-3.932330933426897879e+00,1.000000000000000000e+00
-2.174797869474744072e+00,3.743484848484850147e+01,-3.763247414752031617e+00,1.000000000000000000e+00
-2.101849157474883434e+00,3.954696969696971109e+01,-3.594867583424171897e+00,1.000000000000000000e+00
-2.028900445475022796e+00,4.165909090909092072e+01,-3.427214881024807092e+00,1.000000000000000000e+00
-1.955951733475162158e+00,4.377121212121213034e+01,-3.260312749135426014e+00,1.000000000000000000e+00
-1.883003021475301075e+00,4.588333333333335418e+01,-3.094184629337514814e+00,1.000000000000000000e+00
-1.810054309475440437e+00,4.799545454545456380e+01,-2.928853963212563638e+00,1.000000000000000000e+00
-1.737105597475579799e+00,5.010757575757576632e+01,-2.764344192342059969e+00,1.000000000000000000e+00
-1.664156885475719161e+00,5.221969696969697594e+01,-2.600678758307491734e+00,1.000000000000000000e+00
-1.591208173475858523e+00,5.433181818181818556e+01,-2.437881102690346413e+00,1.000000000000000000e+00
-1.518259461475997441e+00,5.644393939393940940e+01,-2.275974667072111046e+00,1.000000000000000000e+00
-1.445310749476136802e+00,5.855606060606061902e+01,-2.114987529683102441e+00,1.000000000000000000e+00
-1.372362037476276164e+00,6.066818181818182865e+01,-1.955054411676618198e+00,1.000000000000000000e+00
-1.299413325476415526e+00,6.278030303030303827e+01,-1.796416677128946926e+00,1.000000000000000000e+00
-1.226464613476554444e+00,6.489242424242425500e+01,-1.639320326765198121e+00,1.000000000000000000e+00
-1.153515901476693806e+00,6.700454545454547883e+01,-1.484011361310488386e+00,1.000000000000000000e+00
-1.080567189476832723e+00,6.911666666666668846e+01,-1.330735781489927216e+00,1.000000000000000000e+00
-1.007618477476972529e+00,7.122878787878789808e+01,-1.179739588028629438e+00,1.000000000000000000e+00
-9.346697654771114472e-01,7.334090909090910770e+01,-1.031268781651705435e+00,1.000000000000000000e+00
-8.617210534772512531e-01,7.545303030303030312e+01,-8.855693630842695896e-01,1.000000000000000000e+00
-7.887723414773901709e-01,7.756515151515152695e+01,-7.428873330514318418e-01,1.000000000000000000e+00
-7.158236294775290887e-01,7.967727272727275079e+01,-6.034686922783061291e-01,1.000000000000000000e+00
-6.428749174776688946e-01,8.178939393939394620e+01,-4.675594414900059448e-01,1.000000000000000000e+00
-5.699262054778078124e-01,8.390151515151517003e+01,-3.354055814116412293e-01,1.000000000000000000e+00
