x_scaled,x_raw,phi,in_train_support
-3.602705993570245457e+00,1.962000000000000099e+01,-4.996880638956066711e+00,0.000000000000000000e+00
-3.525137700096923510e+00,2.001151515151515170e+01,-3.965021148011128815e+00,0.000000000000000000e+00
-3.447569406623601562e+00,2.040303030303030241e+01,-2.995160051593967587e+00,0.000000000000000000e+00
-3.370001113150279615e+00,2.079454545454545311e+01,-2.084961348007865922e+00,0.000000000000000000e+00
-3.292432819676957223e+00,2.118606060606060737e+01,-1.232089035556096945e+00,0.000000000000000000e+00
-3.214864526203635275e+00,2.157757575757575808e+01,-4.342071125419604272e-01,0.000000000000000000e+00
-3.137296232730313328e+00,2.196909090909090878e+01,3.110204227312713954e-01,0.000000000000000000e+00
-3.059727939256991380e+00,2.236060606060605949e+01,1.005929571960313851e+00,0.000000000000000000e+00
-2.982159645783669433e+00,2.275212121212121019e+01,1.652856336841887597e+00,0.000000000000000000e+00
-2.904591352310347041e+00,2.314363636363636800e+01,2.254136719072706185e+00,0.000000000000000000e+00
-2.827023058837025538e+00,2.353515151515151516e+01,2.812106720349484945e+00,0.000000000000000000e+00
-2.749454765363703146e+00,2.392666666666666941e+01,3.329102342368946310e+00,0.000000000000000000e+00
-2.671886471890381198e+00,2.431818181818182012e+01,3.807459586827803832e+00,0.000000000000000000e+00
-2.594318178417059251e+00,2.470969696969697083e+01,4.249514455422778170e+00,0.000000000000000000e+00
-2.516749884943737303e+00,2.510121212121212153e+01,4.657602949850582874e+00,0.000000000000000000e+00
-2.439181591470415356e+00,2.549272727272727224e+01,5.034061071807945709e+00,0.000000000000000000e+00
-2.361613297997092964e+00,2.588424242424242649e+01,5.381224822991569567e+00,0.000000000000000000e+00
-2.284045004523771460e+00,2.627575757575757365e+01,5.701362847609576789e+00,0.000000000000000000e+00
-2.206476711050449069e+00,2.666727272727272791e+01,5.995194567632383453e+00,0.000000000000000000e+00
-2.128908417577127121e+00,2.705878787878787861e+01,6.261890182792674509e+00,1.000000000000000000e+00
-2.051340124103805174e+00,2.745030303030303287e+01,6.500552535334536586e+00,1.000000000000000000e+00
-1.973771830630483004e+00,2.784181818181818358e+01,6.710284467502075856e+00,1.000000000000000000e+00
-1.896203537157161056e+00,2.823333333333333428e+01,6.890188821539373620e+00,1.000000000000000000e+00
-1.818635243683839109e+00,2.862484848484848499e+01,7.039368439690532497e+00,1.000000000000000000e+00
-1.741066950210516939e+00,2.901636363636363569e+01,7.156926164199633789e+00,1.000000000000000000e+00
-1.663498656737194992e+00,2.940787878787878640e+01,7.241964837310780112e+00,1.000000000000000000e+00
-1.585930363263873044e+00,2.979939393939393710e+01,7.293587301268063428e+00,1.000000000000000000e+00
-1.508362069790551097e+00,3.019090909090909136e+01,7.310896398315579248e+00,1.000000000000000000e+00
-1.430793776317229149e+00,3.058242424242424207e+01,7.292994970697419532e+00,1.000000000000000000e+00
-1.353225482843906757e+00,3.097393939393939633e+01,7.238985860657672688e+00,1.000000000000000000e+00
-1.275657189370584810e+00,3.136545454545454703e+01,7.147971910440434229e+00,1.000000000000000000e+00
-1.198088895897262862e+00,3.175696969696969774e+01,7.019055962289796113e+00,1.000000000000000000e+00
-1.120520602423940915e+00,3.214848484848484844e+01,6.851340858449864513e+00,1.000000000000000000e+00
-1.042952308950618967e+00,3.253999999999999915e+01,6.643929441164717176e+00,1.000000000000000000e+00
-9.653840154772970195e-01,3.293151515151514985e+01,6.396478248343289152e+00,1.000000000000000000e+00
-8.878157220039750719e-01,3.332303030303030056e+01,6.110858600553894959e+00,1.000000000000000000e+00
-8.102474285306526802e-01,3.371454545454545837e+01,5.789495514029662004e+00,1.000000000000000000e+00
-7.326791350573307326e-01,3.410606060606060908e+01,5.434814005003744342e+00,1.000000000000000000e+00
-6.551108415840087851e-01,3.449757575757575978e+01,5.049239089709278261e+00,1.000000000000000000e+00
-5.775425481106868375e-01,3.488909090909091049e+01,4.635195784379410711e+00,1.000000000000000000e+00
-4.999742546373648899e-01,3.528060606060606119e+01,4.195109105247281533e+00,1.000000000000000000e+00
