x_scaled,x_raw,phi,in_train_support
-2.824026377434045720e+00,4.220800000000000409e+02,4.978802444668126270e+00,0.000000000000000000e+00
-2.754064931481759348e+00,4.467248484848485077e+02,4.725019223787235489e+00,0.000000000000000000e+00
-2.684103485529472533e+00,4.713696969696970882e+02,4.479307604542409393e+00,0.000000000000000000e+00
-2.614142039577186161e+00,4.960145454545455550e+02,4.241205879049429583e+00,0.000000000000000000e+00
-2.544180593624899789e+00,5.206593939393939081e+02,4.010252339424079437e+00,0.000000000000000000e+00
-2.474219147672613417e+00,5.453042424242423749e+02,3.785985277782140113e+00,0.000000000000000000e+00
-2.404257701720326601e+00,5.699490909090909554e+02,3.567942986239391434e+00,0.000000000000000000e+00
-2.334296255768040229e+00,5.945939393939394222e+02,3.355663756911619000e+00,0.000000000000000000e+00
-2.264334809815753857e+00,6.192387878787878890e+02,3.148685881914605300e+00,0.000000000000000000e+00
-2.194373363863467041e+00,6.438836363636364695e+02,2.946547653364127495e+00,0.000000000000000000e+00
-2.124411917911180669e+00,6.685284848484849363e+02,2.748787363375974291e+00,0.000000000000000000e+00
-2.054450471958894298e+00,6.931733333333332894e+02,2.554943304065925513e+00,0.000000000000000000e+00
-1.984489026006607704e+00,7.178181818181818699e+02,2.364553767549760988e+00,0.000000000000000000e+00
-1.914527580054321110e+00,7.424630303030303367e+02,2.177157045943264091e+00,0.000000000000000000e+00
-1.844566134102034738e+00,7.671078787878788035e+02,1.992291431362219978e+00,0.000000000000000000e+00
-1.774604688149748366e+00,7.917527272727272702e+02,1.809495215922406697e+00,1.000000000000000000e+00
-1.704643242197461772e+00,8.163975757575757370e+02,1.628306691739608514e+00,1.000000000000000000e+00
-1.634681796245175178e+00,8.410424242424243175e+02,1.448298234975911480e+00,1.000000000000000000e+00
-1.564720350292888806e+00,8.656872727272727843e+02,1.269826154858403111e+00,1.000000000000000000e+00
-1.494758904340602212e+00,8.903321212121212511e+02,1.094030693679164390e+00,1.000000000000000000e+00
-1.424797458388315841e+00,9.149769696969697179e+02,9.220861777765878564e-01,1.000000000000000000e+00
-1.354836012436029247e+00,9.396218181818181847e+02,7.551669334890607210e-01,1.000000000000000000e+00
-1.284874566483742875e+00,9.642666666666666515e+02,5.944472871549728588e-01,1.000000000000000000e+00
-1.214913120531456281e+00,9.889115151515152320e+02,4.411015651127123682e-01,1.000000000000000000e+00
-1.144951674579169687e+00,1.013556363636363699e+03,2.963040937006673481e-01,1.000000000000000000e+00
