x_scaled,x_raw,phi,in_train_support
-5.379846756854752554e-01,-1.000000000000000000e+00,-7.270045079171290059e-01,0.000000000000000000e+00
-4.874687744441672521e-01,3.030303030302938794e-02,-4.482098387174255905e-01,1.000000000000000000e+00
-4.369528732028592488e-01,1.060606060606060552e+00,-2.004001299840221240e-01,1.000000000000000000e+00
-3.864369719615512455e-01,2.090909090909090828e+00,1.819979900596235822e-02,1.000000000000000000e+00
-3.359210707202432422e-01,3.121212121212121993e+00,2.093651289754064893e-01,1.000000000000000000e+00
-2.854051694789352944e-01,4.151515151515151381e+00,3.748710406471906786e-01,1.000000000000000000e+00
-2.348892682376272911e-01,5.181818181818181657e+00,5.164927147441937816e-01,1.000000000000000000e+00
-1.843733669963192878e-01,6.212121212121212821e+00,6.360053319892962076e-01,1.000000000000000000e+00
-1.338574657550112845e-01,7.242424242424243097e+00,7.351840731053772560e-01,1.000000000000000000e+00
-8.334156451370328123e-02,8.272727272727273373e+00,8.158041188153164480e-01,1.000000000000000000e+00
-3.282566327239533344e-02,9.303030303030302761e+00,8.796406498419935271e-01,1.000000000000000000e+00
1.769023796891266986e-02,1.033333333333333393e+01,9.284688469082881257e-01,1.000000000000000000e+00
6.820613921022067316e-02,1.136363636363636509e+01,9.640638907370799870e-01,1.000000000000000000e+00
1.187220404515286765e-01,1.239393939393939448e+01,9.882009620512484105e-01,1.000000000000000000e+00
1.692379416928366798e-01,1.342424242424242564e+01,1.002655241573673361e+00,1.000000000000000000e+00
2.197538429341446831e-01,1.445454545454545681e+01,1.009201910027234472e+00,1.000000000000000000e+00
2.702697441754526864e-01,1.548484848484848797e+01,1.009616148134810931e+00,1.000000000000000000e+00
3.207856454167606897e-01,1.651515151515151913e+01,1.005645778691482306e+00,1.000000000000000000e+00
3.713015466580686930e-01,1.754545454545454675e+01,9.984093921529098026e-01,1.000000000000000000e+00
4.218174478993766963e-01,1.857575757575757791e+01,9.883963466353380412e-01,1.000000000000000000e+00
4.723333491406845885e-01,1.960606060606060908e+01,9.760686423272109113e-01,1.000000000000000000e+00
5.228492503819927029e-01,2.063636363636364024e+01,9.618882794169720807e-01,1.000000000000000000e+00
