x_scaled,x_raw,phi,in_train_support
-2.824026377434045720e+00,4.220800000000000409e+02,4.667220937445601514e+00,0.000000000000000000e+00
-2.754064931481759348e+00,4.467248484848485077e+02,4.441616340545158970e+00,0.000000000000000000e+00
-2.684103485529472533e+00,4.713696969696970882e+02,4.222860091878612998e+00,0.000000000000000000e+00
-2.614142039577186161e+00,4.960145454545455550e+02,4.010472516958777156e+00,0.000000000000000000e+00
-2.544180593624899789e+00,5.206593939393939081e+02,3.803973941298452566e+00,0.000000000000000000e+00
-2.474219147672613417e+00,5.453042424242423749e+02,3.602884690410459889e+00,0.000000000000000000e+00
-2.404257701720326601e+00,5.699490909090909554e+02,3.406725089807603801e+00,0.000000000000000000e+00
-2.334296255768040229e+00,5.945939393939394222e+02,3.215015465002696082e+00,0.000000000000000000e+00
-2.264334809815753857e+00,6.192387878787878890e+02,3.027276141508550289e+00,0.000000000000000000e+00
-2.194373363863467041e+00,6.438836363636364695e+02,2.843027444837972872e+00,0.000000000000000000e+00
-2.124411917911180669e+00,6.685284848484849363e+02,2.661789700503779166e+00,0.000000000000000000e+00
-2.054450471958894298e+00,6.931733333333332894e+02,2.483083234018777397e+00,0.000000000000000000e+00
-1.984489026006607704e+00,7.178181818181818699e+02,2.306428370895779345e+00,0.000000000000000000e+00
-1.914527580054321110e+00,7.424630303030303367e+02,2.131345436647595015e+00,0.000000000000000000e+00
-1.844566134102034738e+00,7.671078787878788035e+02,1.957354756787034411e+00,0.000000000000000000e+00
-1.774604688149748366e+00,7.917527272727272702e+02,1.783976656826911089e+00,1.000000000000000000e+00
-1.704643242197461772e+00,8.163975757575757370e+02,1.610731462280032389e+00,1.000000000000000000e+00
-1.634681796245175178e+00,8.410424242424243175e+02,1.437177031200373101e+00,1.000000000000000000e+00
-1.564720350292888806e+00,8.656872727272727843e+02,1.263734470088614614e+00,1.000000000000000000e+00
-1.494758904340602212e+00,8.903321212121212511e+02,1.091688133892149359e+00,1.000000000000000000e+00
-1.424797458388315841e+00,9.149769696969697179e+02,9.223599100995292233e-01,1.000000000000000000e+00
-1.354836012436029247e+00,9.396218181818181847e+02,7.570716861993105340e-01,1.000000000000000000e+00
-1.284874566483742875e+00,9.642666666666666515e+02,5.971453496800478433e-01,1.000000000000000000e+00
-1.214913120531456281e+00,9.889115151515152320e+02,4.439027880302903739e-01,1.000000000000000000e+00
-1.144951674579169687e+00,1.013556363636363699e+03,2.986658887385962302e-01,1.000000000000000000e+00
-1.074990228626883315e+00,1.038201212121212166e+03,1.627565392935137467e-01,1.000000000000000000e+00
-1.005028782674596721e+00,1.062846060606060746e+03,3.749662718360280422e-02,1.000000000000000000e+00
-9.350673367223103494e-01,1.087490909090909099e+03,-7.579196010258559824e-02,1.000000000000000000e+00
-8.651058907700237555e-01,1.112135757575757680e+03,-1.757873350764995735e-01,1.000000000000000000e+00
-7.951444448177373836e-01,1.136780606060606033e+03,-2.611676102495827934e-01,1.000000000000000000e+00
-7.251829988654510117e-01,1.161425454545454386e+03,-3.306108981332824825e-01,1.000000000000000000e+00
-6.552215529131641958e-01,1.186070303030302966e+03,-3.827953112390458656e-01,1.000000000000000000e+00
-5.852601069608778239e-01,1.210715151515151547e+03,-4.163989620783192791e-01,1.000000000000000000e+00
-5.152986610085914521e-01,1.235359999999999900e+03,-4.300999631625481712e-01,1.000000000000000000e+00
-4.453372150563046361e-01,1.260004848484848480e+03,-4.231678921856660835e-01,1.000000000000000000e+00
-3.753757691040182642e-01,1.284649696969697061e+03,-3.972381875715589317e-01,1.000000000000000000e+00
-3.054143231517318924e-01,1.309294545454545414e+03,-3.545377529265971717e-01,1.000000000000000000e+00
-2.354528771994455205e-01,1.333939393939393767e+03,-2.972934918571565888e-01,1.000000000000000000e+00
-1.654914312471587046e-01,1.358584242424242575e+03,-2.277323079696067509e-01,1.000000000000000000e+00
-9.552998529487233270e-02,1.383229090909090928e+03,-1.480811048703207788e-01,1.000000000000000000e+00
-2.556853934258596084e-02,1.407873939393939281e+03,-6.056678616567179319e-02,1.000000000000000000e+00
4.439290660970085511e-02,1.432518787878787862e+03,3.258374453796974990e-02,1.000000000000000000e+00
1.143543525619872270e-01,1.457163636363636442e+03,1.291435836342298416e-01,1.000000000000000000e+00
1.843157985142735988e-01,1.481808484848484795e+03,2.268858275167362493e-01,1.000000000000000000e+00
2.542772444665599707e-01,1.506453333333333376e+03,3.235835725791167405e-01,1.000000000000000000e+00
3.242386904188467867e-01,1.531098181818181956e+03,4.170099152149981947e-01,1.000000000000000000e+00
3.942001363711331585e-01,1.555743030303030309e+03,5.049379518180110438e-01,1.000000000000000000e+00
4.641615823234195304e-01,1.580387878787878662e+03,5.851407787817786144e-01,1.000000000000000000e+00
5.341230282757063463e-01,1.605032727272727243e+03,6.553914924999331149e-01,1.000000000000000000e+00
6.040844742279927182e-01,1.629677575757575823e+03,7.134631893660987600e-01,1.000000000000000000e+00
6.740459201802790901e-01,1.654322424242424177e+03,7.571619149909123436e-01,1.000000000000000000e+00
7.440073661325654619e-01,1.678967272727272757e+03,7.850515469762235909e-01,1.000000000000000000e+00
8.139688120848522779e-01,1.703612121212121110e+03,7.964537949150845009e-01,1.000000000000000000e+00
8.839302580371386497e-01,1.728256969696969691e+03,7.907233176175640921e-01,1.000000000000000000e+00
9.538917039894250216e-01,1.752901818181818271e+03,7.672147738937287187e-01,1.000000000000000000e+00
1.023853149941711393e+00,1.777546666666666624e+03,7.252828225536394058e-01,1.000000000000000000e+00
1.093814595893998209e+00,1.802191515151515205e+03,6.642821224073651720e-01,1.000000000000000000e+00
1.163776041846284581e+00,1.826836363636363558e+03,5.835673322649723715e-01,1.000000000000000000e+00
1.233737487798570953e+00,1.851481212121212138e+03,4.824931109365229176e-01,1.000000000000000000e+00
1.303698933750857769e+00,1.876126060606060719e+03,3.604141172320858288e-01,1.000000000000000000e+00
1.373660379703143697e+00,1.900770909090908845e+03,2.166850099617247949e-01,1.000000000000000000e+00
1.443621825655430513e+00,1.925415757575757652e+03,5.066044793550705805e-02,1.000000000000000000e+00
1.513583271607717329e+00,1.950060606060606005e+03,-1.383049100365045803e-01,1.000000000000000000e+00
1.583544717560003257e+00,1.974705454545454359e+03,-3.508564051442411014e-01,1.000000000000000000e+00
1.653506163512290073e+00,1.999350303030303166e+03,-5.876393785776414802e-01,1.000000000000000000e+00
1.723467609464576888e+00,2.023995151515151520e+03,-8.492991715266375863e-01,1.000000000000000000e+00
1.793429055416862816e+00,2.048639999999999873e+03,-1.136481125181160401e+00,1.000000000000000000e+00
1.863390501369149632e+00,2.073284848484848226e+03,-1.449686124424819145e+00,1.000000000000000000e+00
1.933351947321436448e+00,2.097929696969697034e+03,-1.788837228915888478e+00,1.000000000000000000e+00
2.003313393273722376e+00,2.122574545454545387e+03,-2.153713042006308420e+00,1.000000000000000000e+00
2.073274839226009192e+00,2.147219393939393740e+03,-2.544092167048037201e+00,1.000000000000000000e+00
2.143236285178295120e+00,2.171864242424242093e+03,-2.959753207393005958e+00,1.000000000000000000e+00
2.213197731130581936e+00,2.196509090909090901e+03,-3.400474766393174253e+00,1.000000000000000000e+00
2.283159177082868752e+00,2.221153939393939254e+03,-3.866035447400482106e+00,1.000000000000000000e+00
2.353120623035154679e+00,2.245798787878787607e+03,-4.356213853766868205e+00,1.000000000000000000e+00
2.423082068987441495e+00,2.270443636363636415e+03,-4.870788588844291667e+00,1.000000000000000000e+00
2.493043514939728311e+00,2.295088484848484768e+03,-5.409538255984690736e+00,0.000000000000000000e+00
2.563004960892014239e+00,2.319733333333333121e+03,-5.972241458540006320e+00,0.000000000000000000e+00
2.632966406844301055e+00,2.344378181818181929e+03,-6.558676799862196205e+00,0.000000000000000000e+00
2.702927852796587871e+00,2.369023030303030282e+03,-7.168622883303199522e+00,0.000000000000000000e+00
2.772889298748873799e+00,2.393667878787878635e+03,-7.801858312214955404e+00,0.000000000000000000e+00
2.842850744701160615e+00,2.418312727272726988e+03,-8.458161689949424300e+00,0.000000000000000000e+00
2.912812190653447431e+00,2.442957575757575796e+03,-9.137311619858543565e+00,0.000000000000000000e+00
2.982773636605733358e+00,2.467602424242424149e+03,-9.839210644298731268e+00,0.000000000000000000e+00
3.052735082558020174e+00,2.492247272727272502e+03,-1.056661190272945561e+01,0.000000000000000000e+00
3.122696528510306102e+00,2.516892121212121310e+03,-1.132511913171317985e+01,0.000000000000000000e+00
3.192657974462592918e+00,2.541536969696969663e+03,-1.212046000681687730e+01,0.000000000000000000e+00
3.262619420414879734e+00,2.566181818181818016e+03,-1.295836220360749635e+01,0.000000000000000000e+00
3.332580866367165662e+00,2.590826666666666824e+03,-1.384455339765198900e+01,0.000000000000000000e+00
3.402542312319452478e+00,2.615471515151515177e+03,-1.478476126451733563e+01,0.000000000000000000e+00
3.472503758271739294e+00,2.640116363636363531e+03,-1.578471347977047756e+01,0.000000000000000000e+00
3.542465204224025221e+00,2.664761212121211884e+03,-1.685013771897836676e+01,0.000000000000000000e+00
3.612426650176312037e+00,2.689406060606060237e+03,-1.798676165770798363e+01,0.000000000000000000e+00
3.682388096128598853e+00,2.714050909090909045e+03,-1.920031297152628014e+01,0.000000000000000000e+00
