x_scaled,x_raw,phi,in_train_support
-1.238558485446451662e+01,-1.497009999999999764e+03,-1.262245445396472654e+00,0.000000000000000000e+00
-1.214659179983994974e+01,-1.468151212121211984e+03,-1.244617981363651094e+00,0.000000000000000000e+00
-1.190759874521538464e+01,-1.439292424242424204e+03,-1.226282424831480533e+00,0.000000000000000000e+00
-1.166860569059081776e+01,-1.410433636363636197e+03,-1.207371181261110760e+00,0.000000000000000000e+00
-1.142961263596625088e+01,-1.381574848484848417e+03,-1.188016656113690228e+00,0.000000000000000000e+00
-1.119061958134168400e+01,-1.352716060606060410e+03,-1.168351254850368726e+00,0.000000000000000000e+00
-1.095162652671711889e+01,-1.323857272727272630e+03,-1.148507382932294263e+00,0.000000000000000000e+00
-1.071263347209255201e+01,-1.294998484848484850e+03,-1.128617445820617071e+00,0.000000000000000000e+00
-1.047364041746798513e+01,-1.266139696969696843e+03,-1.108813848976485605e+00,0.000000000000000000e+00
-1.023464736284341825e+01,-1.237280909090908835e+03,-1.089228997861049208e+00,0.000000000000000000e+00
-9.995654308218853146e+00,-1.208422121212121283e+03,-1.069995297935455891e+00,0.000000000000000000e+00
-9.756661253594286265e+00,-1.179563333333333276e+03,-1.051245154660856773e+00,0.000000000000000000e+00
-9.517668198969719384e+00,-1.150704545454545269e+03,-1.033110973498398533e+00,0.000000000000000000e+00
-9.278675144345154280e+00,-1.121845757575757489e+03,-1.015725159909231845e+00,0.000000000000000000e+00
-9.039682089720587399e+00,-1.092986969696969709e+03,-9.992201193545047211e-01,0.000000000000000000e+00
-8.800689035096020518e+00,-1.064128181818181702e+03,-9.837282572953669479e-01,0.000000000000000000e+00
-8.561695980471453638e+00,-1.035269393939393694e+03,-9.693819791929674246e-01,0.000000000000000000e+00
-8.322702925846886757e+00,-1.006410606060605801e+03,-9.563050350995219162e-01,0.000000000000000000e+00
-8.083709871222321652e+00,-9.775518181818180210e+02,-9.444221006617685710e-01,0.000000000000000000e+00
-7.844716816597754772e+00,-9.486930303030301275e+02,-9.334587771209736928e-01,0.000000000000000000e+00
-7.605723761973188779e+00,-9.198342424242422339e+02,-9.231320103094668994e-01,0.000000000000000000e+00
-7.366730707348621898e+00,-8.909754545454543404e+02,-9.131587460595782524e-01,0.000000000000000000e+00
-7.127737652724055906e+00,-8.621166666666665606e+02,-9.032559302036391458e-01,0.000000000000000000e+00
-6.888744598099489025e+00,-8.332578787878785533e+02,-8.931405085739791971e-01,0.000000000000000000e+00
-6.649751543474923032e+00,-8.043990909090907735e+02,-8.825294270029306887e-01,0.000000000000000000e+00
-6.410758488850356152e+00,-7.755403030303028800e+02,-8.711396313228223498e-01,0.000000000000000000e+00
-6.171765434225790159e+00,-7.466815151515149864e+02,-8.586880673659842422e-01,0.000000000000000000e+00
-5.932772379601223278e+00,-7.178227272727270929e+02,-8.448916809647499804e-01,0.000000000000000000e+00
-5.693779324976657286e+00,-6.889639393939391994e+02,-8.294674179514482937e-01,0.000000000000000000e+00
-5.454786270352090405e+00,-6.601051515151513058e+02,-8.121322241584087998e-01,0.000000000000000000e+00
-5.215793215727524412e+00,-6.312463636363635260e+02,-7.926030454179633367e-01,0.000000000000000000e+00
-4.976800161102957532e+00,-6.023875757575755188e+02,-7.705968275624415220e-01,0.000000000000000000e+00
-4.737807106478391539e+00,-5.735287878787877389e+02,-7.458305164241756380e-01,0.000000000000000000e+00
-4.498814051853825546e+00,-5.446699999999998454e+02,-7.180210578354935258e-01,0.000000000000000000e+00
-4.259820997229258666e+00,-5.158112121212119519e+02,-6.869888080615904613e-01,0.000000000000000000e+00
-4.020827942604691785e+00,-4.869524242424240015e+02,-6.529677650991057014e-01,0.000000000000000000e+00
-3.781834887980126680e+00,-4.580936363636363353e+02,-6.162953373775450494e-01,0.000000000000000000e+00
